"arc_length","Density","EnergyStagnationDensity","MomentumX"
0,1,0.1,3.41764e-15
0.009,1,0.1,5.36344e-15
0.018,1,0.1,6.88605e-15
0.027,1,0.1,8.24066e-15
0.036,1,0.1,9.49542e-15
0.045,1,0.1,1.06593e-14
0.054,1,0.1,1.18728e-14
0.063,1,0.1,1.32614e-14
0.072,1,0.1,1.43093e-14
0.081,1,0.1,1.53427e-14
0.09,1,0.1,1.62252e-14
0.099,1,0.1,1.67536e-14
0.108,1,0.1,1.74028e-14
0.117,1,0.1,1.84506e-14
0.126,1,0.1,1.93219e-14
0.135,1,0.1,2.01525e-14
0.144,1,0.1,2.07205e-14
0.153,1,0.1,2.14513e-14
0.162,1,0.1,2.21449e-14
0.171,1,0.1,2.23569e-14
0.18,1,0.1,2.30096e-14
0.189,1,0.1,2.3482e-14
0.198,1,0.1,2.35244e-14
0.207,1,0.1,2.38578e-14
0.216,1,0.1,2.41939e-14
0.225,1,0.1,2.48817e-14
0.234,1,0.1,2.49985e-14
0.243,1,0.1,2.58426e-14
0.252,1,0.1,2.63195e-14
0.261,1,0.1,2.61786e-14
0.27,1,0.1,2.71386e-14
0.279,1,0.1,2.73968e-14
0.288,1,0.1,2.72669e-14
0.297,1,0.1,2.75709e-14
0.306,1,0.1,2.81032e-14
0.315,1,0.1,2.82046e-14
0.324,1,0.1,2.84191e-14
0.333,1,0.1,2.84844e-14
0.342,1,0.1,2.90682e-14
0.351,1,0.1,2.94106e-14
0.36,1,0.1,2.98366e-14
0.369,1,0.1,2.99114e-14
0.378,1,0.1,2.98086e-14
0.387,1,0.1,2.96779e-14
0.396,1,0.1,3.00849e-14
0.405,1,0.1,3.08367e-14
0.414,1,0.1,3.10464e-14
0.423,1,0.1,3.10617e-14
0.432,1,0.1,3.10952e-14
0.441,1,0.1,3.12225e-14
0.45,1,0.1,3.20668e-14
0.459,1,0.1,3.16491e-14
0.468,1,0.1,3.08709e-14
0.477,1,0.1,3.0519e-14
0.486,1,0.1,3.08024e-14
0.495,1,0.1,3.14912e-14
0.504,1,0.1,3.08653e-14
0.513,1,0.1,3.0604e-14
0.522,1,0.1,3.10773e-14
0.531,1,0.1,3.07877e-14
0.54,1,0.1,3.09132e-14
0.549,1,0.1,3.09428e-14
0.558,1,0.1,3.06119e-14
0.567,1,0.1,3.06322e-14
0.576,1,0.1,3.06014e-14
0.585,1,0.1,3.08897e-14
0.594,1,0.1,3.10372e-14
0.603,1,0.1,3.14681e-14
0.612,1,0.1,3.19617e-14
0.621,1,0.1,3.19616e-14
0.63,1,0.1,3.18132e-14
0.639,1,0.1,3.20046e-14
0.648,1,0.1,3.44067e-14
0.657,1,0.1,3.12893e-14
0.666,1,0.1,2.62152e-14
0.675,1,0.1,4.36676e-14
0.684,1,0.1,5.02714e-14
0.693,1,0.1,-3.58608e-14
0.702,1,0.1,4.77408e-14
0.711,1,0.1,3.52057e-13
0.72,1,0.1,-7.74794e-13
0.729,1,0.1,-6.70389e-13
0.738,1,0.1,3.34408e-12
0.747,1,0.1,-3.12876e-12
0.756,1,0.1,-8.38767e-12
0.765,1,0.1,2.63211e-11
0.774,1,0.1,-1.83334e-11
0.783,1,0.1,-7.52e-11
0.792,1,0.1,2.7516e-10
0.801,1,0.1,-2.33769e-10
0.81,1,0.1,-5.34484e-10
0.819,1,0.1,2.15736e-09
0.828,1,0.1,-3.87014e-09
0.837,1,0.1,1.71153e-09
0.846,1,0.1,9.18593e-09
0.855,1,0.1,-2.96037e-08
0.864,1,0.1,5.47373e-08
