"arc_length","Cspd","Density","eint","pres","velx"
0,0.333333,1,0.1,0.0666667,3.41764e-15
0.009,0.333333,1,0.1,0.0666667,5.36344e-15
0.018,0.333333,1,0.1,0.0666667,6.88605e-15
0.027,0.333333,1,0.1,0.0666667,8.24066e-15
0.036,0.333333,1,0.1,0.0666667,9.49542e-15
0.045,0.333333,1,0.1,0.0666667,1.06593e-14
0.054,0.333333,1,0.1,0.0666667,1.18728e-14
0.063,0.333333,1,0.1,0.0666667,1.32614e-14
0.072,0.333333,1,0.1,0.0666667,1.43093e-14
0.081,0.333333,1,0.1,0.0666667,1.53427e-14
0.09,0.333333,1,0.1,0.0666667,1.62252e-14
0.099,0.333333,1,0.1,0.0666667,1.67536e-14
0.108,0.333333,1,0.1,0.0666667,1.74028e-14
0.117,0.333333,1,0.1,0.0666667,1.84506e-14
0.126,0.333333,1,0.1,0.0666667,1.93219e-14
0.135,0.333333,1,0.1,0.0666667,2.01525e-14
0.144,0.333333,1,0.1,0.0666667,2.07205e-14
0.153,0.333333,1,0.1,0.0666667,2.14513e-14
0.162,0.333333,1,0.1,0.0666667,2.21449e-14
0.171,0.333333,1,0.1,0.0666667,2.23569e-14
0.18,0.333333,1,0.1,0.0666667,2.30096e-14
0.189,0.333333,1,0.1,0.0666667,2.3482e-14
0.198,0.333333,1,0.1,0.0666667,2.35244e-14
0.207,0.333333,1,0.1,0.0666667,2.38578e-14
0.216,0.333333,1,0.1,0.0666667,2.41939e-14
0.225,0.333333,1,0.1,0.0666667,2.48817e-14
0.234,0.333333,1,0.1,0.0666667,2.49985e-14
0.243,0.333333,1,0.1,0.0666667,2.58426e-14
0.252,0.333333,1,0.1,0.0666667,2.63195e-14
0.261,0.333333,1,0.1,0.0666667,2.61786e-14
0.27,0.333333,1,0.1,0.0666667,2.71386e-14
0.279,0.333333,1,0.1,0.0666667,2.73968e-14
0.288,0.333333,1,0.1,0.0666667,2.72669e-14
0.297,0.333333,1,0.1,0.0666667,2.75709e-14
0.306,0.333333,1,0.1,0.0666667,2.81032e-14
0.315,0.333333,1,0.1,0.0666667,2.82046e-14
