# Exact Riemann solution for problem: sedov
# Discretization: 1001
# Domain bounds: [0.00000e+00,1.20000e+00]
# Gamma: 1.40000e+00
# Time: 1.00000e+00
                   x                  rho                |m_i|                 Erho                   Ma
  0.000000000000e+00   2.035529153105e-05   0.000000000000e+00   1.092520380821e-01   5.482392489099e+01
  1.200000000000e-03   2.440041781344e-05   1.045690267640e-08   1.092520451314e-01   5.445781853308e+01
  2.400000000000e-03   2.844554409583e-05   2.438091744670e-08   1.092520521867e-01   5.409171217517e+01
  3.600000000000e-03   3.249067037823e-05   4.177204431092e-08   1.092520592502e-01   5.372560581726e+01
  4.800000000000e-03   3.653579666062e-05   6.263028326904e-08   1.092520663241e-01   5.335949945934e+01
  6.000000000000e-03   4.058092294301e-05   8.695563432106e-08   1.092520734107e-01   5.299339310143e+01
  7.200000000000e-03   4.462604922540e-05   1.147480974670e-07   1.092520805122e-01   5.262728674352e+01
  8.400000000000e-03   4.867117550779e-05   1.460076727068e-07   1.092520876307e-01   5.226118038560e+01
  9.600000000000e-03   5.271630179018e-05   1.807343600406e-07   1.092520947687e-01   5.189507402769e+01
  1.080000000000e-02   5.676142807257e-05   2.189281594683e-07   1.092521019281e-01   5.152896766978e+01
  1.200000000000e-02   6.080655435496e-05   2.605890709898e-07   1.092521091114e-01   5.116286131187e+01
  1.320000000000e-02   6.485168063735e-05   3.057170946053e-07   1.092521163207e-01   5.079675495395e+01
  1.440000000000e-02   6.889680691974e-05   3.543122303147e-07   1.092521235583e-01   5.043064859604e+01
  1.560000000000e-02   7.294193320213e-05   4.063744781180e-07   1.092521308263e-01   5.006454223813e+01
  1.680000000000e-02   7.698705948452e-05   4.619038380152e-07   1.092521381271e-01   4.969843588022e+01
  1.800000000000e-02   8.103218576691e-05   5.209003100063e-07   1.092521454628e-01   4.933232952230e+01
  1.920000000000e-02   8.507731204930e-05   5.833638940913e-07   1.092521528356e-01   4.896622316439e+01
  2.040000000000e-02   8.912243833169e-05   6.492945902702e-07   1.092521602479e-01   4.860011680648e+01
  2.160000000000e-02   9.316756461408e-05   7.186923985430e-07   1.092521677018e-01   4.823401044856e+01
  2.280000000000e-02   9.721269089648e-05   7.915573189098e-07   1.092521751995e-01   4.786790409065e+01
  2.400000000000e-02   1.012578171789e-04   8.678893513704e-07   1.092521827434e-01   4.750179773274e+01
  2.520000000000e-02   1.053029434613e-04   9.476884959250e-07   1.092521903355e-01   4.713569137483e+01
  2.640000000000e-02   1.093480697436e-04   1.030954752573e-06   1.092521979782e-01   4.676958501691e+01
  2.760000000000e-02   1.133931960260e-04   1.117688121316e-06   1.092522056737e-01   4.640347865900e+01
  2.880000000000e-02   1.174383223084e-04   1.207888602152e-06   1.092522134241e-01   4.603737230109e+01
  3.000000000000e-02   1.214834485908e-04   1.301556195082e-06   1.092522212318e-01   4.567126594318e+01
  3.120000000000e-02   1.255285748732e-04   1.398690900106e-06   1.092522290990e-01   4.530515958526e+01
  3.240000000000e-02   1.295737011556e-04   1.499292717224e-06   1.092522370278e-01   4.493905322735e+01
  3.360000000000e-02   1.336188274380e-04   1.603361646436e-06   1.092522450206e-01   4.457294686944e+01
  3.480000000000e-02   1.376639537204e-04   1.710897687742e-06   1.092522530795e-01   4.420684051153e+01
  3.600000000000e-02   1.417090800028e-04   1.821900841142e-06   1.092522612067e-01   4.384073415361e+01
  3.720000000000e-02   1.457542062852e-04   1.936371106635e-06   1.092522694046e-01   4.347462779570e+01
  3.840000000000e-02   1.497993325676e-04   2.054308484223e-06   1.092522776753e-01   4.310852143779e+01
  3.960000000000e-02   1.538444588499e-04   2.175712973904e-06   1.092522860210e-01   4.274241507987e+01
  4.080000000000e-02   1.578895851323e-04   2.300584575680e-06   1.092522944441e-01   4.237630872196e+01
  4.200000000000e-02   1.619347114147e-04   2.428923289549e-06   1.092523029466e-01   4.201020236405e+01
  4.320000000000e-02   1.659798376971e-04   2.560729115512e-06   1.092523115310e-01   4.164409600614e+01
  4.440000000000e-02   1.700249639795e-04   2.696002053569e-06   1.092523201992e-01   4.127798964822e+01
  4.560000000000e-02   1.740700902619e-04   2.834742103720e-06   1.092523289537e-01   4.091188329031e+01
  4.680000000000e-02   1.781152165443e-04   2.976949265965e-06   1.092523377966e-01   4.054577693240e+01
  4.800000000000e-02   1.821603428267e-04   3.122623540304e-06   1.092523467302e-01   4.017967057449e+01
  4.920000000000e-02   1.862054691091e-04   3.271764926737e-06   1.092523557567e-01   3.981356421657e+01
  5.040000000000e-02   1.902505953915e-04   3.424373425263e-06   1.092523648783e-01   3.944745785866e+01
  5.160000000000e-02   1.942957216739e-04   3.580449035884e-06   1.092523740972e-01   3.908135150075e+01
  5.280000000000e-02   1.983408479562e-04   3.739991758598e-06   1.092523834157e-01   3.871524514283e+01
  5.400000000000e-02   2.023859742386e-04   3.903001593407e-06   1.092523928360e-01   3.834913878492e+01
  5.520000000000e-02   2.064311005210e-04   4.069478540309e-06   1.092524023603e-01   3.798303242701e+01
  5.640000000000e-02   2.104762268034e-04   4.239422599305e-06   1.092524119909e-01   3.761692606910e+01
  5.760000000000e-02   2.145213530858e-04   4.412833770395e-06   1.092524217300e-01   3.725081971118e+01
  5.880000000000e-02   2.185664793682e-04   4.589712053579e-06   1.092524315799e-01   3.688471335327e+01
  6.000000000000e-02   2.226116056506e-04   4.770057448857e-06   1.092524415426e-01   3.651860699536e+01
  6.120000000000e-02   2.266567319330e-04   4.953869956229e-06   1.092524516206e-01   3.615250063745e+01
  6.240000000000e-02   2.307018582154e-04   5.141149575694e-06   1.092524618159e-01   3.578639427953e+01
  6.360000000000e-02   2.347469844978e-04   5.331896307254e-06   1.092524721309e-01   3.542028792162e+01
  6.480000000000e-02   2.387921107801e-04   5.526110150907e-06   1.092524825677e-01   3.505418156371e+01
  6.600000000000e-02   2.428372370625e-04   5.723791106655e-06   1.092524931287e-01   3.468807520579e+01
  6.720000000000e-02   2.468823633449e-04   5.924939174496e-06   1.092525038159e-01   3.432196884788e+01
  6.840000000000e-02   2.509274896273e-04   6.129554354431e-06   1.092525146317e-01   3.395586248997e+01
  6.960000000000e-02   2.549726159097e-04   6.337636646461e-06   1.092525255783e-01   3.358975613206e+01
  7.080000000000e-02   2.590177421921e-04   6.549186050584e-06   1.092525366579e-01   3.322364977414e+01
  7.200000000000e-02   2.630628684745e-04   6.764202566801e-06   1.092525478727e-01   3.285754341623e+01
  7.320000000000e-02   2.671079947569e-04   6.982686195111e-06   1.092525592250e-01   3.249143705832e+01
  7.440000000000e-02   2.711531210393e-04   7.204636935516e-06   1.092525707170e-01   3.212533070041e+01
  7.560000000000e-02   2.751982473217e-04   7.430054788015e-06   1.092525823509e-01   3.175922434249e+01
  7.680000000000e-02   2.792433736041e-04   7.658939752607e-06   1.092525941289e-01   3.139311798458e+01
  7.800000000000e-02   2.832884998864e-04   7.891291829294e-06   1.092526060534e-01   3.102701162667e+01
  7.920000000000e-02   2.873336261688e-04   8.127111018074e-06   1.092526181264e-01   3.066090526875e+01
  8.040000000000e-02   2.913787524512e-04   8.366397318949e-06   1.092526303503e-01   3.029479891084e+01
  8.160000000000e-02   2.954238787336e-04   8.609150731917e-06   1.092526427272e-01   2.992869255293e+01
  8.280000000000e-02   2.994690050160e-04   8.855371256979e-06   1.092526552595e-01   2.956258619502e+01
  8.400000000000e-02   3.035141312984e-04   9.105058894135e-06   1.092526679493e-01   2.919647983710e+01
  8.520000000000e-02   3.075592575808e-04   9.358213643385e-06   1.092526807988e-01   2.883037347919e+01
  8.640000000000e-02   3.116043838632e-04   9.614835504729e-06   1.092526938103e-01   2.846426712128e+01
  8.760000000000e-02   3.156495101456e-04   9.874924478167e-06   1.092527069860e-01   2.809816076337e+01
  8.880000000000e-02   3.196946364280e-04   1.013848056370e-05   1.092527203281e-01   2.773205440545e+01
  9.000000000000e-02   3.237397627104e-04   1.040550376132e-05   1.092527338389e-01   2.736594804754e+01
  9.120000000000e-02   3.277848889927e-04   1.067599407104e-05   1.092527475206e-01   2.699984168963e+01
  9.240000000000e-02   3.318300152751e-04   1.094995149286e-05   1.092527613755e-01   2.663373533171e+01
  9.360000000000e-02   3.358751415575e-04   1.122737602676e-05   1.092527754057e-01   2.626762897380e+01
  9.480000000000e-02   3.399202678399e-04   1.150826767277e-05   1.092527896134e-01   2.590152261589e+01
  9.600000000000e-02   3.439653941223e-04   1.179262643086e-05   1.092528040010e-01   2.553541625798e+01
  9.720000000000e-02   3.480105204047e-04   1.208045230105e-05   1.092528185706e-01   2.516930990006e+01
  9.840000000000e-02   3.520556466871e-04   1.237174528333e-05   1.092528333245e-01   2.480320354215e+01
  9.960000000000e-02   3.561007729695e-04   1.266650537771e-05   1.092528482649e-01   2.443709718424e+01
  1.008000000000e-01   3.601458992519e-04   1.296473258418e-05   1.092528633940e-01   2.407099082633e+01
  1.020000000000e-01   3.641910255343e-04   1.326642690274e-05   1.092528787141e-01   2.370488446841e+01
  1.032000000000e-01   3.682361518166e-04   1.357158833340e-05   1.092528942274e-01   2.333877811050e+01
  1.044000000000e-01   3.722812780990e-04   1.388021687616e-05   1.092529099360e-01   2.297267175259e+01
  1.056000000000e-01   3.763264043814e-04   1.419231253100e-05   1.092529258423e-01   2.260656539467e+01
  1.068000000000e-01   3.803715306638e-04   1.450787529794e-05   1.092529419485e-01   2.224045903676e+01
  1.080000000000e-01   3.844166569462e-04   1.482690517698e-05   1.092529582568e-01   2.187435267885e+01
  1.092000000000e-01   3.884617832286e-04   1.514940216810e-05   1.092529747694e-01   2.150824632094e+01
  1.104000000000e-01   3.925069095110e-04   1.547536627133e-05   1.092529914885e-01   2.114213996302e+01
  1.116000000000e-01   3.965520357934e-04   1.580479748664e-05   1.092530084165e-01   2.077603360511e+01
  1.128000000000e-01   4.005971620758e-04   1.613769581405e-05   1.092530255554e-01   2.040992724720e+01
  1.140000000000e-01   4.046422883582e-04   1.647406125356e-05   1.092530429076e-01   2.004382088929e+01
  1.152000000000e-01   4.086874146406e-04   1.681389380515e-05   1.092530604753e-01   1.967771453137e+01
  1.164000000000e-01   4.127325409229e-04   1.715719346884e-05   1.092530782607e-01   1.931160817346e+01
  1.176000000000e-01   4.167776672053e-04   1.750396024463e-05   1.092530962660e-01   1.894550181555e+01
  1.188000000000e-01   4.208227934877e-04   1.785419413251e-05   1.092531144935e-01   1.857939545763e+01
  1.200000000000e-01   4.248679197701e-04   1.820789513248e-05   1.092531329453e-01   1.821328909972e+01
  1.212000000000e-01   4.289130460525e-04   1.856506324455e-05   1.092531516238e-01   1.784718274181e+01
  1.224000000000e-01   4.329581723349e-04   1.892569846871e-05   1.092531705311e-01   1.748107638390e+01
  1.236000000000e-01   4.370032986173e-04   1.928980080497e-05   1.092531896694e-01   1.711497002598e+01
  1.248000000000e-01   4.410484248997e-04   1.965737025332e-05   1.092532090411e-01   1.674886366807e+01
  1.260000000000e-01   4.450935511821e-04   2.002840681376e-05   1.092532286483e-01   1.638275731016e+01
  1.272000000000e-01   4.491386774645e-04   2.040291048629e-05   1.092532484933e-01   1.601665095225e+01
  1.284000000000e-01   4.531838037469e-04   2.078088127093e-05   1.092532685783e-01   1.565054459433e+01
  1.296000000000e-01   4.572289300292e-04   2.116231916765e-05   1.092532889054e-01   1.528443823642e+01
  1.308000000000e-01   4.612740563116e-04   2.154722417647e-05   1.092533094770e-01   1.491833187851e+01
  1.320000000000e-01   4.653191825940e-04   2.193559629738e-05   1.092533302953e-01   1.455222552059e+01
  1.332000000000e-01   4.693643088764e-04   2.232743553039e-05   1.092533513625e-01   1.418611916268e+01
  1.344000000000e-01   4.734094351588e-04   2.272274187549e-05   1.092533726809e-01   1.382001280477e+01
  1.356000000000e-01   4.774545614412e-04   2.312151533268e-05   1.092533942526e-01   1.345390644686e+01
  1.368000000000e-01   4.814996877236e-04   2.352375590197e-05   1.092534160798e-01   1.308780008894e+01
  1.380000000000e-01   4.855448140060e-04   2.392946358335e-05   1.092534381649e-01   1.272169373103e+01
  1.392000000000e-01   4.895899402884e-04   2.433863837683e-05   1.092534605101e-01   1.235558737312e+01
  1.404000000000e-01   4.936350665708e-04   2.475128028240e-05   1.092534831175e-01   1.198948101521e+01
  1.416000000000e-01   4.976801928532e-04   2.516738930006e-05   1.092535059894e-01   1.162337465729e+01
  1.428000000000e-01   5.017253191355e-04   2.558696542982e-05   1.092535291281e-01   1.125726829938e+01
  1.440000000000e-01   5.108099296305e-04   2.626221654906e-05   1.092535716511e-01   1.094411953776e+01
  1.452000000000e-01   5.323658225070e-04   2.759766766597e-05   1.092536635789e-01   1.072026480348e+01
  1.464000000000e-01   5.562547230769e-04   2.909032912169e-05   1.092537672084e-01   1.048754545930e+01
  1.476000000000e-01   5.787219053846e-04   3.050591715392e-05   1.092538663102e-01   1.028195886965e+01
  1.488000000000e-01   6.025404218175e-04   3.201869340135e-05   1.092539730658e-01   1.007668885313e+01
  1.500000000000e-01   6.273310279360e-04   3.360595975747e-05   1.092540859852e-01   9.875581656038e+00
  1.512000000000e-01   6.524703458467e-04   3.522841588970e-05   1.092542023302e-01   9.683465497099e+00
  1.524000000000e-01   6.800525849810e-04   3.702296324392e-05   1.092543320589e-01   9.485060289355e+00
  1.536000000000e-01   7.070238053209e-04   3.879189761907e-05   1.092544609663e-01   9.302388418680e+00
  1.548000000000e-01   7.355331693875e-04   4.067643618296e-05   1.092545993795e-01   9.120329131736e+00
  1.560000000000e-01   7.626908866265e-04   4.248527653440e-05   1.092547332428e-01   8.956483158355e+00
  1.572000000000e-01   7.922868301298e-04   4.447122628534e-05   1.092548813098e-01   8.787609288150e+00
  1.584000000000e-01   8.237607274605e-04   4.659952403475e-05   1.092550412171e-01   8.618101303565e+00
  1.596000000000e-01   8.553190259811e-04   4.874992368799e-05   1.092552040260e-01   8.457621628989e+00
  1.608000000000e-01   8.878641347210e-04   5.098424548327e-05   1.092553744611e-01   8.301168941069e+00
  1.620000000000e-01   9.226039430123e-04   5.338737266167e-05   1.092555591662e-01   8.143386774115e+00
  1.632000000000e-01   9.577019085845e-04   5.583372516081e-05   1.092557486223e-01   7.992778004833e+00
  1.644000000000e-01   9.914491221311e-04   5.820291015846e-05   1.092559334265e-01   7.855573883577e+00
  1.656000000000e-01   1.030333194729e-03   6.095276499129e-05   1.092561494990e-01   7.705920594253e+00
  1.668000000000e-01   1.067617292614e-03   6.360904868445e-05   1.092563597685e-01   7.570173109123e+00
  1.680000000000e-01   1.104744567535e-03   6.627266430142e-05   1.092565720932e-01   7.441884246771e+00
  1.692000000000e-01   1.145659101713e-03   6.922877910139e-05   1.092568094028e-01   7.307795882453e+00
  1.704000000000e-01   1.186705996926e-03   7.221575322333e-05   1.092570509112e-01   7.180303717101e+00
  1.716000000000e-01   1.228409991050e-03   7.527178048106e-05   1.092572997316e-01   7.057371696246e+00
  1.728000000000e-01   1.272754959449e-03   7.854416706572e-05   1.092575680396e-01   6.933341030017e+00
  1.740000000000e-01   1.318422901657e-03   8.193809579246e-05   1.092578482874e-01   6.812208086326e+00
  1.752000000000e-01   1.363348036057e-03   8.529984954641e-05   1.092581277926e-01   6.699034566117e+00
  1.764000000000e-01   1.411484100432e-03   8.892653478580e-05   1.092584313886e-01   6.583819734077e+00
  1.776000000000e-01   1.459803220838e-03   9.259197802138e-05   1.092587403330e-01   6.473946604980e+00
  1.788000000000e-01   1.510812456867e-03   9.648789887529e-05   1.092590709439e-01   6.363724400927e+00
  1.800000000000e-01   1.561238791184e-03   1.003652523707e-04   1.092594021958e-01   6.260115486579e+00
  1.812000000000e-01   1.613815819995e-03   1.044347287461e-04   1.092597521614e-01   6.157301485326e+00
  1.824000000000e-01   1.667756469890e-03   1.086373946650e-04   1.092601159735e-01   6.056915191489e+00
  1.836000000000e-01   1.724305330386e-03   1.130725498261e-04   1.092605024621e-01   5.956774455713e+00
  1.848000000000e-01   1.780144388856e-03   1.174806813162e-04   1.092608891076e-01   5.862610740011e+00
  1.860000000000e-01   1.839293091801e-03   1.221803341327e-04   1.092613039925e-01   5.767580543350e+00
  1.872000000000e-01   1.899510854352e-03   1.269960801754e-04   1.092617318932e-01   5.675429411762e+00
  1.884000000000e-01   1.961441418825e-03   1.319807497243e-04   1.092621776595e-01   5.585119164594e+00
  1.896000000000e-01   2.025404619384e-03   1.371621664885e-04   1.092626440026e-01   5.496227969840e+00
  1.908000000000e-01   2.089464213668e-03   1.423843003906e-04   1.092631169899e-01   5.411325970883e+00
  1.920000000000e-01   2.156768498164e-03   1.479055322796e-04   1.092636202193e-01   5.326230552449e+00
  1.932000000000e-01   2.223974668494e-03   1.534532123568e-04   1.092641290219e-01   5.245143542796e+00
  1.944000000000e-01   2.293731101744e-03   1.592469726222e-04   1.092646636742e-01   5.164777800893e+00
  1.956000000000e-01   2.365136220843e-03   1.652142760696e-04   1.092652177390e-01   5.086223423119e+00
  1.968000000000e-01   2.439269671149e-03   1.714478170837e-04   1.092658000941e-01   5.008345213603e+00
  1.980000000000e-01   2.515178810473e-03   1.778700468492e-04   1.092664037771e-01   4.932196903277e+00
  1.992000000000e-01   2.591567796962e-03   1.843721288968e-04   1.092670186767e-01   4.858970238557e+00
  2.004000000000e-01   2.670732747044e-03   1.911510546583e-04   1.092676636142e-01   4.786422501974e+00
  2.016000000000e-01   2.751967122026e-03   1.981490844155e-04   1.092683334052e-01   4.715257076569e+00
  2.028000000000e-01   2.834578677014e-03   2.053082492844e-04   1.092690227081e-01   4.646046035044e+00
  2.040000000000e-01   2.919514238446e-03   2.127124441364e-04   1.092697398266e-01   4.577973447263e+00
  2.052000000000e-01   3.006387863068e-03   2.203302828612e-04   1.092704819890e-01   4.511353855971e+00
  2.064000000000e-01   3.095554490266e-03   2.281951051349e-04   1.092712527103e-01   4.445913745588e+00
  2.076000000000e-01   3.185993034414e-03   2.362185323710e-04   1.092720435466e-01   4.382366876850e+00
  2.088000000000e-01   3.280231494799e-03   2.446276669875e-04   1.092728772147e-01   4.318966427864e+00
  2.100000000000e-01   3.375173130546e-03   2.531485513637e-04   1.092737268444e-01   4.257797449580e+00
  2.112000000000e-01   3.472363129732e-03   2.619210142531e-04   1.092746065490e-01   4.197797071707e+00
  2.124000000000e-01   3.572858400470e-03   2.710435930816e-04   1.092755265816e-01   4.138349201507e+00
  2.136000000000e-01   3.674146847106e-03   2.802902509652e-04   1.092764644058e-01   4.080917639468e+00
  2.148000000000e-01   3.778523442715e-03   2.898723060534e-04   1.092774416971e-01   4.024168126511e+00
  2.160000000000e-01   3.885827997314e-03   2.997784901304e-04   1.092784577178e-01   3.968227171945e+00
  2.172000000000e-01   3.994598878863e-03   3.098760355658e-04   1.092794991353e-01   3.913838393680e+00
  2.184000000000e-01   4.106294069872e-03   3.203024330445e-04   1.092805804146e-01   3.860252045517e+00
  2.196000000000e-01   4.220353210499e-03   3.310081900222e-04   1.092816967798e-01   3.807742170100e+00
  2.208000000000e-01   4.337418392133e-03   3.420564310234e-04   1.092828551782e-01   3.756017178959e+00
  2.220000000000e-01   4.456482341967e-03   3.533546476919e-04   1.092840462464e-01   3.705514051987e+00
  2.232000000000e-01   4.578241971015e-03   3.649712632796e-04   1.092852775088e-01   3.655918995850e+00
  2.244000000000e-01   4.702603876151e-03   3.769001035364e-04   1.092865486721e-01   3.607265911555e+00
  2.256000000000e-01   4.829308478956e-03   3.891187128113e-04   1.092878576758e-01   3.559642192286e+00
  2.268000000000e-01   4.959498846609e-03   4.017404224275e-04   1.092892170675e-01   3.512622202468e+00
  2.280000000000e-01   5.092363809382e-03   4.146899277654e-04   1.092906191717e-01   3.466507901218e+00
  2.292000000000e-01   5.227251104536e-03   4.279058412911e-04   1.092920576553e-01   3.421502267139e+00
  2.304000000000e-01   5.365168158299e-03   4.414893029866e-04   1.092935438705e-01   3.377252294700e+00
  2.316000000000e-01   5.507370440939e-03   4.555681211621e-04   1.092950923362e-01   3.333379502739e+00
  2.328000000000e-01   5.651118211143e-03   4.698740378436e-04   1.092966739592e-01   3.290724137825e+00
  2.340000000000e-01   5.798426155486e-03   4.846099598354e-04   1.092983115221e-01   3.248668800581e+00
  2.352000000000e-01   5.948661877707e-03   4.997160746043e-04   1.092999988466e-01   3.207397205391e+00
  2.364000000000e-01   6.102235279333e-03   5.152368501727e-04   1.093017413505e-01   3.166794352285e+00
  2.376000000000e-01   6.258701955262e-03   5.311305753831e-04   1.093035347993e-01   3.126973529603e+00
  2.388000000000e-01   6.418577701340e-03   5.474528761083e-04   1.093053859256e-01   3.087798893938e+00
  2.400000000000e-01   6.581603322208e-03   5.641806958380e-04   1.093072925933e-01   3.049331834389e+00
  2.412000000000e-01   6.747858871399e-03   5.813254906130e-04   1.093092565723e-01   3.011547646948e+00
  2.424000000000e-01   6.916869963381e-03   5.988412534495e-04   1.093112730220e-01   2.974542523764e+00
  2.436000000000e-01   7.090301416722e-03   6.169043245838e-04   1.093133627791e-01   2.937953878020e+00
  2.448000000000e-01   7.265945156927e-03   6.352880929638e-04   1.093155001148e-01   2.902242203242e+00
  2.460000000000e-01   7.445975103104e-03   6.542233979188e-04   1.093177123533e-01   2.866958410897e+00
  2.472000000000e-01   7.629650496845e-03   6.736367147337e-04   1.093199915205e-01   2.832255360878e+00
  2.484000000000e-01   7.817519200109e-03   6.935901612000e-04   1.093223455102e-01   2.798033316934e+00
  2.496000000000e-01   8.007838915685e-03   7.139019524801e-04   1.093247533698e-01   2.764600523367e+00
  2.508000000000e-01   8.202383282673e-03   7.347646372277e-04   1.093272384215e-01   2.731635807539e+00
  2.520000000000e-01   8.400577173047e-03   7.561206969847e-04   1.093297944210e-01   2.699237627946e+00
  2.532000000000e-01   8.602498561453e-03   7.779822794485e-04   1.093324233846e-01   2.667388750629e+00
  2.544000000000e-01   8.808432533711e-03   8.003842479118e-04   1.093351301016e-01   2.636042011344e+00
  2.556000000000e-01   9.018851536433e-03   8.233825506027e-04   1.093379220007e-01   2.605128462187e+00
  2.568000000000e-01   9.231834760448e-03   8.467706570748e-04   1.093407745443e-01   2.574921172220e+00
  2.580000000000e-01   9.449750561868e-03   8.708123637053e-04   1.093437204835e-01   2.545077831170e+00
  2.592000000000e-01   9.671864472619e-03   8.954315961794e-04   1.093467512280e-01   2.515703911584e+00
  2.604000000000e-01   9.898674862669e-03   9.206883392267e-04   1.093498748739e-01   2.486735451846e+00
  2.616000000000e-01   1.012865990975e-02   9.464170544336e-04   1.093530715635e-01   2.458361194483e+00
  2.628000000000e-01   1.036294260789e-02   9.727469587373e-04   1.093563579291e-01   2.430433881850e+00
  2.640000000000e-01   1.060258937988e-02   9.998031486256e-04   1.093597503732e-01   2.402830719192e+00
  2.652000000000e-01   1.084554233967e-02   1.027357740955e-03   1.093632210173e-01   2.375786368761e+00
  2.664000000000e-01   1.109296137716e-02   1.055546011193e-03   1.093667875085e-01   2.349163564488e+00
