# Exact Riemann solution for problem: sedov
# Discretization: 1001
# Domain bounds: [0.00000e+00,1.20000e+00]
# Gamma: 1.40000e+00
# Time: 1.00000e+00
                   x                  rho                    P                |v_i|                 eint                 Cspd
  0.000000000000e+00   2.035529153105e-05   4.370081523282e-02   0.000000000000e+00   5.367254893667e+03   5.482392489099e+01
  1.200000000000e-03   2.440041781344e-05   4.370081805166e-02   4.285542467488e-04   5.324213127497e+03   5.445781853308e+01
  2.400000000000e-03   2.844554409583e-05   4.370082087050e-02   8.571084934977e-04   5.281171361327e+03   5.409171217517e+01
  3.600000000000e-03   3.249067037823e-05   4.370082368934e-02   1.285662740247e-03   5.238129595156e+03   5.372560581726e+01
  4.800000000000e-03   3.653579666062e-05   4.370082650818e-02   1.714216986995e-03   5.195087828986e+03   5.335949945934e+01
  6.000000000000e-03   4.058092294301e-05   4.370082932702e-02   2.142771233744e-03   5.152046062816e+03   5.299339310143e+01
  7.200000000000e-03   4.462604922540e-05   4.370083214586e-02   2.571325480493e-03   5.109004296646e+03   5.262728674352e+01
  8.400000000000e-03   4.867117550779e-05   4.370083496469e-02   2.999879727242e-03   5.065962530476e+03   5.226118038560e+01
  9.600000000000e-03   5.271630179018e-05   4.370083778353e-02   3.428433973991e-03   5.022920764306e+03   5.189507402769e+01
  1.080000000000e-02   5.676142807257e-05   4.370084060237e-02   3.856988220740e-03   4.979878998136e+03   5.152896766978e+01
  1.200000000000e-02   6.080655435496e-05   4.370084342121e-02   4.285542467488e-03   4.936837231966e+03   5.116286131187e+01
  1.320000000000e-02   6.485168063735e-05   4.370084624005e-02   4.714096714237e-03   4.893795465796e+03   5.079675495395e+01
  1.440000000000e-02   6.889680691974e-05   4.370084905889e-02   5.142650960986e-03   4.850753699626e+03   5.043064859604e+01
  1.560000000000e-02   7.294193320213e-05   4.370085187773e-02   5.571205207735e-03   4.807711933455e+03   5.006454223813e+01
  1.680000000000e-02   7.698705948452e-05   4.370085469657e-02   5.999759454484e-03   4.764670167285e+03   4.969843588022e+01
  1.800000000000e-02   8.103218576691e-05   4.370085751540e-02   6.428313701233e-03   4.721628401115e+03   4.933232952230e+01
  1.920000000000e-02   8.507731204930e-05   4.370086033424e-02   6.856867947981e-03   4.678586634945e+03   4.896622316439e+01
  2.040000000000e-02   8.912243833169e-05   4.370086315308e-02   7.285422194730e-03   4.635544868775e+03   4.860011680648e+01
  2.160000000000e-02   9.316756461408e-05   4.370086597192e-02   7.713976441479e-03   4.592503102605e+03   4.823401044856e+01
  2.280000000000e-02   9.721269089648e-05   4.370086879076e-02   8.142530688228e-03   4.549461336435e+03   4.786790409065e+01
  2.400000000000e-02   1.012578171789e-04   4.370087160960e-02   8.571084934977e-03   4.506419570265e+03   4.750179773274e+01
  2.520000000000e-02   1.053029434613e-04   4.370087442844e-02   8.999639181726e-03   4.463377804095e+03   4.713569137483e+01
  2.640000000000e-02   1.093480697436e-04   4.370087724728e-02   9.428193428474e-03   4.420336037925e+03   4.676958501691e+01
  2.760000000000e-02   1.133931960260e-04   4.370088006612e-02   9.856747675223e-03   4.377294271755e+03   4.640347865900e+01
  2.880000000000e-02   1.174383223084e-04   4.370088288495e-02   1.028530192197e-02   4.334252505584e+03   4.603737230109e+01
  3.000000000000e-02   1.214834485908e-04   4.370088570379e-02   1.071385616872e-02   4.291210739414e+03   4.567126594318e+01
  3.120000000000e-02   1.255285748732e-04   4.370088852263e-02   1.114241041547e-02   4.248168973244e+03   4.530515958526e+01
  3.240000000000e-02   1.295737011556e-04   4.370089134147e-02   1.157096466222e-02   4.205127207074e+03   4.493905322735e+01
  3.360000000000e-02   1.336188274380e-04   4.370089416031e-02   1.199951890897e-02   4.162085440904e+03   4.457294686944e+01
  3.480000000000e-02   1.376639537204e-04   4.370089697915e-02   1.242807315572e-02   4.119043674734e+03   4.420684051153e+01
  3.600000000000e-02   1.417090800028e-04   4.370089979799e-02   1.285662740247e-02   4.076001908564e+03   4.384073415361e+01
  3.720000000000e-02   1.457542062852e-04   4.370090261683e-02   1.328518164921e-02   4.032960142394e+03   4.347462779570e+01
  3.840000000000e-02   1.497993325676e-04   4.370090543566e-02   1.371373589596e-02   3.989918376224e+03   4.310852143779e+01
  3.960000000000e-02   1.538444588499e-04   4.370090825450e-02   1.414229014271e-02   3.946876610054e+03   4.274241507987e+01
  4.080000000000e-02   1.578895851323e-04   4.370091107334e-02   1.457084438946e-02   3.903834843884e+03   4.237630872196e+01
  4.200000000000e-02   1.619347114147e-04   4.370091389218e-02   1.499939863621e-02   3.860793077713e+03   4.201020236405e+01
  4.320000000000e-02   1.659798376971e-04   4.370091671102e-02   1.542795288296e-02   3.817751311543e+03   4.164409600614e+01
  4.440000000000e-02   1.700249639795e-04   4.370091952986e-02   1.585650712971e-02   3.774709545373e+03   4.127798964822e+01
  4.560000000000e-02   1.740700902619e-04   4.370092234870e-02   1.628506137646e-02   3.731667779203e+03   4.091188329031e+01
  4.680000000000e-02   1.781152165443e-04   4.370092516754e-02   1.671361562320e-02   3.688626013033e+03   4.054577693240e+01
  4.800000000000e-02   1.821603428267e-04   4.370092798637e-02   1.714216986995e-02   3.645584246863e+03   4.017967057449e+01
  4.920000000000e-02   1.862054691091e-04   4.370093080521e-02   1.757072411670e-02   3.602542480693e+03   3.981356421657e+01
  5.040000000000e-02   1.902505953915e-04   4.370093362405e-02   1.799927836345e-02   3.559500714523e+03   3.944745785866e+01
  5.160000000000e-02   1.942957216739e-04   4.370093644289e-02   1.842783261020e-02   3.516458948353e+03   3.908135150075e+01
  5.280000000000e-02   1.983408479562e-04   4.370093926173e-02   1.885638685695e-02   3.473417182183e+03   3.871524514283e+01
  5.400000000000e-02   2.023859742386e-04   4.370094208057e-02   1.928494110370e-02   3.430375416013e+03   3.834913878492e+01
  5.520000000000e-02   2.064311005210e-04   4.370094489941e-02   1.971349535045e-02   3.387333649842e+03   3.798303242701e+01
  5.640000000000e-02   2.104762268034e-04   4.370094771825e-02   2.014204959720e-02   3.344291883672e+03   3.761692606910e+01
  5.760000000000e-02   2.145213530858e-04   4.370095053709e-02   2.057060384394e-02   3.301250117502e+03   3.725081971118e+01
  5.880000000000e-02   2.185664793682e-04   4.370095335592e-02   2.099915809069e-02   3.258208351332e+03   3.688471335327e+01
  6.000000000000e-02   2.226116056506e-04   4.370095617476e-02   2.142771233744e-02   3.215166585162e+03   3.651860699536e+01
  6.120000000000e-02   2.266567319330e-04   4.370095899360e-02   2.185626658419e-02   3.172124818992e+03   3.615250063745e+01
  6.240000000000e-02   2.307018582154e-04   4.370096181244e-02   2.228482083094e-02   3.129083052822e+03   3.578639427953e+01
  6.360000000000e-02   2.347469844978e-04   4.370096463128e-02   2.271337507769e-02   3.086041286652e+03   3.542028792162e+01
  6.480000000000e-02   2.387921107801e-04   4.370096745012e-02   2.314192932444e-02   3.042999520482e+03   3.505418156371e+01
  6.600000000000e-02   2.428372370625e-04   4.370097026896e-02   2.357048357119e-02   2.999957754312e+03   3.468807520579e+01
  6.720000000000e-02   2.468823633449e-04   4.370097308780e-02   2.399903781794e-02   2.956915988141e+03   3.432196884788e+01
  6.840000000000e-02   2.509274896273e-04   4.370097590663e-02   2.442759206468e-02   2.913874221971e+03   3.395586248997e+01
  6.960000000000e-02   2.549726159097e-04   4.370097872547e-02   2.485614631143e-02   2.870832455801e+03   3.358975613206e+01
  7.080000000000e-02   2.590177421921e-04   4.370098154431e-02   2.528470055818e-02   2.827790689631e+03   3.322364977414e+01
  7.200000000000e-02   2.630628684745e-04   4.370098436315e-02   2.571325480493e-02   2.784748923461e+03   3.285754341623e+01
  7.320000000000e-02   2.671079947569e-04   4.370098718199e-02   2.614180905168e-02   2.741707157291e+03   3.249143705832e+01
  7.440000000000e-02   2.711531210393e-04   4.370099000083e-02   2.657036329843e-02   2.698665391121e+03   3.212533070041e+01
  7.560000000000e-02   2.751982473217e-04   4.370099281967e-02   2.699891754518e-02   2.655623624951e+03   3.175922434249e+01
  7.680000000000e-02   2.792433736041e-04   4.370099563851e-02   2.742747179193e-02   2.612581858781e+03   3.139311798458e+01
  7.800000000000e-02   2.832884998864e-04   4.370099845734e-02   2.785602603867e-02   2.569540092611e+03   3.102701162667e+01
  7.920000000000e-02   2.873336261688e-04   4.370100127618e-02   2.828458028542e-02   2.526498326441e+03   3.066090526875e+01
  8.040000000000e-02   2.913787524512e-04   4.370100409502e-02   2.871313453217e-02   2.483456560270e+03   3.029479891084e+01
