# Exact Riemann solution for problem: user
# Discretization: nodal
# Domain bounds: [0.00000e+00,1.00000e+00]
# Iterface position: 3.00000e-01
# Gamma: 1.66667e+00
# Left  state [dens,velx,pres]: [1.00000e+00, 0.00000e+00, 6.66667e+01]
# Right state [dens,velx,pres]: [2.00000e-01, 0.00000e+00, 6.66700e-02]
# Time: 1.81200e-02
                   x                 dens                 momx                 Erho                   Ma
  0.000000000000e+00   1.000000000000e+00   0.000000000000e+00   1.000000450000e+02   0.000000000000e+00
  1.000000000000e-02   1.000000000000e+00   0.000000000000e+00   1.000000450000e+02   0.000000000000e+00
  2.000000000000e-02   1.000000000000e+00   0.000000000000e+00   1.000000450000e+02   0.000000000000e+00
  3.000000000000e-02   1.000000000000e+00   0.000000000000e+00   1.000000450000e+02   0.000000000000e+00
  4.000000000000e-02   1.000000000000e+00   0.000000000000e+00   1.000000450000e+02   0.000000000000e+00
  5.000000000000e-02   1.000000000000e+00   0.000000000000e+00   1.000000450000e+02   0.000000000000e+00
  6.000000000000e-02   1.000000000000e+00   0.000000000000e+00   1.000000450000e+02   0.000000000000e+00
  7.000000000000e-02   1.000000000000e+00   0.000000000000e+00   1.000000450000e+02   0.000000000000e+00
  8.000000000000e-02   1.000000000000e+00   0.000000000000e+00   1.000000450000e+02   0.000000000000e+00
  9.000000000000e-02   1.000000000000e+00   0.000000000000e+00   1.000000450000e+02   0.000000000000e+00
  1.000000000000e-01   1.000000000000e+00   0.000000000000e+00   1.000000450000e+02   0.000000000000e+00
  1.100000000000e-01   9.960721232639e-01   4.129495367928e-02   9.934711206659e+01   3.938193738836e-03
  1.200000000000e-01   9.574193729636e-01   4.359753439837e-01   9.310374630470e+01   4.383087323666e-02
  1.300000000000e-01   9.197797356456e-01   7.995390959438e-01   8.733829483927e+01   8.479737292409e-02
  1.400000000000e-01   8.831397570427e-01   1.133226949833e+00   8.201933744043e+01   1.268816414960e-01
  1.500000000000e-01   8.474859828873e-01   1.438257370648e+00   7.711680460115e+01   1.701300590939e-01
  1.600000000000e-01   8.128049589123e-01   1.715826548109e+00   7.260194987756e+01   2.145916078134e-01
  1.700000000000e-01   7.790832308500e-01   1.967108396659e+00   6.844732222922e+01   2.603180567633e-01
  1.800000000000e-01   7.463073444332e-01   2.193254555463e+00   6.462673835946e+01   3.073641631475e-01
  1.900000000000e-01   7.144638453943e-01   2.395394388411e+00   6.111525505565e+01   3.557878910112e-01
  2.000000000000e-01   6.835392794658e-01   2.574634984113e+00   5.788914152952e+01   4.056506494891e-01
  2.100000000000e-01   6.535201923803e-01   2.732061155906e+00   5.492585175746e+01   4.570175526141e-01
  2.200000000000e-01   6.243931298701e-01   2.868735441846e+00   5.220399682082e+01   5.099577029979e-01
  2.300000000000e-01   5.961446376677e-01   2.985698104714e+00   4.970331724620e+01   5.645445019827e-01
  2.400000000000e-01   5.687612615055e-01   3.083967132011e+00   4.740465534578e+01   6.208559891910e-01
  2.500000000000e-01   5.422295471157e-01   3.164538235965e+00   4.528992755760e+01   6.789752147757e-01
  2.600000000000e-01   5.165360402308e-01   3.228384853522e+00   4.334209678585e+01   7.389906481068e-01
  2.700000000000e-01   4.916672865830e-01   3.276458146352e+00   4.154514474121e+01   8.009966271221e-01
  2.800000000000e-01   4.676098319045e-01   3.309687000850e+00   3.988404428111e+01   8.650938531437e-01
  2.900000000000e-01   4.443502219277e-01   3.328978028128e+00   3.834473175008e+01   9.313899366176e-01
  3.000000000000e-01   4.289500031781e-01   3.334592535723e+00   3.735877090158e+01   9.778862834801e-01
  3.100000000000e-01   4.289500031781e-01   3.334592535723e+00   3.735877090158e+01   9.778862834801e-01
  3.200000000000e-01   4.289500031781e-01   3.334592535723e+00   3.735877090158e+01   9.778862834801e-01
  3.300000000000e-01   4.289500031781e-01   3.334592535723e+00   3.735877090158e+01   9.778862834801e-01
  3.400000000000e-01   4.289500031781e-01   3.334592535723e+00   3.735877090158e+01   9.778862834801e-01
  3.500000000000e-01   4.289500031781e-01   3.334592535723e+00   3.735877090158e+01   9.778862834801e-01
  3.600000000000e-01   4.289500031781e-01   3.334592535723e+00   3.735877090158e+01   9.778862834801e-01
  3.700000000000e-01   4.289500031781e-01   3.334592535723e+00   3.735877090158e+01   9.778862834801e-01
  3.800000000000e-01   4.289500031781e-01   3.334592535723e+00   3.735877090158e+01   9.778862834801e-01
  3.900000000000e-01   4.289500031781e-01   3.334592535723e+00   3.735877090158e+01   9.778862834801e-01
  4.000000000000e-01   4.289500031781e-01   3.334592535723e+00   3.735877090158e+01   9.778862834801e-01
  4.100000000000e-01   4.289500031781e-01   3.334592535723e+00   3.735877090158e+01   9.778862834801e-01
  4.200000000000e-01   4.289500031781e-01   3.334592535723e+00   3.735877090158e+01   9.778862834801e-01
  4.300000000000e-01   4.289500031781e-01   3.334592535723e+00   3.735877090158e+01   9.778862834801e-01
  4.400000000000e-01   4.289500031781e-01   3.334592535723e+00   3.735877090158e+01   9.778862834801e-01
  4.500000000000e-01   7.879013639026e-01   6.125026197667e+00   4.820497581078e+01   1.325320583088e+00
  4.600000000000e-01   7.879013639026e-01   6.125026197667e+00   4.820497581078e+01   1.325320583088e+00
  4.700000000000e-01   7.879013639026e-01   6.125026197667e+00   4.820497581078e+01   1.325320583088e+00
  4.800000000000e-01   7.879013639026e-01   6.125026197667e+00   4.820497581078e+01   1.325320583088e+00
  4.900000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  5.000000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  5.100000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  5.200000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  5.300000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  5.400000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  5.500000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  5.600000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  5.700000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  5.800000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  5.900000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  6.000000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  6.100000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  6.200000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  6.300000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  6.400000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  6.500000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  6.600000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  6.700000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  6.800000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  6.900000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  7.000000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  7.100000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  7.200000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  7.300000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  7.400000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  7.500000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  7.600000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  7.700000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  7.800000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  7.900000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  8.000000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  8.100000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  8.200000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  8.300000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  8.400000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  8.500000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  8.600000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  8.700000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  8.800000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  8.900000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  9.000000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  9.100000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  9.200000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  9.300000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  9.400000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  9.500000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  9.600000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  9.700000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  9.800000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  9.900000000000e-01   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
  1.000000000000e+00   2.000000000000e-01   0.000000000000e+00   1.000049949998e-01   0.000000000000e+00
