# Exact Riemann solution for problem: user
# Discretization: nodal
# Domain bounds: [0.00000e+00,1.00000e+00]
# Iterface position: 3.00000e-01
# Gamma: 1.66667e+00
# Left  state [dens,velx,pres]: [1.00000e+00, 0.00000e+00, 6.66667e+01]
# Right state [dens,velx,pres]: [2.00000e-01, 0.00000e+00, 6.66700e-02]
# Time: 1.81200e-02
                   x                 dens                 pres                 velx                 eint                 cspd
  0.000000000000e+00   1.000000000000e+00   6.666670000000e+01   0.000000000000e+00   1.000000450000e+02   1.054092827453e+01
  1.000000000000e-02   1.000000000000e+00   6.666670000000e+01   0.000000000000e+00   1.000000450000e+02   1.054092827453e+01
  2.000000000000e-02   1.000000000000e+00   6.666670000000e+01   0.000000000000e+00   1.000000450000e+02   1.054092827453e+01
  3.000000000000e-02   1.000000000000e+00   6.666670000000e+01   0.000000000000e+00   1.000000450000e+02   1.054092827453e+01
  4.000000000000e-02   1.000000000000e+00   6.666670000000e+01   0.000000000000e+00   1.000000450000e+02   1.054092827453e+01
  5.000000000000e-02   1.000000000000e+00   6.666670000000e+01   0.000000000000e+00   1.000000450000e+02   1.054092827453e+01
  6.000000000000e-02   1.000000000000e+00   6.666670000000e+01   0.000000000000e+00   1.000000450000e+02   1.054092827453e+01
  7.000000000000e-02   1.000000000000e+00   6.666670000000e+01   0.000000000000e+00   1.000000450000e+02   1.054092827453e+01
  8.000000000000e-02   1.000000000000e+00   6.666670000000e+01   0.000000000000e+00   1.000000450000e+02   1.054092827453e+01
  9.000000000000e-02   1.000000000000e+00   6.666670000000e+01   0.000000000000e+00   1.000000450000e+02   1.054092827453e+01
  1.000000000000e-01   1.000000000000e+00   6.666670000000e+01   0.000000000000e+00   1.000000450000e+02   1.054092827453e+01
  1.100000000000e-01   9.960721232639e-01   6.623084069003e+01   4.145779478695e-02   9.973801469536e+01   1.052710900891e+01
  1.200000000000e-01   9.574193729636e-01   6.200299132163e+01   4.553650743813e-01   9.714079844065e+01   1.038913990882e+01
  1.300000000000e-01   9.197797356456e-01   5.799386038186e+01   8.692723539757e-01   9.457784603418e+01   1.025117080872e+01
  1.400000000000e-01   8.831397570427e-01   5.419484975595e+01   1.283179633570e+00   9.204915747597e+01   1.011320170863e+01
  1.500000000000e-01   8.474859828873e-01   5.059758967681e+01   1.697086913164e+00   8.955473276600e+01   9.975232608529e+00
  1.600000000000e-01   8.128049589123e-01   4.719393565179e+01   2.110994192759e+00   8.709457190428e+01   9.837263508432e+00
  1.700000000000e-01   7.790832308500e-01   4.397596538928e+01   2.524901472353e+00   8.466867489080e+01   9.699294408336e+00
  1.800000000000e-01   7.463073444332e-01   4.093597572549e+01   2.938808751948e+00   8.227704172558e+01   9.561325308239e+00
  1.900000000000e-01   7.144638453943e-01   3.806647955113e+01   3.352716031542e+00   7.991967240860e+01   9.423356208142e+00
  2.000000000000e-01   6.835392794658e-01   3.536020273808e+01   3.766623311136e+00   7.759656693988e+01   9.285387108046e+00
  2.100000000000e-01   6.535201923803e-01   3.281008106614e+01   4.180530590731e+00   7.530772531940e+01   9.147418007949e+00
  2.200000000000e-01   6.243931298701e-01   3.040925714969e+01   4.594437870325e+00   7.305314754717e+01   9.009448907853e+00
  2.300000000000e-01   5.961446376677e-01   2.815107736440e+01   5.008345149919e+00   7.083283362318e+01   8.871479807756e+00
  2.400000000000e-01   5.687612615055e-01   2.602908877395e+01   5.422252429514e+00   6.864678354745e+01   8.733510707659e+00
  2.500000000000e-01   5.422295471157e-01   2.403703605669e+01   5.836159709108e+00   6.649499731996e+01   8.595541607563e+00
  2.600000000000e-01   5.165360402308e-01   2.216885843240e+01   6.250066988703e+00   6.437747494072e+01   8.457572507466e+00
  2.700000000000e-01   4.916672865830e-01   2.041868658892e+01   6.663974268297e+00   6.229421640973e+01   8.319603407370e+00
  2.800000000000e-01   4.676098319045e-01   1.878083960891e+01   7.077881547891e+00   6.024522172699e+01   8.181634307273e+00
  2.900000000000e-01   4.443502219277e-01   1.724982189652e+01   7.491788827486e+00   5.823049089249e+01   8.043665207177e+00
  3.000000000000e-01   4.289500031781e-01   1.626497517665e+01   7.773848959125e+00   5.687716835143e+01   7.949645158596e+00
  3.100000000000e-01   4.289500031781e-01   1.626497517665e+01   7.773848959125e+00   5.687716835143e+01   7.949645158596e+00
  3.200000000000e-01   4.289500031781e-01   1.626497517665e+01   7.773848959125e+00   5.687716835143e+01   7.949645158596e+00
  3.300000000000e-01   4.289500031781e-01   1.626497517665e+01   7.773848959125e+00   5.687716835143e+01   7.949645158596e+00
  3.400000000000e-01   4.289500031781e-01   1.626497517665e+01   7.773848959125e+00   5.687716835143e+01   7.949645158596e+00
  3.500000000000e-01   4.289500031781e-01   1.626497517665e+01   7.773848959125e+00   5.687716835143e+01   7.949645158596e+00
  3.600000000000e-01   4.289500031781e-01   1.626497517665e+01   7.773848959125e+00   5.687716835143e+01   7.949645158596e+00
  3.700000000000e-01   4.289500031781e-01   1.626497517665e+01   7.773848959125e+00   5.687716835143e+01   7.949645158596e+00
  3.800000000000e-01   4.289500031781e-01   1.626497517665e+01   7.773848959125e+00   5.687716835143e+01   7.949645158596e+00
  3.900000000000e-01   4.289500031781e-01   1.626497517665e+01   7.773848959125e+00   5.687716835143e+01   7.949645158596e+00
  4.000000000000e-01   4.289500031781e-01   1.626497517665e+01   7.773848959125e+00   5.687716835143e+01   7.949645158596e+00
  4.100000000000e-01   4.289500031781e-01   1.626497517665e+01   7.773848959125e+00   5.687716835143e+01   7.949645158596e+00
  4.200000000000e-01   4.289500031781e-01   1.626497517665e+01   7.773848959125e+00   5.687716835143e+01   7.949645158596e+00
  4.300000000000e-01   4.289500031781e-01   1.626497517665e+01   7.773848959125e+00   5.687716835143e+01   7.949645158596e+00
  4.400000000000e-01   4.289500031781e-01   1.626497517665e+01   7.773848959125e+00   5.687716835143e+01   7.949645158596e+00
  4.500000000000e-01   7.879013639026e-01   1.626497517665e+01   7.773848959125e+00   3.096512160388e+01   5.865636630356e+00
  4.600000000000e-01   7.879013639026e-01   1.626497517665e+01   7.773848959125e+00   3.096512160388e+01   5.865636630356e+00
  4.700000000000e-01   7.879013639026e-01   1.626497517665e+01   7.773848959125e+00   3.096512160388e+01   5.865636630356e+00
  4.800000000000e-01   7.879013639026e-01   1.626497517665e+01   7.773848959125e+00   3.096512160388e+01   5.865636630356e+00
  4.900000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  5.000000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  5.100000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  5.200000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  5.300000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  5.400000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  5.500000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  5.600000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  5.700000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  5.800000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  5.900000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  6.000000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  6.100000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  6.200000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  6.300000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  6.400000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  6.500000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
  6.600000000000e-01   2.000000000000e-01   6.667000000000e-02   0.000000000000e+00   5.000249749988e-01   7.453746336206e-01
