Points_0,Points_1,Points_2,Points_Magnitude,Solution,arc_length,Point ID,vtkValidPointMask
-1,0,0,1,0.842865,0,0,1
-0.998,0,0,0.998,0.833884,0.00199997,1,1
-0.996,0,0,0.996,0.824902,0.00400001,2,1
-0.994,0,0,0.994,0.815921,0.00599998,3,1
-0.992,0,0,0.992,0.80694,0.00800002,4,1
-0.99,0,0,0.99,0.797958,0.00999999,5,1
-0.988,0,0,0.988,0.788977,0.012,6,1
-0.986,0,0,0.986,0.779996,0.014,7,1
-0.984,0,0,0.984,0.771014,0.016,8,1
-0.982,0,0,0.982,0.762033,0.018,9,1
-0.98,0,0,0.98,0.753052,0.02,10,1
-0.978,0,0,0.978,0.74407,0.022,11,1
-0.976,0,0,0.976,0.735089,0.024,12,1
-0.974,0,0,0.974,0.726107,0.026,13,1
-0.972,0,0,0.972,0.717126,0.028,14,1
-0.97,0,0,0.97,0.708145,0.03,15,1
-0.968,0,0,0.968,0.699163,0.032,16,1
-0.966,0,0,0.966,0.690182,0.034,17,1
-0.964,0,0,0.964,0.681201,0.036,18,1
-0.962,0,0,0.962,0.672219,0.038,19,1
-0.96,0,0,0.96,0.663238,0.04,20,1
-0.958,0,0,0.958,0.654257,0.042,21,1
-0.956,0,0,0.956,0.645275,0.044,22,1
-0.954,0,0,0.954,0.636294,0.046,23,1
-0.952,0,0,0.952,0.627313,0.048,24,1
-0.95,0,0,0.95,0.618331,0.05,25,1
-0.948,0,0,0.948,0.60935,0.052,26,1
-0.946,0,0,0.946,0.600368,0.054,27,1
-0.944,0,0,0.944,0.591387,0.056,28,1
-0.942,0,0,0.942,0.582406,0.058,29,1
-0.94,0,0,0.94,0.573424,0.06,30,1
-0.938,0,0,0.938,0.564443,0.062,31,1
-0.936,0,0,0.936,0.555462,0.064,32,1
-0.934,0,0,0.934,0.54648,0.066,33,1
-0.932,0,0,0.932,0.538487,0.068,34,1
-0.93,0,0,0.93,0.530989,0.07,35,1
-0.928,0,0,0.928,0.52349,0.072,36,1
-0.926,0,0,0.926,0.515992,0.074,37,1
-0.924,0,0,0.924,0.508494,0.076,38,1
-0.922,0,0,0.922,0.500995,0.078,39,1
-0.92,0,0,0.92,0.493497,0.08,40,1
-0.918,0,0,0.918,0.485998,0.082,41,1
-0.916,0,0,0.916,0.4785,0.084,42,1
-0.914,0,0,0.914,0.471001,0.086,43,1
-0.912,0,0,0.912,0.463503,0.088,44,1
-0.91,0,0,0.91,0.456005,0.09,45,1
-0.908,0,0,0.908,0.448506,0.092,46,1
-0.906,0,0,0.906,0.441008,0.094,47,1
-0.904,0,0,0.904,0.433509,0.096,48,1
-0.902,0,0,0.902,0.426011,0.098,49,1
-0.9,0,0,0.9,0.418512,0.1,50,1
-0.898,0,0,0.898,0.411014,0.102,51,1
-0.896,0,0,0.896,0.403516,0.104,52,1
-0.894,0,0,0.894,0.396017,0.106,53,1
-0.892,0,0,0.892,0.388519,0.108,54,1
-0.89,0,0,0.89,0.38102,0.11,55,1
-0.888,0,0,0.888,0.373522,0.112,56,1
-0.886,0,0,0.886,0.366023,0.114,57,1
-0.884,0,0,0.884,0.358525,0.116,58,1
-0.882,0,0,0.882,0.351027,0.118,59,1
-0.88,0,0,0.88,0.343528,0.12,60,1
-0.878,0,0,0.878,0.33603,0.122,61,1
-0.876,0,0,0.876,0.328531,0.124,62,1
-0.874,0,0,0.874,0.321033,0.126,63,1
-0.872,0,0,0.872,0.313534,0.128,64,1
-0.87,0,0,0.87,0.306036,0.13,65,1
-0.868,0,0,0.868,0.298537,0.132,66,1
-0.866,0,0,0.866,0.291496,0.134,67,1
-0.864,0,0,0.864,0.285368,0.136,68,1
-0.862,0,0,0.862,0.27924,0.138,69,1
-0.86,0,0,0.86,0.273112,0.14,70,1
-0.858,0,0,0.858,0.266984,0.142,71,1
-0.856,0,0,0.856,0.260856,0.144,72,1
-0.854,0,0,0.854,0.254728,0.146,73,1
-0.852,0,0,0.852,0.248601,0.148,74,1
-0.85,0,0,0.85,0.242473,0.15,75,1
-0.848,0,0,0.848,0.236345,0.152,76,1
