Points_0,Points_1,Points_2,Points_Magnitude,Solution,arc_length,Point ID,vtkValidPointMask
-1,0,0,1,0.700272,0,0,1
-0.998,0,0,0.998,0.697613,0.00199997,1,1
-0.996,0,0,0.996,0.694954,0.00400001,2,1
-0.994,0,0,0.994,0.692296,0.00599998,3,1
-0.992,0,0,0.992,0.689637,0.00800002,4,1
-0.99,0,0,0.99,0.686978,0.00999999,5,1
-0.988,0,0,0.988,0.684319,0.012,6,1
-0.986,0,0,0.986,0.681661,0.014,7,1
-0.984,0,0,0.984,0.679002,0.016,8,1
-0.982,0,0,0.982,0.676343,0.018,9,1
-0.98,0,0,0.98,0.673685,0.02,10,1
-0.978,0,0,0.978,0.671026,0.022,11,1
-0.976,0,0,0.976,0.668367,0.024,12,1
-0.974,0,0,0.974,0.665708,0.026,13,1
-0.972,0,0,0.972,0.66305,0.028,14,1
-0.97,0,0,0.97,0.660391,0.03,15,1
-0.968,0,0,0.968,0.657732,0.032,16,1
-0.966,0,0,0.966,0.655074,0.034,17,1
-0.964,0,0,0.964,0.652415,0.036,18,1
-0.962,0,0,0.962,0.649756,0.038,19,1
-0.96,0,0,0.96,0.647097,0.04,20,1
-0.958,0,0,0.958,0.644439,0.042,21,1
-0.956,0,0,0.956,0.64178,0.044,22,1
-0.954,0,0,0.954,0.639121,0.046,23,1
-0.952,0,0,0.952,0.636463,0.048,24,1
-0.95,0,0,0.95,0.633804,0.05,25,1
-0.948,0,0,0.948,0.631145,0.052,26,1
-0.946,0,0,0.946,0.628486,0.054,27,1
-0.944,0,0,0.944,0.625828,0.056,28,1
-0.942,0,0,0.942,0.623169,0.058,29,1
-0.94,0,0,0.94,0.62051,0.06,30,1
-0.938,0,0,0.938,0.617852,0.062,31,1
-0.936,0,0,0.936,0.615193,0.064,32,1
-0.934,0,0,0.934,0.612534,0.066,33,1
-0.932,0,0,0.932,0.609557,0.068,34,1
-0.93,0,0,0.93,0.606421,0.07,35,1
-0.928,0,0,0.928,0.603284,0.072,36,1
-0.926,0,0,0.926,0.600148,0.074,37,1
-0.924,0,0,0.924,0.597012,0.076,38,1
-0.922,0,0,0.922,0.593875,0.078,39,1
-0.92,0,0,0.92,0.590739,0.08,40,1
-0.918,0,0,0.918,0.587603,0.082,41,1
-0.916,0,0,0.916,0.584466,0.084,42,1
-0.914,0,0,0.914,0.58133,0.086,43,1
-0.912,0,0,0.912,0.578194,0.088,44,1
-0.91,0,0,0.91,0.575058,0.09,45,1
-0.908,0,0,0.908,0.571921,0.092,46,1
-0.906,0,0,0.906,0.568785,0.094,47,1
-0.904,0,0,0.904,0.565648,0.096,48,1
-0.902,0,0,0.902,0.562512,0.098,49,1
-0.9,0,0,0.9,0.559376,0.1,50,1
-0.898,0,0,0.898,0.55624,0.102,51,1
-0.896,0,0,0.896,0.553103,0.104,52,1
-0.894,0,0,0.894,0.549967,0.106,53,1
-0.892,0,0,0.892,0.546831,0.108,54,1
-0.89,0,0,0.89,0.543694,0.11,55,1
-0.888,0,0,0.888,0.540558,0.112,56,1
-0.886,0,0,0.886,0.537422,0.114,57,1
-0.884,0,0,0.884,0.534285,0.116,58,1
-0.882,0,0,0.882,0.531149,0.118,59,1
-0.88,0,0,0.88,0.528013,0.12,60,1
-0.878,0,0,0.878,0.524876,0.122,61,1
-0.876,0,0,0.876,0.52174,0.124,62,1
-0.874,0,0,0.874,0.518604,0.126,63,1
-0.872,0,0,0.872,0.515467,0.128,64,1
-0.87,0,0,0.87,0.512331,0.13,65,1
-0.868,0,0,0.868,0.509195,0.132,66,1
-0.866,0,0,0.866,0.505936,0.134,67,1
-0.864,0,0,0.864,0.502434,0.136,68,1
-0.862,0,0,0.862,0.498931,0.138,69,1
-0.86,0,0,0.86,0.495429,0.14,70,1
-0.858,0,0,0.858,0.491926,0.142,71,1
-0.856,0,0,0.856,0.488424,0.144,72,1
-0.854,0,0,0.854,0.484921,0.146,73,1
-0.852,0,0,0.852,0.481419,0.148,74,1
-0.85,0,0,0.85,0.477916,0.15,75,1
-0.848,0,0,0.848,0.474414,0.152,76,1
-0.846,0,0,0.846,0.470911,0.154,77,1
-0.844,0,0,0.844,0.467409,0.156,78,1
-0.842,0,0,0.842,0.463906,0.158,79,1
-0.84,0,0,0.84,0.460404,0.16,80,1
-0.838,0,0,0.838,0.456901,0.162,81,1
-0.836,0,0,0.836,0.453399,0.164,82,1
-0.834,0,0,0.834,0.449896,0.166,83,1
-0.832,0,0,0.832,0.446394,0.168,84,1
-0.83,0,0,0.83,0.442891,0.17,85,1
-0.828,0,0,0.828,0.439389,0.172,86,1
-0.826,0,0,0.826,0.435886,0.174,87,1
-0.824,0,0,0.824,0.432384,0.176,88,1
-0.822,0,0,0.822,0.428881,0.178,89,1
-0.82,0,0,0.82,0.425379,0.18,90,1
-0.818,0,0,0.818,0.421876,0.182,91,1
-0.816,0,0,0.816,0.418374,0.184,92,1
-0.814,0,0,0.814,0.414871,0.186,93,1
-0.812,0,0,0.812,0.411369,0.188,94,1
-0.81,0,0,0.81,0.407866,0.19,95,1
-0.808,0,0,0.808,0.404364,0.192,96,1
-0.806,0,0,0.806,0.400861,0.194,97,1
-0.804,0,0,0.804,0.397359,0.196,98,1
-0.802,0,0,0.802,0.393856,0.198,99,1
-0.8,0,0,0.8,0.390354,0.2,100,1
-0.798,0,0,0.798,0.38659,0.202,101,1
-0.796,0,0,0.796,0.382826,0.204,102,1
-0.794,0,0,0.794,0.379062,0.206,103,1
-0.792,0,0,0.792,0.375297,0.208,104,1
-0.79,0,0,0.79,0.371533,0.21,105,1
-0.788,0,0,0.788,0.367769,0.212,106,1
-0.786,0,0,0.786,0.364005,0.214,107,1
-0.784,0,0,0.784,0.360241,0.216,108,1
-0.782,0,0,0.782,0.356477,0.218,109,1
-0.78,0,0,0.78,0.352713,0.22,110,1
-0.778,0,0,0.778,0.348949,0.222,111,1
-0.776,0,0,0.776,0.345185,0.224,112,1
-0.774,0,0,0.774,0.341421,0.226,113,1
-0.772,0,0,0.772,0.337657,0.228,114,1
-0.77,0,0,0.77,0.333893,0.23,115,1
-0.768,0,0,0.768,0.330129,0.232,116,1
-0.766,0,0,0.766,0.326365,0.234,117,1
-0.764,0,0,0.764,0.322601,0.236,118,1
-0.762,0,0,0.762,0.318837,0.238,119,1
-0.76,0,0,0.76,0.315072,0.24,120,1
-0.758,0,0,0.758,0.311308,0.242,121,1
-0.756,0,0,0.756,0.307544,0.244,122,1
-0.754,0,0,0.754,0.30378,0.246,123,1
-0.752,0,0,0.752,0.300016,0.248,124,1
-0.75,0,0,0.75,0.296252,0.25,125,1
-0.748,0,0,0.748,0.292488,0.252,126,1
-0.746,0,0,0.746,0.288724,0.254,127,1
-0.744,0,0,0.744,0.28496,0.256,128,1
-0.742,0,0,0.742,0.281196,0.258,129,1
-0.74,0,0,0.74,0.277432,0.26,130,1
-0.738,0,0,0.738,0.273668,0.262,131,1
-0.736,0,0,0.736,0.269904,0.264,132,1
-0.734,0,0,0.734,0.26614,0.266,133,1
-0.732,0,0,0.732,0.262266,0.268,134,1
-0.73,0,0,0.73,0.258339,0.27,135,1
-0.728,0,0,0.728,0.254411,0.272,136,1
-0.726,0,0,0.726,0.250483,0.274,137,1
-0.724,0,0,0.724,0.246555,0.276,138,1
-0.722,0,0,0.722,0.242628,0.278,139,1
-0.72,0,0,0.72,0.2387,0.28,140,1
-0.718,0,0,0.718,0.234772,0.282,141,1
-0.716,0,0,0.716,0.230844,0.284,142,1
-0.714,0,0,0.714,0.226916,0.286,143,1
-0.712,0,0,0.712,0.222989,0.288,144,1
-0.71,0,0,0.71,0.219061,0.29,145,1
-0.708,0,0,0.708,0.215133,0.292,146,1
-0.706,0,0,0.706,0.211205,0.294,147,1
-0.704,0,0,0.704,0.207278,0.296,148,1
-0.702,0,0,0.702,0.20335,0.298,149,1
-0.7,0,0,0.7,0.199422,0.3,150,1
-0.698,0,0,0.698,0.195494,0.302,151,1
-0.696,0,0,0.696,0.191566,0.304,152,1
-0.694,0,0,0.694,0.187639,0.306,153,1
-0.692,0,0,0.692,0.183711,0.308,154,1
-0.69,0,0,0.69,0.179783,0.31,155,1
-0.688,0,0,0.688,0.175855,0.312,156,1
-0.686,0,0,0.686,0.171928,0.314,157,1
-0.684,0,0,0.684,0.168,0.316,158,1
-0.682,0,0,0.682,0.164072,0.318,159,1
-0.68,0,0,0.68,0.160144,0.32,160,1
-0.678,0,0,0.678,0.156216,0.322,161,1
-0.676,0,0,0.676,0.152289,0.324,162,1
-0.674,0,0,0.674,0.148361,0.326,163,1
-0.672,0,0,0.672,0.144433,0.328,164,1
-0.67,0,0,0.67,0.140505,0.33,165,1
-0.668,0,0,0.668,0.136578,0.332,166,1
-0.666,0,0,0.666,0.132626,0.334,167,1
-0.664,0,0,0.664,0.128625,0.336,168,1
-0.662,0,0,0.662,0.124625,0.338,169,1
-0.66,0,0,0.66,0.120624,0.34,170,1
-0.658,0,0,0.658,0.116624,0.342,171,1
-0.656,0,0,0.656,0.112623,0.344,172,1
-0.654,0,0,0.654,0.108623,0.346,173,1
-0.652,0,0,0.652,0.104623,0.348,174,1
-0.65,0,0,0.65,0.100622,0.35,175,1
-0.648,0,0,0.648,0.0966217,0.352,176,1
-0.646,0,0,0.646,0.0926214,0.354,177,1
-0.644,0,0,0.644,0.0886209,0.356,178,1
-0.642,0,0,0.642,0.0846205,0.358,179,1
-0.64,0,0,0.64,0.08062,0.36,180,1
-0.638,0,0,0.638,0.0766196,0.362,181,1
-0.636,0,0,0.636,0.0726191,0.364,182,1
-0.634,0,0,0.634,0.0686188,0.366,183,1
-0.632,0,0,0.632,0.0646184,0.368,184,1
-0.63,0,0,0.63,0.0606179,0.37,185,1
-0.628,0,0,0.628,0.0566175,0.372,186,1
-0.626,0,0,0.626,0.052617,0.374,187,1
-0.624,0,0,0.624,0.0486167,0.376,188,1
-0.622,0,0,0.622,0.0446162,0.378,189,1
-0.62,0,0,0.62,0.0406158,0.38,190,1
-0.618,0,0,0.618,0.0366153,0.382,191,1
-0.616,0,0,0.616,0.0326149,0.384,192,1
-0.614,0,0,0.614,0.0286145,0.386,193,1
-0.612,0,0,0.612,0.024614,0.388,194,1
-0.61,0,0,0.61,0.0206137,0.39,195,1
