Time,Dissipation Rate Incompressible,Dissipation Rate Compressible,Ekin incomp,Ekin comp,Enstrophy comp,DR_u,DR_S,DR_Sd,DR_p,Maximum Vorticity,Mean Temperature,uprime,Mean Entropy,ED_S,ED_D
0.00000000000000E+00000, 0.46875000000027E-00003, 0.46875000000027E-00003, 0.12500000000000E+00000, 0.12500000000000E+00000, 0.37500000000011E+00000, 0.46875000000020E-00003, 0.46875000000027E-00003, 0.46875000000022E-00003, 0.51427103088855E-00016, 0.19999953991265E+00001, 0.10000000200000E+00001, 0.28867513459481E+00000, -.10671740566753E+00002, 0.46875000000013E-00003, 0.87268039481320E-00016
0.30722876528724E-00001, 0.46874209530762E-00003, 0.46818248033316E-00003, 0.12498560830078E+00000, 0.12498560370689E+00000, 0.37499357091821E+00000, 0.46874202435026E-00003, 0.46874209530762E-00003, 0.46874204800293E-00003, -.55956766977786E-00006, 0.19994147836265E+00001, 0.10000001006889E+00001, 0.28865851601362E+00000, -.10671740769504E+00002, 0.46874195339291E-00003, 0.94609365138229E-00010
0.61440838068732E-00001, 0.46882725838273E-00003, 0.46702347572120E-00003, 0.12497130726092E+00000, 0.12497124320590E+00000, 0.37506091232933E+00000, 0.46882662112150E-00003, 0.46882725838273E-00003, 0.46882683354223E-00003, -.18033578210341E-00005, 0.19978974334713E+00001, 0.10000001818335E+00001, 0.28864200117207E+00000, -.10671740972239E+00002, 0.46882598386027E-00003, 0.84968099704706E-00009
0.92152408826303E-00001, 0.46900491721023E-00003, 0.46832301090546E-00003, 0.12495713659247E+00000, 0.12495688628025E+00000, 0.37520260198014E+00000, 0.46900376918960E-00003, 0.46900491721023E-00003, 0.46900415186315E-00003, -.68114095769254E-00006, 0.19954445856022E+00001, 0.10000002638292E+00001, 0.28862563595134E+00000, -.10671741174990E+00002, 0.46900262116896E-00003, 0.15306941566711E-00008
0.12285794332678E+00000, 0.46927337733948E-00003, 0.46896033743544E-00003, 0.12494302890088E+00000, 0.12494248711892E+00000, 0.37541867805449E+00000, 0.46927266199929E-00003, 0.46927337733948E-00003, 0.46927290044412E-00003, -.31256300867893E-00006, 0.19920597478464E+00001, 0.10000003464100E+00001, 0.28860934253864E+00000, -.10671741377797E+00002, 0.46927194665910E-00003, 0.95379071756195E-00009
0.15355800660181E+00000, 0.46963398442708E-00003, 0.46559481292336E-00003, 0.12492893727372E+00000, 0.12492813445632E+00000, 0.37570871757369E+00000, 0.46963385284534E-00003, 0.46963398442708E-00003, 0.46963389670042E-00003, -.40390837770655E-00005, 0.19877535212920E+00001, 0.10000004291140E+00001, 0.28859306676093E+00000, -.10671741580706E+00002, 0.46963372126359E-00003, 0.17545331648246E-00009
0.18425267960537E+00000, 0.47008788850546E-00003, 0.46151358300421E-00003, 0.12491482491247E+00000, 0.12491390898834E+00000, 0.37607249399952E+00000, 0.47008784973517E-00003, 0.47008788850546E-00003, 0.47008786264824E-00003, -.85742796440270E-00005, 0.19825354736488E+00001, 0.10000005119498E+00001, 0.28857676611544E+00000, -.10671741783756E+00002, 0.47008781096489E-00003, 0.51714442946482E-00010
0.21494146137692E+00000, 0.47063495888088E-00003, 0.45820939752869E-00003, 0.12490073258363E+00000, 0.12489979727914E+00000, 0.37651072669679E+00000, 0.47063485062221E-00003, 0.47063495888088E-00003, 0.47063488668926E-00003, -.12425489160574E-00004, 0.19764085557482E+00001, 0.10000005957997E+00001, 0.28856048768976E+00000, -.10671741986987E+00002, 0.47063474236353E-00003, 0.14438322707626E-00009
0.24562376135280E+00000, 0.47127661543365E-00003, 0.45584113422566E-00003, 0.12488685328320E+00000, 0.12488578157133E+00000, 0.37702481138462E+00000, 0.47127611806891E-00003, 0.47127661543365E-00003, 0.47127628382326E-00003, -.15435149597593E-00004, 0.19693840867147E+00001, 0.10000006818837E+00001, 0.28854445444125E+00000, -.10671742190435E+00002, 0.47127562070418E-00003, 0.66322078075630E-00009
0.27629970249572E+00000, 0.47201338875324E-00003, 0.45810419026187E-00003, 0.12487326608289E+00000, 0.12487177788799E+00000, 0.37761551290307E+00000, 0.47201234531143E-00003, 0.47201338875324E-00003, 0.47201269307233E-00003, -.13908502810461E-00004, 0.19614934519651E+00001, 0.10000007701534E+00001, 0.28852875776127E+00000, -.10671742394140E+00002, 0.47201130186962E-00003, 0.13913618210589E-00008
0.30696991048804E+00000, 0.47284341122917E-00003, 0.46345949517879E-00003, 0.12485976243262E+00000, 0.12485764416830E+00000, 0.37828211854507E+00000, 0.47284257375585E-00003, 0.47284341122917E-00003, 0.47284285283783E-00003, -.93833576590424E-00005, 0.19527707656834E+00001, 0.10000008587674E+00001, 0.28851315675675E+00000, -.10671742598145E+00002, 0.47284173628252E-00003, 0.11167826892849E-00008
