Time,Dissipation Rate Incompressible,Dissipation Rate Compressible,Ekin incomp,Ekin comp,Enstrophy comp,DR_u,DR_S,DR_Sd,DR_p,Maximum Vorticity,Mean Temperature,uprime,Mean Entropy,ED_S,ED_D
0.00000000000000E+00000, 0.46875000000001E-00003, 0.46875000000001E-00003, 0.12500000000000E+00000, 0.12500000000000E+00000, 0.37500000000001E+00000, 0.46874999999999E-00003, 0.46875000000001E-00003, 0.46875000000001E-00003, 0.56377200791904E-00017, 0.20000000072576E+00001, 0.10000000200000E+00001, 0.28867513459481E+00000, -.10671740566753E+00002, 0.46875000000001E-00003, 0.15664490941789E-00020
0.24223660622174E-00001, 0.46873608394659E-00003, 0.46843405212178E-00003, 0.12498864915420E+00000, 0.12498864736135E+00000, 0.37498882305039E+00000, 0.46873605448064E-00003, 0.46873608394659E-00003, 0.46873606430263E-00003, -.30201218085870E-00006, 0.19996189085996E+00001, 0.10000000836026E+00001, 0.28866202746949E+00000, -.10671740726613E+00002, 0.46873602501469E-00003, 0.39287941267553E-00010
0.48443445170525E-00001, 0.46877987685532E-00003, 0.46734402549463E-00003, 0.12497734145990E+00000, 0.12497731480931E+00000, 0.37502342150147E+00000, 0.46877954505387E-00003, 0.46877987685532E-00003, 0.46877965565435E-00003, -.14356301597234E-00005, 0.19986516676173E+00001, 0.10000001474025E+00001, 0.28864896958059E+00000, -.10671740886452E+00002, 0.46877921325240E-00003, 0.44240194275245E-00009
0.72658750931724E-00001, 0.46888169992497E-00003, 0.46719993851254E-00003, 0.12496611919538E+00000, 0.12496600363789E+00000, 0.37510414066658E+00000, 0.46888079466533E-00003, 0.46888169992497E-00003, 0.46888109641855E-00003, -.16811579060112E-00005, 0.19971014389720E+00001, 0.10000002116842E+00001, 0.28863600976013E+00000, -.10671741046289E+00002, 0.46887988940570E-00003, 0.12070128468707E-00008
0.96869566117087E-00001, 0.46904045489497E-00003, 0.46862269096799E-00003, 0.12495496708513E+00000, 0.12495467641692E+00000, 0.37523112683313E+00000, 0.46903931378102E-00003, 0.46904045489497E-00003, 0.46903969415234E-00003, -.41700318434878E-00006, 0.19949718081131E+00001, 0.10000002764898E+00001, 0.28862313037955E+00000, -.10671741206139E+00002, 0.46903817266708E-00003, 0.15214852611252E-00008
0.12107597469578E+00000, 0.46925556414745E-00003, 0.46903653849083E-00003, 0.12494384695755E+00000, 0.12494332284482E+00000, 0.37540432349190E+00000, 0.46925480771886E-00003, 0.46925556414745E-00003, 0.46925505986173E-00003, -.21852137090071E-00006, 0.19922669987793E+00001, 0.10000003416104E+00001, 0.28861028736291E+00000, -.10671741366025E+00002, 0.46925405129028E-00003, 0.10085714495544E-00008
0.14527813087267E+00000, 0.46952786524948E-00003, 0.46675644222865E-00003, 0.12493273853364E+00000, 0.12493199425999E+00000, 0.37562349450470E+00000, 0.46952762534084E-00003, 0.46952786524948E-00003, 0.46952770531040E-00003, -.27712630817446E-00005, 0.19889910912504E+00001, 0.10000004068086E+00001, 0.28859745729261E+00000, -.10671741525965E+00002, 0.46952738543220E-00003, 0.31987819320879E-00009
0.16947600739875E+00000, 0.46985813445752E-00003, 0.46333916258111E-00003, 0.12492162305737E+00000, 0.12492074154510E+00000, 0.37588845281645E+00000, 0.46985809487002E-00003, 0.46985813445752E-00003, 0.46985810806586E-00003, -.65189454847529E-00005, 0.19851470063680E+00001, 0.10000004720193E+00001, 0.28858461850599E+00000, -.10671741685981E+00002, 0.46985805528253E-00003, 0.52783326178225E-00010
0.19366945962703E+00000, 0.47024626766367E-00003, 0.46047088559316E-00003, 0.12491049191518E+00000, 0.12490956809762E+00000, 0.37619934422146E+00000, 0.47024621629192E-00003, 0.47024626766367E-00003, 0.47024623341583E-00003, -.97753478226722E-00005, 0.19807365806807E+00001, 0.10000005375068E+00001, 0.28857176105224E+00000, -.10671741846091E+00002, 0.47024616492018E-00003, 0.68495657390199E-00010
0.21785836014468E+00000, 0.47069237860545E-00003, 0.45790053687125E-00003, 0.12489940073476E+00000, 0.12489846121210E+00000, 0.37655673086084E+00000, 0.47069225369441E-00003, 0.47069237860545E-00003, 0.47069229533143E-00003, -.12791758460177E-00004, 0.19757630277651E+00001, 0.10000006038727E+00001, 0.28855894918804E+00000, -.10671742006316E+00002, 0.47069212878338E-00003, 0.16654804737849E-00009
0.24204266721061E+00000, 0.47119738221467E-00003, 0.45594758887193E-00003, 0.12488845691069E+00000, 0.12488741414207E+00000, 0.37696132885693E+00000, 0.47119695404091E-00003, 0.47119738221467E-00003, 0.47119709676550E-00003, -.15249507893563E-00004, 0.19702345839609E+00001, 0.10000006717029E+00001, 0.28854630698346E+00000, -.10671742166675E+00002, 0.47119652586714E-00003, 0.57089835371840E-00009
