Time,Dissipation Rate Incompressible,Dissipation Rate Compressible,Ekin incomp,Ekin comp,Enstrophy comp,DR_u,DR_S,DR_Sd,DR_p,Maximum Vorticity,Mean Temperature,uprime,Mean Entropy,ED_S,ED_D
0.00000000000000E+00000, 0.46874997597598E-00003, 0.46874997597386E-00003, 0.12500000000000E+00000, 0.12500000000000E+00000, 0.37500001858576E+00000, 0.46874999960409E-00003, 0.46874997597598E-00003, 0.46874997597387E-00003, -.62513632696873E-00017, 0.20000268012901E+00001, 0.10000000200000E+00001, 0.28867513459481E+00000, -.10671740566753E+00002, 0.46875002323220E-00003, 0.42301555060706E-00014
0.22449722900317E-00001, 0.46873513870253E-00003, 0.46852710062336E-00003, 0.12498947970485E+00000, 0.12498947838111E+00000, 0.37498811567390E+00000, 0.46873514027361E-00003, 0.46873513870253E-00003, 0.46873512391931E-00003, -.20802329594291E-00006, 0.19996936195472E+00001, 0.10000000789417E+00001, 0.28866298654873E+00000, -.10671740714906E+00002, 0.46873514184469E-00003, 0.29566451427947E-00010
0.44896295372642E-00001, 0.46876981602836E-00003, 0.46752031023610E-00003, 0.12497899279156E+00000, 0.12497897280688E+00000, 0.37501550879388E+00000, 0.46876957736401E-00003, 0.46876981602836E-00003, 0.46876964115120E-00003, -.12493309151050E-00005, 0.19988567649199E+00001, 0.10000001380330E+00001, 0.28865087654068E+00000, -.10671740863042E+00002, 0.46876933869966E-00003, 0.34975427364645E-00009
0.67339181664678E-00001, 0.46885441402580E-00003, 0.46707879778230E-00003, 0.12496857727040E+00000, 0.12496848851389E+00000, 0.37508248976141E+00000, 0.46885365377428E-00003, 0.46885441402580E-00003, 0.46885389126137E-00003, -.17750934790742E-00005, 0.19975186614183E+00001, 0.10000001975134E+00001, 0.28863884847146E+00000, -.10671741011173E+00002, 0.46885289352276E-00003, 0.10455288577955E-00008
0.89778410099107E-00001, 0.46898814983355E-00003, 0.46817512964772E-00003, 0.12495822890962E+00000, 0.12495799788755E+00000, 0.37518919740679E+00000, 0.46898703246425E-00003, 0.46898814983355E-00003, 0.46898738887485E-00003, -.81225922713299E-00006, 0.19956820205271E+00001, 0.10000002574629E+00001, 0.28862689746410E+00000, -.10671741159314E+00002, 0.46898591509495E-00003, 0.15219174053600E-00008
0.11221399697631E+00000, 0.46917027594272E-00003, 0.46919233496674E-00003, 0.12494791617254E+00000, 0.12494748033070E+00000, 0.37533563509011E+00000, 0.46916935159812E-00003, 0.46917027594272E-00003, 0.46916964329764E-00003, 0.22691669097537E-00007, 0.19933499512623E+00001, 0.10000003177487E+00001, 0.28861498710513E+00000, -.10671741307482E+00002, 0.46916842725350E-00003, 0.12652901812734E-00008
0.13464603170855E+00000, 0.46940117587519E-00003, 0.46803872965305E-00003, 0.12493761828127E+00000, 0.12493696387047E+00000, 0.37552164683313E+00000, 0.46940075973402E-00003, 0.46940117587519E-00003, 0.46940088133925E-00003, -.13621516862021E-00005, 0.19905256044005E+00001, 0.10000003781660E+00001, 0.28860309340138E+00000, -.10671741455691E+00002, 0.46940034359287E-00003, 0.58907189432584E-00009
0.15707453728889E+00000, 0.46968168334609E-00003, 0.46506451308204E-00003, 0.12492732228273E+00000, 0.12492649813415E+00000, 0.37574703528485E+00000, 0.46968161188259E-00003, 0.46968168334609E-00003, 0.46968161744265E-00003, -.46171043606149E-00005, 0.19872117059281E+00001, 0.10000004385884E+00001, 0.28859120139363E+00000, -.10671741603958E+00002, 0.46968154041908E-00003, 0.13180685435722E-00009
0.17949942276744E+00000, 0.47001200588447E-00003, 0.46203564521074E-00003, 0.12491701229300E+00000, 0.12491610392316E+00000, 0.37601176497354E+00000, 0.47001200111719E-00003, 0.47001200588447E-00003, 0.47001198276796E-00003, -.79763375572218E-00005, 0.19834100845786E+00001, 0.10000004990872E+00001, 0.28857929273483E+00000, -.10671741752299E+00002, 0.47001199634991E-00003, 0.46233005079426E-00010
0.20192056408734E+00000, 0.47039197366204E-00003, 0.45954315909075E-00003, 0.12490669917227E+00000, 0.12490577242817E+00000, 0.37631611085377E+00000, 0.47039194107394E-00003, 0.47039197366204E-00003, 0.47039192984992E-00003, -.10848770759177E-00004, 0.19791226595918E+00001, 0.10000005600095E+00001, 0.28856737996785E+00000, -.10671741900729E+00002, 0.47039190848582E-00003, 0.87624246235370E-00010
0.22433788942482E+00000, 0.47082196078873E-00003, 0.45716436996697E-00003, 0.12489645032260E+00000, 0.12489549644198E+00000, 0.37666061153989E+00000, 0.47082182244777E-00003, 0.47082196078873E-00003, 0.47082184355981E-00003, -.13657473592839E-00004, 0.19743533261708E+00001, 0.10000006218864E+00001, 0.28855554095367E+00000, -.10671742049263E+00002, 0.47082168410679E-00003, 0.23445785218952E-00009
0.24675141642493E+00000, 0.47130273931158E-00003, 0.45568408405011E-00003, 0.12488634922804E+00000, 0.12488526755538E+00000, 0.37704580940920E+00000, 0.47130226143641E-00003, 0.47130273931158E-00003, 0.47130239164917E-00003, -.15618307599061E-00004, 0.19691102960168E+00001, 0.10000006850964E+00001, 0.28854387214430E+00000, -.10671742197917E+00002, 0.47130178356125E-00003, 0.69532482100412E-00009
0.26916123110258E+00000, 0.47183431723117E-00003, 0.45686181011933E-00003, 0.12487640994173E+00000, 0.12487504435726E+00000, 0.37747192645893E+00000, 0.47183340892775E-00003, 0.47183431723117E-00003, 0.47183367710342E-00003, -.14971866984089E-00004, 0.19634054360868E+00001, 0.10000007494937E+00001, 0.28853238979558E+00000, -.10671742346708E+00002, 0.47183250062433E-00003, 0.12802555211350E-00008
0.29156743996681E+00000, 0.47241581486099E-00003, 0.46048427560435E-00003, 0.12486655183707E+00000, 0.12486476323292E+00000, 0.37793871335132E+00000, 0.47241482558518E-00003, 0.47241581486099E-00003, 0.47241511375276E-00003, -.11930838148412E-00004, 0.19572505834759E+00001, 0.10000008143678E+00001, 0.28852100078050E+00000, -.10671742495649E+00002, 0.47241383630936E-00003, 0.14022164790674E-00008
0.31397013070015E+00000, 0.47304682332002E-00003, 0.46392764295038E-00003, 0.12485666364578E+00000, 0.12485439632813E+00000, 0.37844561974800E+00000, 0.47304619878095E-00003, 0.47304682332002E-00003, 0.47304635696663E-00003, -.91187140162496E-00005, 0.19506521556388E+00001, 0.10000008788111E+00001, 0.28850957655484E+00000, -.10671742644759E+00002, 0.47304557424187E-00003, 0.93270676516854E-00009
0.33636935510082E+00000, 0.47372794973358E-00003, 0.46534358696145E-00003, 0.12484666968150E+00000, 0.12484397196827E+00000, 0.37899221418177E+00000, 0.47372773928113E-00003, 0.47372794973358E-00003, 0.47372774942608E-00003, -.83841624646275E-00005, 0.19436088752292E+00001, 0.10000009421921E+00001, 0.28849802966572E+00000, -.10671742794052E+00002, 0.47372752882867E-00003, 0.40061499966890E-00009
0.35876512589599E+00000, 0.47445983245939E-00003, 0.46507320848659E-00003, 0.12483654624411E+00000, 0.12483353329648E+00000, 0.37957858587965E+00000, 0.47445981954009E-00003, 0.47445983245939E-00003, 0.47445975185715E-00003, -.93865433705524E-00005, 0.19361158595002E+00001, 0.10000010044609E+00001, 0.28848633271394E+00000, -.10671742943548E+00002, 0.47445980662079E-00003, 0.16120447896941E-00009
0.38115741870101E+00000, 0.47524276368423E-00003, 0.46359514016906E-00003, 0.12482632839067E+00000, 0.12482310979970E+00000, 0.38020544892106E+00000, 0.47524283320122E-00003, 0.47524276368423E-00003, 0.47524272379246E-00003, -.11647583623402E-00004, 0.19281734309986E+00001, 0.10000010662431E+00001, 0.28847452618984E+00000, -.10671743093264E+00002, 0.47524290271820E-00003, 0.79783551407637E-00010
0.40354617904784E+00000, 0.47607740938891E-00003, 0.46075029522328E-00003, 0.12481611516215E+00000, 0.12481272915858E+00000, 0.38087386286783E+00000, 0.47607748765920E-00003, 0.47607740938891E-00003, 0.47607735889771E-00003, -.15327063674428E-00004, 0.19197939180419E+00001, 0.10000011286704E+00001, 0.28846272452681E+00000, -.10671743243214E+00002, 0.47607756592951E-00003, 0.10098242411487E-00009
0.42593132089537E+00000, 0.47696479125310E-00003, 0.45739398412774E-00003, 0.12480602474072E+00000, 0.12480241422524E+00000, 0.38158474520538E+00000, 0.47696465834815E-00003, 0.47696479125310E-00003, 0.47696458145987E-00003, -.19570597332130E-00004, 0.19110004258493E+00001, 0.10000011928732E+00001, 0.28845106429655E+00000, -.10671743393416E+00002, 0.47696452544320E-00003, 0.41958645650295E-00009
0.44831281664136E+00000, 0.47790534845452E-00003, 0.45566951702255E-00003, 0.12479611236174E+00000, 0.12479215142502E+00000, 0.38233849253407E+00000, 0.47790480636321E-00003, 0.47790534845452E-00003, 0.47790484524842E-00003, -.22235328225873E-00004, 0.19018168870610E+00001, 0.10000012593303E+00001, 0.28843960934858E+00000, -.10671743543884E+00002, 0.47790426427190E-00003, 0.10064121997774E-00008
0.47069071967309E+00000, 0.47889861984339E-00003, 0.45678967006912E-00003, 0.12478633293827E+00000, 0.12478188440573E+00000, 0.38313494020412E+00000, 0.47889779640183E-00003, 0.47889861984339E-00003, 0.47889790592812E-00003, -.22108235859002E-00004, 0.18922576051381E+00001, 0.10000013275150E+00001, 0.28842830760089E+00000, -.10671743694633E+00002, 0.47889697296028E-00003, 0.14278305453367E-00008
0.49306514968955E+00000, 0.47994405048563E-00003, 0.45944645551328E-00003, 0.12477658541839E+00000, 0.12477155727492E+00000, 0.38397366306709E+00000, 0.47994337022776E-00003, 0.47994405048563E-00003, 0.47994340599375E-00003, -.20496950480475E-00004, 0.18823240948562E+00001, 0.10000013961269E+00001, 0.28841704228240E+00000, -.10671743845680E+00002, 0.47994268996989E-00003, 0.12889837715768E-00008
0.51543624560251E+00000, 0.48104193892737E-00003, 0.46109334004103E-00003, 0.12476678678976E+00000, 0.12476116218361E+00000, 0.38485440346799E+00000, 0.48104172551623E-00003, 0.48104193892737E-00003, 0.48104157670178E-00003, -.19948236660749E-00004, 0.18720116955543E+00001, 0.10000014637962E+00001, 0.28840571745345E+00000, -.10671743997042E+00002, 0.48104151210510E-00003, 0.72445116662418E-00009
0.53780409566951E+00000, 0.48219334158125E-00003, 0.46054770706158E-00003, 0.12475690431652E+00000, 0.12475073694513E+00000, 0.38577735857694E+00000, 0.48219353762398E-00003, 0.48219334158125E-00003, 0.48219322080421E-00003, -.21645513742632E-00004, 0.18613195123986E+00001, 0.10000015298452E+00001, 0.28839429527012E+00000, -.10671744148739E+00002, 0.48219373366669E-00003, 0.24155409243072E-00009
0.56016868695307E+00000, 0.48339911155494E-00003, 0.45842057953544E-00003, 0.12474694192216E+00000, 0.12474032375536E+00000, 0.38674318363265E+00000, 0.48339948037912E-00003, 0.48339911155494E-00003, 0.48339907260729E-00003, -.24978493071854E-00004, 0.18502556744060E+00001, 0.10000015946869E+00001, 0.28838278025587E+00000, -.10671744300790E+00002, 0.48339984920330E-00003, 0.77895294301531E-00010
0.58252991239525E+00000, 0.48465963808785E-00003, 0.45539037289808E-00003, 0.12473693148797E+00000, 0.12472994762555E+00000, 0.38775276024075E+00000, 0.48466004878342E-00003, 0.48465963808785E-00003, 0.48465959250126E-00003, -.29269219603182E-00004, 0.18388360408380E+00001, 0.10000016596630E+00001, 0.28837120925175E+00000, -.10671744453213E+00002, 0.48466045947899E-00003, 0.91173168570038E-00010
0.60488763904219E+00000, 0.48597553748550E-00003, 0.45201846652764E-00003, 0.12472693436710E+00000, 0.12471962206813E+00000, 0.38880689765820E+00000, 0.48597585290390E-00003, 0.48597553748550E-00003, 0.48597539295547E-00003, -.33956926427833E-00004, 0.18270796174703E+00001, 0.10000017263504E+00001, 0.28835965317302E+00000, -.10671744606024E+00002, 0.48597616832231E-00003, 0.28906002873080E-00009
0.62724179804800E+00000, 0.48734758606458E-00003, 0.45019331453376E-00003, 0.12471700669686E+00000, 0.12470933446685E+00000, 0.38990612281249E+00000, 0.48734755660866E-00003, 0.48734758606458E-00003, 0.48734717549101E-00003, -.37153860957246E-00004, 0.18150049666658E+00001, 0.10000017956192E+00001, 0.28834817691680E+00000, -.10671744759237E+00002, 0.48734752715273E-00003, 0.82114717149802E-00009
