"arc_length","Density"
0,1
0.009,1
0.018,1
0.027,1
0.036,1
0.045,1
0.054,1
0.063,1
0.072,1
0.081,1
0.09,1
0.099,1
0.108,1
0.117,1
0.126,1
0.135,1
0.144,1
0.153,1
0.162,1
0.171,1
0.18,1
0.189,1
0.198,1
0.207,1
0.216,1
0.225,1
0.234,1
0.243,1
0.252,1
0.261,1
0.27,1
0.279,1
0.288,1
0.297,1
0.306,1
0.315,1
0.324,1
0.333,1
0.342,1
0.351,1
0.36,1
0.369,1
0.378,1
0.387,1
0.396,1
0.405,1
0.414,1
0.423,1
0.432,1
0.441,1
0.45,1
0.459,1
0.468,1
0.477,1
0.486,1
0.495,1
0.504,1
0.513,1
0.522,1
0.531,1
0.54,1
0.549,1
0.558,1
0.567,1
0.576,1
0.585,1
0.594,1
0.603,1
0.612,1
0.621,1
0.63,1
0.639,1
0.648,1
0.657,1
0.666,1
0.675,1
0.684,1
0.693,1
0.702,1
0.711,1
0.72,1
0.729,1
0.738,1
0.747,1
0.756,1
0.765,1
0.774,1
0.783,1
0.792,1
0.801,1
0.81,1
0.819,1
0.828,1
0.837,1
0.846,1
0.855,1
0.864,1
0.873,1
0.882,1
0.891,0.999999
0.9,1
0.909,0.999995
0.918,1.00001
0.927,0.99999
0.936,1.00001
0.945,0.999989
0.954,1.00002
0.963,0.999973
0.972,1.00012
0.981,0.999775
0.99,1.00104
0.999,0.999216
1.008,0.995941
1.017,0.992672
1.026,0.989395
1.035,0.986111
1.044,0.982825
1.053,0.97954
1.062,0.976256
1.071,0.972976
1.08,0.969699
1.089,0.966427
1.098,0.96316
1.107,0.959898
1.116,0.956642
1.125,0.953392
1.134,0.950147
1.143,0.946909
1.152,0.943677
1.161,0.940451
1.17,0.937232
1.179,0.934019
1.188,0.930813
1.197,0.927614
1.206,0.924421
1.215,0.921235
1.224,0.918056
1.233,0.914884
1.242,0.911719
1.251,0.90856
1.26,0.905409
1.269,0.902265
1.278,0.899127
1.287,0.895997
1.296,0.892873
1.305,0.889757
1.314,0.886647
1.323,0.883545
1.332,0.880449
1.341,0.877361
1.35,0.87428
1.359,0.871205
1.368,0.868138
1.377,0.865078
1.386,0.862025
1.395,0.858979
1.404,0.85594
1.413,0.852908
1.422,0.849883
1.431,0.846865
1.44,0.843855
1.449,0.840851
1.458,0.837854
1.467,0.834865
1.476,0.831882
1.485,0.828907
1.494,0.825938
1.503,0.822977
1.512,0.820022
1.521,0.817075
1.53,0.814134
1.539,0.811201
1.548,0.808274
1.557,0.805355
1.566,0.802442
1.575,0.799537
1.584,0.796638
1.593,0.793747
1.602,0.790862
1.611,0.787985
1.62,0.785114
1.629,0.78225
1.638,0.779393
1.647,0.776543
1.656,0.7737
1.665,0.770864
1.674,0.768035
1.683,0.765212
1.692,0.762397
1.701,0.759588
1.71,0.756786
1.719,0.753991
1.728,0.751203
1.737,0.748422
1.746,0.745648
1.755,0.74288
1.764,0.740119
1.773,0.737365
1.782,0.734618
1.791,0.731877
1.8,0.729144
1.809,0.726417
1.818,0.723697
1.827,0.720983
1.836,0.718276
1.845,0.715576
1.854,0.712883
1.863,0.710196
1.872,0.707516
1.881,0.704843
1.89,0.702177
1.899,0.699517
1.908,0.696864
1.917,0.694217
1.926,0.691577
1.935,0.688944
1.944,0.686317
1.953,0.683697
1.962,0.681083
1.971,0.678476
1.98,0.675876
1.989,0.673282
1.998,0.670695
2.007,0.668115
2.016,0.66554
2.025,0.662973
2.034,0.660412
2.043,0.657857
2.052,0.655309
2.061,0.652768
2.07,0.650233
2.079,0.647705
2.088,0.645183
2.097,0.642667
2.106,0.640158
2.115,0.637656
2.124,0.635159
2.133,0.63267
2.142,0.630186
2.151,0.62771
2.16,0.625239
2.169,0.622775
2.178,0.620318
2.187,0.617867
2.196,0.615422
2.205,0.612984
2.214,0.610552
2.223,0.608126
2.232,0.605707
2.241,0.603294
2.25,0.600888
2.259,0.598487
2.268,0.596094
2.277,0.593706
2.286,0.591325
2.295,0.58895
2.304,0.586582
2.313,0.58422
2.322,0.581864
2.331,0.579514
2.34,0.577171
2.349,0.574834
2.358,0.572503
2.367,0.570179
2.376,0.567861
2.385,0.565549
2.394,0.563243
2.403,0.560944
2.412,0.558651
2.421,0.556364
2.43,0.554083
2.439,0.551809
2.448,0.54954
2.457,0.547278
2.466,0.545022
2.475,0.542773
2.484,0.540529
2.493,0.538292
2.502,0.536061
2.511,0.533836
2.52,0.531617
2.529,0.529404
2.538,0.527197
2.547,0.524997
2.556,0.522802
2.565,0.520614
2.574,0.518432
2.583,0.516256
2.592,0.514085
2.601,0.511922
2.61,0.509764
2.619,0.507612
2.628,0.505466
2.637,0.503326
2.646,0.501192
2.655,0.499065
2.664,0.496943
2.673,0.494827
2.682,0.492717
2.691,0.490614
2.7,0.488516
2.709,0.486424
2.718,0.484338
2.727,0.482258
2.736,0.480184
2.745,0.478117
2.754,0.476054
2.763,0.473998
2.772,0.471948
2.781,0.469904
2.79,0.467866
2.799,0.465833
2.808,0.463807
2.817,0.461786
2.826,0.459771
2.835,0.457762
2.844,0.455759
2.853,0.453761
2.862,0.45177
2.871,0.449784
2.88,0.447804
2.889,0.44583
2.898,0.443861
2.907,0.441898
2.916,0.439941
2.925,0.43799
2.934,0.436044
2.943,0.434104
2.952,0.432169
2.961,0.430239
2.97,0.428315
2.979,0.426396
2.988,0.424482
2.997,0.422569
3.006,0.420662
3.015,0.418767
3.024,0.416878
3.033,0.414995
3.042,0.413117
3.051,0.411245
3.06,0.409379
3.069,0.407518
3.078,0.405663
3.087,0.403814
3.096,0.401971
3.105,0.400133
3.114,0.3983
3.123,0.396474
3.132,0.394653
3.141,0.392837
3.15,0.391027
3.159,0.389223
3.168,0.387424
3.177,0.385631
3.186,0.383844
3.195,0.382062
3.204,0.380285
3.213,0.378514
3.222,0.376749
3.231,0.374989
3.24,0.373235
3.249,0.371486
3.258,0.369742
3.267,0.368005
3.276,0.366272
3.285,0.364545
3.294,0.362824
3.303,0.361108
3.312,0.359397
3.321,0.357692
3.33,0.355993
3.339,0.354298
3.348,0.35261
3.357,0.350926
3.366,0.349248
3.375,0.347576
3.384,0.345908
3.393,0.344246
3.402,0.34259
3.411,0.340939
3.42,0.339293
3.429,0.337653
3.438,0.336017
3.447,0.334388
3.456,0.332763
3.465,0.331144
3.474,0.32953
3.483,0.327921
3.492,0.326318
3.501,0.32472
3.51,0.323127
3.519,0.321539
3.528,0.319957
3.537,0.31838
3.546,0.316808
3.555,0.315241
3.564,0.31368
3.573,0.312123
3.582,0.310572
3.591,0.309026
3.6,0.307485
3.609,0.30595
3.618,0.304419
3.627,0.302894
3.636,0.301374
3.645,0.299858
3.654,0.298349
3.663,0.296844
3.672,0.295344
3.681,0.293849
3.69,0.292359
3.699,0.290874
3.708,0.289395
3.717,0.28792
3.726,0.286451
3.735,0.284986
3.744,0.283526
