"arc_length","pressure"
0,0.04
0.009,0.04
0.018,0.04
0.027,0.04
0.036,0.04
0.045,0.04
0.054,0.04
0.063,0.04
0.072,0.04
0.081,0.04
0.09,0.04
0.099,0.04
0.108,0.04
0.117,0.04
0.126,0.04
0.135,0.04
0.144,0.04
0.153,0.04
0.162,0.04
0.171,0.04
0.18,0.04
0.189,0.04
0.198,0.04
0.207,0.04
0.216,0.04
0.225,0.04
0.234,0.04
0.243,0.04
0.252,0.04
0.261,0.04
0.27,0.04
0.279,0.04
0.288,0.04
0.297,0.04
0.306,0.04
0.315,0.04
0.324,0.04
0.333,0.04
0.342,0.04
0.351,0.04
0.36,0.04
0.369,0.04
0.378,0.04
0.387,0.04
0.396,0.04
0.405,0.04
0.414,0.04
0.423,0.04
0.432,0.04
0.441,0.04
0.45,0.04
0.459,0.04
0.468,0.04
0.477,0.04
0.486,0.04
0.495,0.04
0.504,0.04
0.513,0.04
0.522,0.04
0.531,0.04
0.54,0.04
0.549,0.04
0.558,0.04
0.567,0.04
0.576,0.04
0.585,0.04
0.594,0.04
0.603,0.04
0.612,0.04
0.621,0.04
0.63,0.04
0.639,0.04
0.648,0.04
0.657,0.04
0.666,0.04
0.675,0.04
0.684,0.04
0.693,0.04
0.702,0.04
0.711,0.04
0.72,0.04
0.729,0.04
0.738,0.04
0.747,0.04
0.756,0.04
0.765,0.04
0.774,0.04
0.783,0.04
0.792,0.04
0.801,0.04
0.81,0.04
0.819,0.04
0.828,0.04
0.837,0.04
0.846,0.04
0.855,0.04
0.864,0.04
0.873,0.04
0.882,0.04
0.891,0.0399999
0.9,0.0400002
0.909,0.0399997
0.918,0.0400005
0.927,0.0399993
0.936,0.0400009
0.945,0.0399993
0.954,0.0400011
0.963,0.0399982
0.972,0.0400081
0.981,0.039985
0.99,0.0400696
0.999,0.0399478
1.008,0.0397298
1.017,0.0395126
1.026,0.0392955
1.035,0.0390784
1.044,0.0388616
1.053,0.0386453
1.062,0.0384297
1.071,0.0382147
1.08,0.0380004
1.089,0.037787
1.098,0.0375743
1.107,0.0373625
1.116,0.0371514
1.125,0.0369413
1.134,0.036732
1.143,0.0365236
1.152,0.036316
1.161,0.0361094
1.17,0.0359036
1.179,0.0356987
1.188,0.0354947
1.197,0.0352916
1.206,0.0350894
1.215,0.0348881
1.224,0.0346877
1.233,0.0344882
1.242,0.0342895
1.251,0.0340918
1.26,0.0338949
1.269,0.033699
1.278,0.0335039
1.287,0.0333097
1.296,0.0331164
1.305,0.032924
1.314,0.0327324
1.323,0.0325418
1.332,0.032352
1.341,0.0321631
1.35,0.031975
1.359,0.0317878
1.368,0.0316015
1.377,0.0314161
1.386,0.0312315
1.395,0.0310478
1.404,0.0308649
1.413,0.030683
1.422,0.0305018
1.431,0.0303215
1.44,0.030142
1.449,0.0299634
1.458,0.0297857
1.467,0.0296088
1.476,0.0294327
1.485,0.0292574
1.494,0.029083
1.503,0.0289094
1.512,0.0287366
1.521,0.0285647
1.53,0.0283936
1.539,0.0282233
1.548,0.0280538
1.557,0.0278851
1.566,0.0277172
1.575,0.0275502
1.584,0.0273839
1.593,0.0272184
1.602,0.0270538
1.611,0.0268899
1.62,0.0267268
1.629,0.0265646
1.638,0.0264031
1.647,0.0262424
1.656,0.0260824
1.665,0.0259233
1.674,0.0257649
1.683,0.0256073
1.692,0.0254504
1.701,0.0252944
1.71,0.025139
1.719,0.0249845
1.728,0.0248307
1.737,0.0246777
1.746,0.0245254
1.755,0.0243739
1.764,0.0242231
1.773,0.024073
1.782,0.0239237
1.791,0.0237752
1.8,0.0236274
1.809,0.0234803
1.818,0.0233339
1.827,0.0231883
1.836,0.0230434
1.845,0.0228992
1.854,0.0227557
1.863,0.022613
1.872,0.0224709
1.881,0.0223296
1.89,0.022189
1.899,0.0220491
1.908,0.0219099
1.917,0.0217714
1.926,0.0216335
1.935,0.0214964
1.944,0.02136
1.953,0.0212243
1.962,0.0210892
1.971,0.0209549
1.98,0.0208212
1.989,0.0206882
1.998,0.0205558
2.007,0.0204242
2.016,0.0202932
2.025,0.0201629
2.034,0.0200333
2.043,0.0199043
2.052,0.0197759
2.061,0.0196483
2.07,0.0195213
2.079,0.0193949
2.088,0.0192692
2.097,0.0191442
2.106,0.0190198
2.115,0.018896
2.124,0.0187729
2.133,0.0186504
2.142,0.0185286
2.151,0.0184074
2.16,0.0182868
2.169,0.0181668
2.178,0.0180475
2.187,0.0179288
2.196,0.0178107
2.205,0.0176933
2.214,0.0175764
2.223,0.0174602
2.232,0.0173446
2.241,0.0172296
2.25,0.0171152
2.259,0.0170014
2.268,0.0168882
2.277,0.0167757
2.286,0.0166637
2.295,0.0165523
2.304,0.0164415
2.313,0.0163313
2.322,0.0162217
2.331,0.0161127
2.34,0.0160042
2.349,0.0158964
2.358,0.0157891
2.367,0.0156824
2.376,0.0155763
2.385,0.0154707
2.394,0.0153657
2.403,0.0152613
2.412,0.0151575
2.421,0.0150542
2.43,0.0149515
2.439,0.0148494
2.448,0.0147478
2.457,0.0146467
2.466,0.0145462
2.475,0.0144463
2.484,0.0143469
2.493,0.0142481
2.502,0.0141498
2.511,0.014052
2.52,0.0139548
2.529,0.0138582
2.538,0.013762
2.547,0.0136664
2.556,0.0135713
2.565,0.0134768
2.574,0.0133828
2.583,0.0132893
2.592,0.0131963
2.601,0.0131039
2.61,0.0130119
2.619,0.0129205
2.628,0.0128296
2.637,0.0127392
2.646,0.0126493
2.655,0.01256
2.664,0.0124711
2.673,0.0123827
2.682,0.0122948
2.691,0.0122075
2.7,0.0121206
2.709,0.0120342
2.718,0.0119484
2.727,0.011863
2.736,0.0117781
2.745,0.0116936
2.754,0.0116097
2.763,0.0115263
2.772,0.0114433
2.781,0.0113608
2.79,0.0112788
2.799,0.0111972
2.808,0.0111162
2.817,0.0110356
2.826,0.0109554
2.835,0.0108758
2.844,0.0107965
2.853,0.0107178
2.862,0.0106395
2.871,0.0105617
2.88,0.0104843
2.889,0.0104074
2.898,0.0103309
2.907,0.0102549
2.916,0.0101793
2.925,0.0101042
2.934,0.0100294
2.943,0.00995518
2.952,0.00988133
2.961,0.00980792
2.97,0.00973492
2.979,0.00966234
2.988,0.00959013
2.997,0.00951824
3.006,0.00944673
3.015,0.00937592
3.024,0.00930554
3.033,0.00923558
3.042,0.00916604
3.051,0.00909693
3.06,0.00902822
3.069,0.00895995
3.078,0.00889207
3.087,0.00882462
3.096,0.00875757
3.105,0.00869094
3.114,0.00862471
3.123,0.00855889
3.132,0.00849346
3.141,0.00842845
3.15,0.00836382
3.159,0.00829961
3.168,0.00823578
3.177,0.00817235
3.186,0.00810931
3.195,0.00804666
3.204,0.0079844
3.213,0.00792253
3.222,0.00786104
3.231,0.00779993
3.24,0.00773921
3.249,0.00767887
3.258,0.0076189
3.267,0.00755931
3.276,0.00750009
3.285,0.00744125
3.294,0.00738278
3.303,0.00732467
3.312,0.00726694
3.321,0.00720957
3.33,0.00715256
3.339,0.00709592
3.348,0.00703963
3.357,0.00698371
3.366,0.00692814
3.375,0.00687293
3.384,0.00681807
3.393,0.00676357
3.402,0.00670941
3.411,0.0066556
3.42,0.00660214
3.429,0.00654903
3.438,0.00649625
3.447,0.00644382
3.456,0.00639173
3.465,0.00633998
3.474,0.00628856
3.483,0.00623749
3.492,0.00618673
3.501,0.00613632
3.51,0.00608624
3.519,0.00603648
3.528,0.00598705
3.537,0.00593795
3.546,0.00588916
3.555,0.0058407
3.564,0.00579256
3.573,0.00574475
3.582,0.00569724
3.591,0.00565005
3.6,0.00560318
3.609,0.00555662
3.618,0.00551037
3.627,0.00546442
3.636,0.00541879
3.645,0.00537346
