"arc_length","sie"
0,0.1
0.009,0.1
0.018,0.1
0.027,0.1
0.036,0.1
0.045,0.1
0.054,0.1
0.063,0.1
0.072,0.1
0.081,0.1
0.09,0.1
0.099,0.1
0.108,0.1
0.117,0.1
0.126,0.1
0.135,0.1
0.144,0.1
0.153,0.1
0.162,0.1
0.171,0.1
0.18,0.1
0.189,0.1
0.198,0.1
0.207,0.1
0.216,0.1
0.225,0.1
0.234,0.1
0.243,0.1
0.252,0.1
0.261,0.1
0.27,0.1
0.279,0.1
0.288,0.1
0.297,0.1
0.306,0.1
0.315,0.1
0.324,0.1
0.333,0.1
0.342,0.1
0.351,0.1
0.36,0.1
0.369,0.1
0.378,0.1
0.387,0.1
0.396,0.1
0.405,0.1
0.414,0.1
0.423,0.1
0.432,0.1
0.441,0.1
0.45,0.1
0.459,0.1
0.468,0.1
0.477,0.1
0.486,0.1
0.495,0.1
0.504,0.1
0.513,0.1
0.522,0.1
0.531,0.1
0.54,0.1
0.549,0.1
0.558,0.1
0.567,0.1
0.576,0.1
0.585,0.1
0.594,0.1
0.603,0.1
0.612,0.1
0.621,0.1
0.63,0.1
0.639,0.1
0.648,0.1
0.657,0.1
0.666,0.1
0.675,0.1
0.684,0.1
0.693,0.1
0.702,0.1
0.711,0.1
0.72,0.1
0.729,0.1
0.738,0.1
0.747,0.1
0.756,0.1
0.765,0.1
0.774,0.1
0.783,0.1
0.792,0.1
0.801,0.1
0.81,0.1
0.819,0.1
0.828,0.1
0.837,0.1
0.846,0.1
0.855,0.1
0.864,0.1
0.873,0.1
0.882,0.1
0.891,0.0999999
0.9,0.1
0.909,0.0999997
0.918,0.100001
0.927,0.0999993
0.936,0.100001
0.945,0.0999993
0.954,0.100001
0.963,0.0999982
0.972,0.100008
0.981,0.099985
0.99,0.10007
0.999,0.0999478
1.008,0.0997293
1.017,0.0995109
1.026,0.0992917
1.035,0.0990719
1.044,0.0988517
1.053,0.0986313
1.062,0.0984108
1.071,0.0981902
1.08,0.0979696
1.089,0.0977491
1.098,0.0975287
1.107,0.0973084
1.116,0.0970882
1.125,0.0968681
1.134,0.0966482
1.143,0.0964285
1.152,0.0962089
1.161,0.0959896
1.17,0.0957704
1.179,0.0955514
1.188,0.0953326
1.197,0.0951141
1.206,0.0948957
1.215,0.0946776
1.224,0.0944596
1.233,0.0942419
1.242,0.0940244
1.251,0.0938072
1.26,0.0935901
1.269,0.0933733
1.278,0.0931567
1.287,0.0929403
1.296,0.0927242
1.305,0.0925084
1.314,0.0922927
1.323,0.0920773
1.332,0.0918621
1.341,0.0916471
1.35,0.0914324
1.359,0.091218
1.368,0.0910037
1.377,0.0907898
1.386,0.090576
1.395,0.0903626
1.404,0.0901493
1.413,0.0899363
1.422,0.0897235
1.431,0.089511
1.44,0.0892987
1.449,0.0890867
1.458,0.0888749
1.467,0.0886634
1.476,0.088452
1.485,0.088241
1.494,0.0880302
1.503,0.0878197
