"arc_length","velocity"
0,-3.07352e-15
0.009,-1.73611e-15
0.018,-6.16957e-16
0.027,8.35561e-16
0.036,2.07832e-15
0.045,3.12457e-15
0.054,4.38597e-15
0.063,5.36887e-15
0.072,6.373e-15
0.081,7.33865e-15
0.09,8.1513e-15
0.099,9.04286e-15
0.108,9.30221e-15
0.117,1.00158e-14
0.126,1.04995e-14
0.135,1.09507e-14
0.144,1.17629e-14
0.153,1.21778e-14
0.162,1.24504e-14
0.171,1.27123e-14
0.18,1.33312e-14
0.189,1.35804e-14
0.198,1.37004e-14
0.207,1.42934e-14
0.216,1.45044e-14
0.225,1.50985e-14
0.234,1.523e-14
0.243,1.53813e-14
0.252,1.51443e-14
0.261,1.537e-14
0.27,1.56679e-14
0.279,1.60897e-14
0.288,1.57296e-14
0.297,1.6534e-14
0.306,1.67649e-14
0.315,1.68592e-14
0.324,1.65936e-14
0.333,1.65205e-14
0.342,1.67384e-14
0.351,1.67535e-14
0.36,1.7317e-14
0.369,1.73162e-14
0.378,1.68524e-14
0.387,1.69829e-14
0.396,1.73467e-14
0.405,1.77916e-14
0.414,1.77003e-14
0.423,1.76396e-14
0.432,1.74775e-14
0.441,1.7619e-14
0.45,1.8051e-14
0.459,1.77509e-14
0.468,1.69637e-14
0.477,1.61169e-14
0.486,1.63512e-14
0.495,1.66964e-14
0.504,1.66365e-14
0.513,1.65144e-14
0.522,1.68607e-14
0.531,1.6462e-14
0.54,1.63326e-14
0.549,1.62339e-14
0.558,1.5841e-14
0.567,1.59255e-14
0.576,1.57506e-14
0.585,1.58501e-14
0.594,1.58463e-14
0.603,1.61023e-14
0.612,1.60738e-14
0.621,1.60148e-14
0.63,1.49007e-14
0.639,1.59649e-14
0.648,1.72996e-14
0.657,1.42343e-14
0.666,8.01744e-15
0.675,2.39273e-14
0.684,3.69826e-14
0.693,-4.9172e-14
0.702,-2.15434e-15
0.711,3.48737e-13
0.72,-6.52929e-13
0.729,-9.3297e-13
0.738,3.34057e-12
0.747,-2.13201e-12
0.756,-1.01888e-11
0.765,2.47346e-11
0.774,-8.73357e-12
0.783,-8.76341e-11
0.792,2.63356e-10
0.801,-1.56526e-10
0.81,-7.30033e-10
0.819,2.18959e-09
0.828,-3.48805e-09
0.837,4.724e-10
0.846,1.1173e-08
0.855,-2.98415e-08
0.864,4.91555e-08
0.873,-2.95645e-08
0.882,-7.96037e-08
0.891,3.40486e-07
0.9,-1.03261e-06
0.909,1.57585e-06
0.918,-2.65645e-06
0.927,3.30457e-06
0.936,-4.28203e-06
0.945,3.69757e-06
0.954,-5.586e-06
0.963,8.87517e-06
0.972,-4.03683e-05
0.981,7.49919e-05
0.99,-0.000347584
0.999,0.000261224
1.008,0.00135467
1.017,0.00244876
1.026,0.00354761
1.035,0.00465118
1.044,0.00575796
1.053,0.00686702
1.062,0.00797799
1.071,0.00909033
1.08,0.0102039
1.089,0.0113185
1.098,0.0124339
1.107,0.01355
1.116,0.0146667
1.125,0.0157839
1.134,0.0169017
1.143,0.0180198
1.152,0.0191384
1.161,0.0202573
1.17,0.0213765
1.179,0.0224959
1.188,0.0236157
1.197,0.0247356
1.206,0.0258558
1.215,0.0269761
1.224,0.0280966
1.233,0.0292173
1.242,0.0303382
1.251,0.0314591
1.26,0.0325803
1.269,0.0337015
1.278,0.0348229
1.287,0.0359443
1.296,0.0370659
1.305,0.0381875
1.314,0.0393093
1.323,0.040431
1.332,0.041553
1.341,0.0426749
1.35,0.0437969
1.359,0.044919
1.368,0.0460412
1.377,0.0471633
1.386,0.0482857
1.395,0.0494079
1.404,0.0505303
1.413,0.0516527
1.422,0.0527752
1.431,0.0538976
1.44,0.0550201
1.449,0.0561426
1.458,0.0572653
1.467,0.0583879
1.476,0.0595106
1.485,0.0606332
1.494,0.0617559
1.503,0.0628786
1.512,0.0640014
1.521,0.0651242
1.53,0.066247
1.539,0.0673698
1.548,0.0684927
1.557,0.0696156
1.566,0.0707385
1.575,0.0718614
1.584,0.0729844
1.593,0.0741073
1.602,0.0752303
1.611,0.0763532
1.62,0.0774763
1.629,0.0785993
1.638,0.0797224
1.647,0.0808454
1.656,0.0819686
1.665,0.0830916
1.674,0.0842148
