Time,x-Force,y-Force,z-Force,Fp_x,Fp_y,Fp_z,Fv_x,Fv_y,Fv_z
0.00000000000000E+00000,0.38567474090024E+00000,0.70949466489118E-00001,0.32784265982206E-00016,0.16653345369377E-00015,-.47739590058882E-00014,0.32806334876727E-00016,0.38567474090024E+00000,0.70949466489123E-00001,0.38567474090024E+00000
0.10000000000000E-00001,0.35069735258060E+00000,0.68694199475950E+00000,0.35684469952326E-00016,0.14575929540585E+00000,0.68391646904049E+00000,0.32035717741203E-00016,0.20493805717474E+00000,0.30255257190186E-00002,0.35069735258060E+00000
0.00000000000000E+00000,0.38567474090024E+00000,0.70949466489118E-00001,0.32784265982206E-00016,0.16653345369377E-00015,-.47739590058882E-00014,0.32806334876727E-00016,0.38567474090024E+00000,0.70949466489123E-00001,0.38567474090024E+00000
0.10000000000000E-00001,0.35069735258060E+00000,0.68694199475950E+00000,0.35684469952326E-00016,0.14575929540585E+00000,0.68391646904049E+00000,0.32035717741203E-00016,0.20493805717474E+00000,0.30255257190186E-00002,0.35069735258060E+00000
0.20000000000000E-00001,0.25319169169817E+00000,0.65559407065868E+00000,0.37204506855769E-00016,0.11914332188509E+00000,0.65377972416422E+00000,0.31939658939399E-00016,0.13404836981308E+00000,0.18143464944643E-00002,0.25319169169817E+00000
0.30000000000000E-00001,0.20634400286266E+00000,0.64116174510820E+00000,0.38361411286615E-00016,0.10479916113152E+00000,0.63927504986399E+00000,0.31882108121074E-00016,0.10154484173114E+00000,0.18866952442093E-00002,0.20634400286266E+00000
0.40000000000000E-00001,0.17795053882817E+00000,0.62592129339218E+00000,0.39185690688413E-00016,0.93696661193138E-00001,0.62395219828992E+00000,0.31884119775947E-00016,0.84253877635033E-00001,0.19690951022557E-00002,0.17795053882817E+00000
0.50000000000000E-00001,0.15946170127807E+00000,0.61319572257243E+00000,0.39503889721199E-00016,0.85489874037974E-00001,0.61120556366748E+00000,0.31915082475365E-00016,0.73971827240098E-00001,0.19901589049411E-00002,0.15946170127807E+00000
0.60000000000000E-00001,0.14511313964556E+00000,0.60047845874164E+00000,0.39999490736007E-00016,0.77855220694834E-00001,0.59843142983918E+00000,0.31913548921105E-00016,0.67257918950724E-00001,0.20470289024643E-00002,0.14511313964556E+00000
0.70000000000000E-00001,0.13451884764887E+00000,0.58823665166292E+00000,0.40844035826608E-00016,0.71954199998624E-00001,0.58616063231383E+00000,0.31888543292490E-00016,0.62564647650246E-00001,0.20760193490904E-00002,0.13451884764887E+00000
0.80000000000000E-00001,0.12549876158447E+00000,0.57632655366822E+00000,0.41295603020024E-00016,0.66407836241142E-00001,0.57419463689535E+00000,0.31887736212693E-00016,0.59090925343324E-00001,0.21319167728615E-00002,0.12549876158447E+00000
0.90000000000000E-00001,0.11788014026610E+00000,0.56474912976819E+00000,0.41715534805562E-00016,0.61495191449328E-00001,0.56258467575818E+00000,0.31848724395679E-00016,0.56384948816777E-00001,0.21644540100037E-00002,0.11788014026610E+00000
0.10000000000000E+00000,0.11110425315904E+00000,0.55266705463898E+00000,0.42413249417750E-00016,0.56899484426937E-00001,0.55045844253572E+00000,0.31912976235498E-00016,0.54204768732102E-00001,0.22086121032600E-00002,0.11110425315904E+00000
