position, density-ex, pressure-ex, internal-energy-ex, velocity-ex, zero
0.000000, 0.000006, 0.048728, 20567.853048, 0.000000, 0.
0.000500, 0.000006, 0.048728, 20535.998790, 0.000143, 0.
0.001000, 0.000007, 0.048728, 20504.144531, 0.000286, 0.
0.001500, 0.000007, 0.048728, 20472.290272, 0.000429, 0.
0.002000, 0.000008, 0.048728, 20440.436013, 0.000571, 0.
0.002500, 0.000009, 0.048728, 20408.581754, 0.000714, 0.
0.003000, 0.000009, 0.048728, 20376.727495, 0.000857, 0.
0.003500, 0.000010, 0.048728, 20344.873236, 0.001000, 0.
0.004000, 0.000010, 0.048728, 20313.018977, 0.001143, 0.
0.004500, 0.000011, 0.048728, 20281.164718, 0.001286, 0.
0.005000, 0.000011, 0.048728, 20249.310459, 0.001428, 0.
0.005500, 0.000012, 0.048728, 20217.456200, 0.001571, 0.
0.006000, 0.000012, 0.048728, 20185.601941, 0.001714, 0.
0.006500, 0.000013, 0.048728, 20153.747682, 0.001857, 0.
0.007000, 0.000013, 0.048728, 20121.893423, 0.002000, 0.
0.007500, 0.000014, 0.048728, 20090.039165, 0.002143, 0.
0.008000, 0.000014, 0.048728, 20058.184906, 0.002285, 0.
0.008500, 0.000015, 0.048728, 20026.330647, 0.002428, 0.
0.009000, 0.000015, 0.048728, 19994.476388, 0.002571, 0.
0.009500, 0.000016, 0.048728, 19962.622129, 0.002714, 0.
0.010000, 0.000016, 0.048728, 19930.767870, 0.002857, 0.
0.010500, 0.000017, 0.048728, 19898.913611, 0.003000, 0.
0.011000, 0.000017, 0.048728, 19867.059352, 0.003142, 0.
0.011500, 0.000018, 0.048728, 19835.205093, 0.003285, 0.
0.012000, 0.000019, 0.048728, 19803.350834, 0.003428, 0.
0.012500, 0.000019, 0.048728, 19771.496575, 0.003571, 0.
0.013000, 0.000020, 0.048728, 19739.642316, 0.003714, 0.
0.013500, 0.000020, 0.048728, 19707.788057, 0.003857, 0.
0.014000, 0.000021, 0.048728, 19675.933799, 0.003999, 0.
0.014500, 0.000021, 0.048728, 19644.079540, 0.004142, 0.
0.015000, 0.000022, 0.048728, 19612.225281, 0.004285, 0.
0.015500, 0.000022, 0.048728, 19580.371022, 0.004428, 0.
0.016000, 0.000023, 0.048728, 19548.516763, 0.004571, 0.
0.016500, 0.000023, 0.048728, 19516.662504, 0.004714, 0.
0.017000, 0.000024, 0.048728, 19484.808245, 0.004856, 0.
0.017500, 0.000024, 0.048728, 19452.953986, 0.004999, 0.
0.018000, 0.000025, 0.048728, 19421.099727, 0.005142, 0.
0.018500, 0.000025, 0.048728, 19389.245468, 0.005285, 0.
0.019000, 0.000026, 0.048728, 19357.391209, 0.005428, 0.
0.019500, 0.000026, 0.048728, 19325.536950, 0.005571, 0.
0.020000, 0.000027, 0.048728, 19293.682691, 0.005714, 0.
0.020500, 0.000027, 0.048728, 19261.828433, 0.005856, 0.
0.021000, 0.000028, 0.048728, 19229.974174, 0.005999, 0.
0.021500, 0.000028, 0.048728, 19198.119915, 0.006142, 0.
0.022000, 0.000029, 0.048728, 19166.265656, 0.006285, 0.
0.022500, 0.000030, 0.048728, 19134.411397, 0.006428, 0.
0.023000, 0.000030, 0.048728, 19102.557138, 0.006571, 0.
0.023500, 0.000031, 0.048728, 19070.702879, 0.006713, 0.
0.024000, 0.000031, 0.048728, 19038.848620, 0.006856, 0.
0.024500, 0.000032, 0.048728, 19006.994361, 0.006999, 0.
0.025000, 0.000032, 0.048728, 18975.140102, 0.007142, 0.
0.025500, 0.000033, 0.048728, 18943.285843, 0.007285, 0.
0.026000, 0.000033, 0.048728, 18911.431584, 0.007428, 0.
0.026500, 0.000034, 0.048728, 18879.577325, 0.007570, 0.
0.027000, 0.000034, 0.048728, 18847.723067, 0.007713, 0.
0.027500, 0.000035, 0.048728, 18815.868808, 0.007856, 0.
0.028000, 0.000035, 0.048728, 18784.014549, 0.007999, 0.
0.028500, 0.000036, 0.048728, 18752.160290, 0.008142, 0.
0.029000, 0.000036, 0.048728, 18720.306031, 0.008285, 0.
0.029500, 0.000037, 0.048728, 18688.451772, 0.008427, 0.
0.030000, 0.000037, 0.048728, 18656.597513, 0.008570, 0.
0.030500, 0.000038, 0.048728, 18624.743254, 0.008713, 0.
0.031000, 0.000038, 0.048728, 18592.888995, 0.008856, 0.
0.031500, 0.000039, 0.048728, 18561.034736, 0.008999, 0.
0.032000, 0.000040, 0.048728, 18529.180477, 0.009142, 0.
0.032500, 0.000040, 0.048728, 18497.326218, 0.009284, 0.
0.033000, 0.000041, 0.048728, 18465.471959, 0.009427, 0.
0.033500, 0.000041, 0.048728, 18433.617700, 0.009570, 0.
0.034000, 0.000042, 0.048728, 18401.763442, 0.009713, 0.
0.034500, 0.000042, 0.048728, 18369.909183, 0.009856, 0.
0.035000, 0.000043, 0.048728, 18338.054924, 0.009999, 0.
0.035500, 0.000043, 0.048728, 18306.200665, 0.010141, 0.
0.036000, 0.000044, 0.048729, 18274.346406, 0.010284, 0.
0.036500, 0.000044, 0.048729, 18242.492147, 0.010427, 0.
0.037000, 0.000045, 0.048729, 18210.637888, 0.010570, 0.
0.037500, 0.000045, 0.048729, 18178.783629, 0.010713, 0.
0.038000, 0.000046, 0.048729, 18146.929370, 0.010856, 0.
0.038500, 0.000046, 0.048729, 18115.075111, 0.010998, 0.
0.039000, 0.000047, 0.048729, 18083.220852, 0.011141, 0.
0.039500, 0.000047, 0.048729, 18051.366593, 0.011284, 0.
0.040000, 0.000048, 0.048729, 18019.512334, 0.011427, 0.
0.040500, 0.000048, 0.048729, 17987.658076, 0.011570, 0.
0.041000, 0.000049, 0.048729, 17955.803817, 0.011713, 0.
0.041500, 0.000049, 0.048729, 17923.949558, 0.011856, 0.
0.042000, 0.000050, 0.048729, 17892.095299, 0.011998, 0.
0.042500, 0.000051, 0.048729, 17860.241040, 0.012141, 0.
0.043000, 0.000051, 0.048729, 17828.386781, 0.012284, 0.
0.043500, 0.000052, 0.048729, 17796.532522, 0.012427, 0.
0.044000, 0.000052, 0.048729, 17764.678263, 0.012570, 0.
0.044500, 0.000053, 0.048729, 17732.824004, 0.012713, 0.
0.045000, 0.000053, 0.048729, 17700.969745, 0.012855, 0.
0.045500, 0.000054, 0.048729, 17669.115486, 0.012998, 0.
0.046000, 0.000054, 0.048729, 17637.261227, 0.013141, 0.
0.046500, 0.000055, 0.048729, 17605.406968, 0.013284, 0.
0.047000, 0.000055, 0.048729, 17573.552710, 0.013427, 0.
