Time,Dissipation Rate Incompressible,Dissipation Rate Compressible,Ekin incomp,Ekin comp,Enstrophy comp,DR_u,DR_S,DR_Sd,DR_p,Maximum Vorticity,Mean Temperature,uprime,Mean Entropy,ED_S,ED_D
0.00000000000000E+00000, 0.46875000000010E-00003, 0.46875000000011E-00003, 0.12500000000000E+00000, 0.12500000000000E+00000, 0.37500000000004E+00000, 0.46875000000007E-00003, 0.46875000000010E-00003, 0.46875000000008E-00003, 0.26250946433793E-00016, 0.20000002321630E+00001, 0.10000000200000E+00001, 0.28867513459481E+00000, -.10671740566753E+00002, 0.46875000000005E-00003, 0.31454044892628E-00016
0.23897611336872E-00001, 0.46873589249634E-00003, 0.46852847828655E-00003, 0.12498880179361E+00000, 0.12498880009496E+00000, 0.37498866922380E+00000, 0.46873586271997E-00003, 0.46873589249634E-00003, 0.46873587383035E-00003, -.20739554379310E-00006, 0.19996274224966E+00001, 0.10000000827459E+00001, 0.28866220373025E+00000, -.10671740724461E+00002, 0.46873583294361E-00003, 0.37331984761800E-00010
0.47792653669422E-00001, 0.46877794116050E-00003, 0.46782337430202E-00003, 0.12497764428523E+00000, 0.12497761895922E+00000, 0.37502188848764E+00000, 0.46877762069963E-00003, 0.46877794116050E-00003, 0.46877772888017E-00003, -.95435457814628E-00006, 0.19986837117780E+00001, 0.10000001456827E+00001, 0.28864931928464E+00000, -.10671740882158E+00002, 0.46877730023876E-00003, 0.42456066083886E-00009
0.71684111956163E-00001, 0.46887648952627E-00003, 0.46846153076228E-00003, 0.12496656929181E+00000, 0.12496645897145E+00000, 0.37509999563192E+00000, 0.46887560545244E-00003, 0.46887648952627E-00003, 0.46887590012634E-00003, -.41436936405556E-00006, 0.19971719290906E+00001, 0.10000002090858E+00001, 0.28863652955671E+00000, -.10671741039854E+00002, 0.46887472137861E-00003, 0.11787998757513E-00008
0.95571423827923E-00001, 0.46903049836153E-00003, 0.47099277858275E-00003, 0.12495556401120E+00000, 0.12495528470258E+00000, 0.37522313621269E+00000, 0.46902935610513E-00003, 0.46903049836153E-00003, 0.46902973455748E-00003, 0.19630440252707E-00005, 0.19950953761154E+00001, 0.10000002730043E+00001, 0.28862381977377E+00000, -.10671741197567E+00002, 0.46902821384874E-00003, 0.15276080977342E-00008
0.11945506103562E+00000, 0.46923935534888E-00003, 0.47268957299726E-00003, 0.12494459112586E+00000, 0.12494408314897E+00000, 0.37539127433487E+00000, 0.46923856939951E-00003, 0.46923935534888E-00003, 0.46923882608035E-00003, 0.34507469169048E-00005, 0.19924584996942E+00001, 0.10000003372449E+00001, 0.28861114684625E+00000, -.10671741355316E+00002, 0.46923778345014E-00003, 0.10585370491279E-00008
0.14333547089952E+00000, 0.46950383095726E-00003, 0.47142952155609E-00003, 0.12493363021207E+00000, 0.12493290123732E+00000, 0.37560419649135E+00000, 0.46950357062646E-00003, 0.46950383095726E-00003, 0.46950364967487E-00003, 0.19258718812218E-00005, 0.19892652139784E+00001, 0.10000004015752E+00001, 0.28859848718946E+00000, -.10671741513123E+00002, 0.46950331029565E-00003, 0.36256478982631E-00009
0.16721277591637E+00000, 0.46982473625569E-00003, 0.46837519096361E-00003, 0.12492266362422E+00000, 0.12492179050706E+00000, 0.37586171772118E+00000, 0.46982470902703E-00003, 0.46982473625569E-00003, 0.46982470627058E-00003, -.14495153069707E-00005, 0.19855182887297E+00001, 0.10000004659149E+00001, 0.28858582042346E+00000, -.10671741671009E+00002, 0.46982468179836E-00003, 0.59970221203665E-00010
0.19108680958102E+00000, 0.47020200757014E-00003, 0.46529386187233E-00003, 0.12491168003786E+00000, 0.12491075766662E+00000, 0.37616394696930E+00000, 0.47020199308288E-00003, 0.47020200757014E-00003, 0.47020197582369E-00003, -.49081139513571E-00005, 0.19812190506433E+00001, 0.10000005304859E+00001, 0.28857313346632E+00000, -.10671741828993E+00002, 0.47020197859562E-00003, 0.63492910214867E-00010
0.21495731756877E+00000, 0.47063566809008E-00003, 0.46229441206130E-00003, 0.12490072534191E+00000, 0.12489979001817E+00000, 0.37651139082183E+00000, 0.47063561990095E-00003, 0.47063566809008E-00003, 0.47063559574832E-00003, -.83411836870274E-00005, 0.19763698340334E+00001, 0.10000005958435E+00001, 0.28856047932443E+00000, -.10671741987092E+00002, 0.47063557171181E-00003, 0.14468352003995E-00009
0.23882416280374E+00000, 0.47112656408968E-00003, 0.45983396368214E-00003, 0.12488990198795E+00000, 0.12488888183234E+00000, 0.37690474373108E+00000, 0.47112628905169E-00003, 0.47112656408968E-00003, 0.47112631735498E-00003, -.11292353672839E-00004, 0.19709778988170E+00001, 0.10000006625820E+00001, 0.28854797635512E+00000, -.10671742145324E+00002, 0.47112601401370E-00003, 0.49346940430990E-00009
0.26268741882016E+00000, 0.47167520265233E-00003, 0.46009870891633E-00003, 0.12487926816026E+00000, 0.12487800112958E+00000, 0.37734445990662E+00000, 0.47167448436611E-00003, 0.47167520265233E-00003, 0.47167463640903E-00003, -.11575927492704E-00004, 0.19650566257946E+00001, 0.10000007308009E+00001, 0.28853569179595E+00000, -.10671742303707E+00002, 0.47167376607988E-00003, 0.11324865997003E-00008
0.28654733744334E+00000, 0.47228077121390E-00003, 0.46369748416000E-00003, 0.12486875962522E+00000, 0.12486707434258E+00000, 0.37783043356669E+00000, 0.47227986707545E-00003, 0.47228077121390E-00003, 0.47228005381075E-00003, -.85825696507499E-00005, 0.19586221091484E+00001, 0.10000007998385E+00001, 0.28852355146530E+00000, -.10671742462263E+00002, 0.47227896293701E-00003, 0.14348063019090E-00008
0.31040424384019E+00000, 0.47294250183709E-00003, 0.46754343845887E-00003, 0.12485824343144E+00000, 0.12485605160710E+00000, 0.37836207921451E+00000, 0.47294195865819E-00003, 0.47294250183709E-00003, 0.47294198790475E-00003, -.53985494458777E-00005, 0.19516851714510E+00001, 0.10000008686134E+00001, 0.28851140177521E+00000, -.10671742621011E+00002, 0.47294141547929E-00003, 0.10278646876163E-00008
0.33425841920766E+00000, 0.47366093942489E-00003, 0.46855718406591E-00003, 0.12484761715959E+00000, 0.12484495564978E+00000, 0.37893882741892E+00000, 0.47366091367859E-00003, 0.47366093942489E-00003, 0.47366071989265E-00003, -.51035358267404E-00005, 0.19442460838498E+00001, 0.10000009362702E+00001, 0.28849912438872E+00000, -.10671742779973E+00002, 0.47366088793228E-00003, 0.43906448592313E-00009
0.35811001070459E+00000, 0.47443691648422E-00003, 0.46664498913085E-00003, 0.12483684409549E+00000, 0.12483383860097E+00000, 0.37956069608458E+00000, 0.47443718773797E-00003, 0.47443691648422E-00003, 0.47443683405042E-00003, -.77918449195732E-00005, 0.19362982227777E+00001, 0.10000010026506E+00001, 0.28848667686797E+00000, -.10671742939172E+00002, 0.47443745899171E-00003, 0.16486759865930E-00009
0.38195899325337E+00000, 0.47527082184750E-00003, 0.46252496427840E-00003, 0.12482596197173E+00000, 0.12482273728860E+00000, 0.38022849993671E+00000, 0.47527125880790E-00003, 0.47527082184750E-00003, 0.47527078286855E-00003, -.12745818590149E-00004, 0.19278403253895E+00001, 0.10000010684591E+00001, 0.28847410279114E+00000, -.10671743098627E+00002, 0.47527169576829E-00003, 0.77957901568905E-00010
0.40580520244186E+00000, 0.47616346308151E-00003, 0.45642149363652E-00003, 0.12481508975018E+00000, 0.12481168518683E+00000, 0.38094351332753E+00000, 0.47616398301658E-00003, 0.47616346308151E-00003, 0.47616340486673E-00003, -.19741911230219E-00004, 0.19188874489896E+00001, 0.10000011350531E+00001, 0.28846153960876E+00000, -.10671743258359E+00002, 0.47616450295164E-00003, 0.11642955609164E-00009
0.42964844220959E+00000, 0.47711604079964E-00003, 0.44989656399315E-00003, 0.12480436635515E+00000, 0.12480070745378E+00000, 0.38170681593661E+00000, 0.47711639891651E-00003, 0.47711604079964E-00003, 0.47711578790891E-00003, -.27219223915756E-00004, 0.19094689560796E+00001, 0.10000012037546E+00001, 0.28844914786394E+00000, -.10671743418385E+00002, 0.47711675703339E-00003, 0.50578146125151E-00009
0.45348863027867E+00000, 0.47812893401156E-00003, 0.44556022138899E-00003, 0.12479384220564E+00000, 0.12478977982540E+00000, 0.38251879979352E+00000, 0.47812896943217E-00003, 0.47812893401156E-00003, 0.47812836512918E-00003, -.32568143740184E-00004, 0.18996139811378E+00001, 0.10000012749848E+00001, 0.28843698584571E+00000, -.10671743578722E+00002, 0.47812900485277E-00003, 0.11377647742048E-00008
0.47732568535453E+00000, 0.47920149100830E-00003, 0.44396979617214E-00003, 0.12478344392668E+00000, 0.12477883000194E+00000, 0.38337917223239E+00000, 0.47920145796890E-00003, 0.47920149100830E-00003, 0.47920076551365E-00003, -.35230969341509E-00004, 0.18893372288176E+00001, 0.10000013478829E+00001, 0.28842496878354E+00000, -.10671743739389E+00002, 0.47920142492950E-00003, 0.14509892868799E-00008
0.50000000000000E+00000, 0.48028164114724E-00003, 0.44262201354333E-00003, 0.12477355614573E+00000, 0.12476834122712E+00000, 0.38424599496781E+00000, 0.48028201012000E-00003, 0.48028164114724E-00003, 0.48028107360430E-00003, -.37659060060974E-00004, 0.18791228164111E+00001, 0.10000014172538E+00001, 0.28841354122825E+00000, -.10671743892562E+00002, 0.48028237909276E-00003, 0.11350858811092E-00008
0.52383156490604E+00000, 0.48146564105556E-00003, 0.43857761104030E-00003, 0.12476308809853E+00000, 0.12475725051983E+00000, 0.38519582004173E+00000, 0.48146665408478E-00003, 0.48146564105556E-00003, 0.48146538623585E-00003, -.42887775195552E-00004, 0.18680624715627E+00001, 0.10000014887770E+00001, 0.28840144255133E+00000, -.10671744053934E+00002, 0.48146766711400E-00003, 0.50963942662933E-00009
0.54766070801421E+00000, 0.48271570142347E-00003, 0.43136548816771E-00003, 0.12475252266362E+00000, 0.12474614461833E+00000, 0.38619771116965E+00000, 0.48271717655953E-00003, 0.48271570142347E-00003, 0.48271563366430E-00003, -.51350145496589E-00004, 0.18565318630521E+00001, 0.10000015585056E+00001, 0.28838923080173E+00000, -.10671744215703E+00002, 0.48271865169559E-00003, 0.13551833782906E-00009
0.57148736462464E+00000, 0.48402775096635E-00003, 0.42213976379275E-00003, 0.12474187796106E+00000, 0.12473506626658E+00000, 0.38724875478542E+00000, 0.48402946542729E-00003, 0.48402775096635E-00003, 0.48402771521681E-00003, -.61887951424051E-00004, 0.18445907285849E+00001, 0.10000016274525E+00001, 0.28837692690997E+00000, -.10671744377890E+00002, 0.48403117988823E-00003, 0.71499080370902E-00010
0.59531124790669E+00000, 0.48540230930229E-00003, 0.41170755102568E-00003, 0.12473121068904E+00000, 0.12472403877350E+00000, 0.38835001052234E+00000, 0.48540414939158E-00003, 0.48540230930229E-00003, 0.48540222484428E-00003, -.73694673818604E-00004, 0.18322606666151E+00001, 0.10000016974918E+00001, 0.28836459640421E+00000, -.10671744540517E+00002, 0.48540598948088E-00003, 0.16891601001236E-00009
0.61913206235373E+00000, 0.48684034751501E-00003, 0.40185753875360E-00003, 0.12472059926114E+00000, 0.12471306557406E+00000, 0.38950228742984E+00000, 0.48684206185656E-00003, 0.48684034751501E-00003, 0.48684004925215E-00003, -.84982510498546E-00004, 0.18195653120509E+00001, 0.10000017701867E+00001, 0.28835232992659E+00000, -.10671744703601E+00002, 0.48684377619812E-00003, 0.59652572204371E-00009
0.64294972650012E+00000, 0.48834236857949E-00003, 0.39577412478891E-00003, 0.12471007249234E+00000, 0.12470209508140E+00000, 0.39070597623971E+00000, 0.48834376652514E-00003, 0.48834236857949E-00003, 0.48834174124495E-00003, -.92567616456043E-00004, 0.18065268173214E+00001, 0.10000018456511E+00001, 0.28834016079664E+00000, -.10671744867159E+00002, 0.48834516447080E-00003, 0.12546690717712E-00008
0.66676444670599E+00000, 0.48990794089676E-00003, 0.39408025330648E-00003, 0.12469957509956E+00000, 0.12469102764652E+00000, 0.39196110523672E+00000, 0.48990932886387E-00003, 0.48990794089676E-00003, 0.48990720654538E-00003, -.95826953238906E-00004, 0.17931627795096E+00001, 0.10000019223623E+00001, 0.28832802511440E+00000, -.10671745031212E+00002, 0.48991071683098E-00003, 0.14687027621809E-00008
0.69057658975709E+00000, 0.49153723500666E-00003, 0.39329196753814E-00003, 0.12468902932586E+00000, 0.12467980151070E+00000, 0.39326757243175E+00000, 0.49153909473865E-00003, 0.49153723500666E-00003, 0.49153673445880E-00003, -.98244766920663E-00004, 0.17794825939504E+00001, 0.10000019981668E+00001, 0.28831583298628E+00000, -.10671745195785E+00002, 0.49154095447065E-00003, 0.10010957250358E-00008
0.71438644803096E+00000, 0.49323165744356E-00003, 0.39012036491508E-00003, 0.12467839473981E+00000, 0.12466844219678E+00000, 0.39462547385714E+00000, 0.49323403193058E-00003, 0.49323165744356E-00003, 0.49323144178465E-00003, -.10311107686957E-00003, 0.17654871691135E+00001, 0.10000020716675E+00001, 0.28830353765873E+00000, -.10671745360903E+00002, 0.49323640641760E-00003, 0.43131783031920E-00009
0.73819406733136E+00000, 0.49499249093007E-00003, 0.38424246128728E-00003, 0.12466766682714E+00000, 0.12465701928945E+00000, 0.39603539074901E+00000, 0.49499509444290E-00003, 0.49499249093007E-00003, 0.49499239891207E-00003, -.11074993762479E-00003, 0.17511769073956E+00001, 0.10000021430389E+00001, 0.28829113389898E+00000, -.10671745526592E+00002, 0.49499769795572E-00003, 0.18403601559133E-00009
0.76199925295986E+00000, 0.49682038246486E-00003, 0.37648597703191E-00003, 0.12465687809309E+00000, 0.12464560181594E+00000, 0.39749844758066E+00000, 0.49682300246664E-00003, 0.49682038246486E-00003, 0.49682030956757E-00003, -.12033433253566E-00003, 0.17365641252249E+00001, 0.10000022139271E+00001, 0.28827865927847E+00000, -.10671745692874E+00002, 0.49682562246842E-00003, 0.14579459596131E-00009
