Time,Dissipation Rate Incompressible,Dissipation Rate Compressible,Ekin incomp,Ekin comp,Enstrophy comp,DR_u,DR_S,DR_Sd,DR_p,Maximum Vorticity,Mean Temperature,uprime,Mean Entropy,ED_S,ED_D
0.00000000000000E+00000, 0.46875000000027E-00003, 0.46875000000016E-00003, 0.12500000000000E+00000, 0.12500000000000E+00000, 0.37500000000011E+00000, 0.46875000000020E-00003, 0.46875000000027E-00003, 0.46875000000022E-00003, -.56761189804747E-00016, 0.19999953991265E+00001, 0.10000000200000E+00001, 0.28867513459481E+00000, -.10671740566753E+00002, 0.46875000000014E-00003, 0.87268040579444E-00016
0.23895850192552E-00001, 0.46873589051289E-00003, 0.46844480715521E-00003, 0.12498880261811E+00000, 0.12498880091997E+00000, 0.37498867049064E+00000, 0.46873586252059E-00003, 0.46873589051289E-00003, 0.46873587185153E-00003, -.29106469632395E-00006, 0.19996240613622E+00001, 0.10000000827412E+00001, 0.28866220468235E+00000, -.10671740724450E+00002, 0.46873583452828E-00003, 0.37322717513322E-00010
0.47789149687384E-00001, 0.46877793183974E-00003, 0.46737130671927E-00003, 0.12497764591588E+00000, 0.12497762059688E+00000, 0.37502188439140E+00000, 0.46877761348771E-00003, 0.46877793183974E-00003, 0.46877771960536E-00003, -.14064128860812E-00005, 0.19986855887831E+00001, 0.10000001456734E+00001, 0.28864932116772E+00000, -.10671740882135E+00002, 0.46877729513567E-00003, 0.42446877609572E-00009
0.71678576035598E-00001, 0.46887647035027E-00003, 0.46716666796057E-00003, 0.12496657184862E+00000, 0.12496646155759E+00000, 0.37509998038824E+00000, 0.46887558637429E-00003, 0.46887647035027E-00003, 0.46887588103325E-00003, -.17092130726836E-00005, 0.19971815830648E+00001, 0.10000002090711E+00001, 0.28863653250945E+00000, -.10671741039818E+00002, 0.46887470239832E-00003, 0.11786340335012E-00008
0.95564248333478E-00001, 0.46903046968687E-00003, 0.46854284283156E-00003, 0.12495556731068E+00000, 0.12495528806433E+00000, 0.37522310761952E+00000, 0.46902932397781E-00003, 0.46903046968687E-00003, 0.46902970588073E-00003, -.48686304916756E-00006, 0.19951114243262E+00001, 0.10000002729850E+00001, 0.28862382358435E+00000, -.10671741197519E+00002, 0.46902817826875E-00003, 0.15276122790364E-00008
0.11944626782684E+00000, 0.46923931128960E-00003, 0.46909420632394E-00003, 0.12494459516231E+00000, 0.12494408727308E+00000, 0.37539122590070E+00000, 0.46923851721677E-00003, 0.46923931128960E-00003, 0.46923878190612E-00003, -.14457558218602E-00006, 0.19924779812559E+00001, 0.10000003372212E+00001, 0.28861115150818E+00000, -.10671741355258E+00002, 0.46923772314394E-00003, 0.10587669446142E-00008
0.14332496122236E+00000, 0.46950375767839E-00003, 0.46701612197042E-00003, 0.12493363503461E+00000, 0.12493290614411E+00000, 0.37560411887905E+00000, 0.46950348560858E-00003, 0.46950375767839E-00003, 0.46950357629433E-00003, -.24874543239132E-00005, 0.19892863318444E+00001, 0.10000004015469E+00001, 0.28859849275953E+00000, -.10671741513054E+00002, 0.46950321353877E-00003, 0.36276811332342E-00009
0.16720045069744E+00000, 0.46982462300726E-00003, 0.46364720592928E-00003, 0.12492266928845E+00000, 0.12492179621948E+00000, 0.37586159850325E+00000, 0.46982457801585E-00003, 0.46982462300726E-00003, 0.46982459300555E-00003, -.61773870762766E-00005, 0.19855418461025E+00001, 0.10000004658816E+00001, 0.28858582696598E+00000, -.10671741670928E+00002, 0.46982453302443E-00003, 0.60003401180953E-00010
0.19107256633271E+00000, 0.47020185764446E-00003, 0.46075140155042E-00003, 0.12491168658826E+00000, 0.12491076422619E+00000, 0.37616377380081E+00000, 0.47020181005203E-00003, 0.47020185764446E-00003, 0.47020182590433E-00003, -.94504243539073E-00005, 0.19812468545276E+00001, 0.10000005304472E+00001, 0.28857314103275E+00000, -.10671741828899E+00002, 0.47020176245961E-00003, 0.63480255309949E-00010
0.21494103452717E+00000, 0.47063549335845E-00003, 0.45820677771294E-00003, 0.12490073277828E+00000, 0.12489979747481E+00000, 0.37651115418240E+00000, 0.47063538495454E-00003, 0.47063549335845E-00003, 0.47063542107000E-00003, -.12428643357060E-00004, 0.19764024148902E+00001, 0.10000005957985E+00001, 0.28856048791461E+00000, -.10671741986984E+00002, 0.47063527655062E-00003, 0.14457690339382E-00009
0.23880555469764E+00000, 0.47112636762180E-00003, 0.45609851135100E-00003, 0.12488991034716E+00000, 0.12488889031317E+00000, 0.37690443413656E+00000, 0.47112599793756E-00003, 0.47112636762180E-00003, 0.47112612113543E-00003, -.15027609784428E-00004, 0.19710145471968E+00001, 0.10000006625294E+00001, 0.28854798601176E+00000, -.10671742145200E+00002, 0.47112562825332E-00003, 0.49297273794404E-00009
0.26266616293593E+00000, 0.47167497340565E-00003, 0.45639344225448E-00003, 0.12487927755006E+00000, 0.12487801082169E+00000, 0.37734406618586E+00000, 0.47167412462735E-00003, 0.47167497340565E-00003, 0.47167440750939E-00003, -.15280965254915E-00004, 0.19650974595239E+00001, 0.10000007307397E+00001, 0.28853570264361E+00000, -.10671742303566E+00002, 0.47167327584905E-00003, 0.11317925116169E-00008
0.28652311937148E+00000, 0.47228049494623E-00003, 0.45988628235521E-00003, 0.12486877026082E+00000, 0.12486708546766E+00000, 0.37782993588000E+00000, 0.47227941904624E-00003, 0.47228049494623E-00003, 0.47227977761925E-00003, -.12393495264036E-00004, 0.19586693490944E+00001, 0.10000007997684E+00001, 0.28852356375267E+00000, -.10671742462102E+00002, 0.47227834314624E-00003, 0.14346539616115E-00008
0.31037675473486E+00000, 0.47294217012736E-00003, 0.46394693248673E-00003, 0.12485825558166E+00000, 0.12485606434332E+00000, 0.37836144741403E+00000, 0.47294139898420E-00003, 0.47294217012736E-00003, 0.47294165595347E-00003, -.89947234667340E-00005, 0.19517423387840E+00001, 0.10000008685348E+00001, 0.28851141581303E+00000, -.10671742620828E+00002, 0.47294062784103E-00003, 0.10283477791781E-00008
0.33422735254101E+00000, 0.47366054731959E-00003, 0.46594132443781E-00003, 0.12484763107063E+00000, 0.12484497010158E+00000, 0.37893802668276E+00000, 0.47366021786428E-00003, 0.47366054731959E-00003, 0.47366032758663E-00003, -.77190031488222E-00005, 0.19443150517308E+00001, 0.10000009361831E+00001, 0.28849914046161E+00000, -.10671742779766E+00002, 0.47365988840897E-00003, 0.43946591635349E-00009
0.35807506368793E+00000, 0.47443645615977E-00003, 0.46599895250241E-00003, 0.12483685994918E+00000, 0.12483385485510E+00000, 0.37955969553424E+00000, 0.47443633261719E-00003, 0.47443645615977E-00003, 0.47443637368792E-00003, -.84374211855126E-00005, 0.19363779485454E+00001, 0.10000010025542E+00001, 0.28848669518620E+00000, -.10671742938939E+00002, 0.47443620907460E-00003, 0.16494369106372E-00009
0.38191987093943E+00000, 0.47527028136255E-00003, 0.46473850858673E-00003, 0.12482597981649E+00000, 0.12482275542965E+00000, 0.38022727439830E+00000, 0.47527022311176E-00003, 0.47527028136255E-00003, 0.47527024240977E-00003, -.10531733823043E-00004, 0.19279291258742E+00001, 0.10000010683511E+00001, 0.28847412341085E+00000, -.10671743098366E+00002, 0.47527016486096E-00003, 0.77905566515488E-00010
0.40576161834402E+00000, 0.47616283187745E-00003, 0.46200949882966E-00003, 0.12481510946993E+00000, 0.12481170527114E+00000, 0.38094203581936E+00000, 0.47616274522149E-00003, 0.47616283187745E-00003, 0.47616277398465E-00003, -.14153275154990E-00004, 0.19189867601494E+00001, 0.10000011349301E+00001, 0.28846156239602E+00000, -.10671743258067E+00002, 0.47616265856552E-00003, 0.11578558776396E-00009
