Time,Dissipation Rate Incompressible,Dissipation Rate Compressible,Ekin incomp,Ekin comp,Enstrophy comp,DR_u,DR_S,DR_Sd,DR_p,Maximum Vorticity,Mean Temperature,uprime,Mean Entropy,ED_S,ED_D
0.00000000000000E+00000, 0.46875000000010E-00003, 0.46875000000014E-00003, 0.12500000000000E+00000, 0.12500000000000E+00000, 0.37500000000004E+00000, 0.46875000000007E-00003, 0.46875000000010E-00003, 0.46875000000008E-00003, 0.56321650110072E-00016, 0.20000002321630E+00001, 0.10000000200000E+00001, 0.28867513459481E+00000, -.10671740566753E+00002, 0.46875000000005E-00003, 0.31454044893047E-00016
0.23897618075357E-00001, 0.46870709384153E-00003, 0.46847531757738E-00003, 0.12498108879893E+00000, 0.12498108683836E+00000, 0.37496562297308E+00000, 0.46870705924013E-00003, 0.46870709384153E-00003, 0.46870707176547E-00003, -.23175418808670E-00006, 0.19996268718578E+00001, 0.10000001259434E+00001, 0.28865329699477E+00000, -.10671740832914E+00002, 0.46870702463873E-00003, 0.44152115994529E-00010
0.47792702865362E-00001, 0.46872024169277E-00003, 0.46760219711751E-00003, 0.12496222391062E+00000, 0.12496219678949E+00000, 0.37497569469792E+00000, 0.46871989808378E-00003, 0.46872024169277E-00003, 0.46872001519366E-00003, -.11178180761460E-00005, 0.19986815843987E+00001, 0.10000002320629E+00001, 0.28863151122798E+00000, -.10671741099006E+00002, 0.46871955447479E-00003, 0.45299821648935E-00009
0.71684264644761E-00001, 0.46878981774705E-00003, 0.46854802001684E-00003, 0.12494344502549E+00000, 0.12494333009966E+00000, 0.37503063191261E+00000, 0.46878891241393E-00003, 0.46878981774705E-00003, 0.46878921526228E-00003, -.24119524544705E-00006, 0.19971675968083E+00001, 0.10000003386310E+00001, 0.28860982314709E+00000, -.10671741365049E+00002, 0.46878800708080E-00003, 0.12049695426835E-00008
0.95571752992107E-00001, 0.46891473414219E-00003, 0.47102780502394E-00003, 0.12492473576173E+00000, 0.12492444933060E+00000, 0.37513055074119E+00000, 0.46891359981095E-00003, 0.46891473414219E-00003, 0.46891397465658E-00003, 0.21138303673588E-00005, 0.19950878767562E+00001, 0.10000004457003E+00001, 0.28858821385234E+00000, -.10671741631087E+00002, 0.46891246547971E-00003, 0.15189712104514E-00008
0.11945563748353E+00000, 0.46909441688813E-00003, 0.47245308776838E-00003, 0.12490605657709E+00000, 0.12490554139201E+00000, 0.37527537488152E+00000, 0.46909365276311E-00003, 0.46909441688813E-00003, 0.46909390334633E-00003, 0.33591844220556E-00005, 0.19924467900119E+00001, 0.10000005530972E+00001, 0.28856663768483E+00000, -.10671741897188E+00002, 0.46909288863808E-00003, 0.10270836016060E-00008
0.14333635273173E+00000, 0.46932961230646E-00003, 0.47098896896356E-00003, 0.12488738506306E+00000, 0.12488665217705E+00000, 0.37546485987425E+00000, 0.46932936580959E-00003, 0.46932961230646E-00003, 0.46932944211647E-00003, 0.16595268470858E-00005, 0.19892478097645E+00001, 0.10000006606144E+00001, 0.28854506876518E+00000, -.10671742163415E+00002, 0.46932911931272E-00003, 0.34037997822113E-00009
0.16721400825811E+00000, 0.46962107434056E-00003, 0.46795676211149E-00003, 0.12486870190229E+00000, 0.12486783011279E+00000, 0.37569880105820E+00000, 0.46962104527466E-00003, 0.46962107434056E-00003, 0.46962104566450E-00003, -.16642835530058E-00005, 0.19854942105935E+00001, 0.10000007681898E+00001, 0.28852348477757E+00000, -.10671742429811E+00002, 0.46962101620876E-00003, 0.57352119779825E-00010
0.19108843592378E+00000, 0.46996868639205E-00003, 0.46491702652319E-00003, 0.12484999637491E+00000, 0.12484907918315E+00000, 0.37597729947782E+00000, 0.46996866421784E-00003, 0.46996868639205E-00003, 0.46996865222571E-00003, -.50516257025137E-00005, 0.19811876135525E+00001, 0.10000008760526E+00001, 0.28850187333292E+00000, -.10671742696399E+00002, 0.46996864204363E-00003, 0.68332686516210E-00010
0.21495938928336E+00000, 0.47037245580977E-00003, 0.46182562809218E-00003, 0.12483131658427E+00000, 0.12483038590453E+00000, 0.37630085179864E+00000, 0.47037240309192E-00003, 0.47037245580977E-00003, 0.47037238070317E-00003, -.85467526109889E-00005, 0.19763299937857E+00001, 0.10000009847518E+00001, 0.28848029000756E+00000, -.10671742963192E+00002, 0.47037235037406E-00003, 0.15021319991437E-00009
0.23882673994440E+00000, 0.47083323853502E-00003, 0.45945013125332E-00003, 0.12481276444860E+00000, 0.12481174377249E+00000, 0.37667011966143E+00000, 0.47083294846629E-00003, 0.47083323853502E-00003, 0.47083298379681E-00003, -.11382852543483E-00004, 0.19709291486353E+00001, 0.10000010948638E+00001, 0.28845885258109E+00000, -.10671743230210E+00002, 0.47083265839756E-00003, 0.50947643193835E-00009
0.26269056477697E+00000, 0.47135145904392E-00003, 0.46006278911890E-00003, 0.12479439202947E+00000, 0.12479311780518E+00000, 0.37708550899244E+00000, 0.47135072061495E-00003, 0.47135145904392E-00003, 0.47135088384598E-00003, -.11288094727084E-00004, 0.19649986774540E+00001, 0.10000012064670E+00001, 0.28843762125108E+00000, -.10671743497489E+00002, 0.47134998218598E-00003, 0.11503958765739E-00008
0.28655112019518E+00000, 0.47192620995207E-00003, 0.46368027594152E-00003, 0.12477612791088E+00000, 0.12477443173886E+00000, 0.37754685925412E+00000, 0.47192530725057E-00003, 0.47192620995207E-00003, 0.47192549712065E-00003, -.82452211791329E-00005, 0.19585544362771E+00001, 0.10000013188947E+00001, 0.28841651352500E+00000, -.10671743765080E+00002, 0.47192440454908E-00003, 0.14256628272135E-00008
0.31040873773412E+00000, 0.47255673793934E-00003, 0.46729729523690E-00003, 0.12475783700190E+00000, 0.12475563622622E+00000, 0.37805354193906E+00000, 0.47255621171827E-00003, 0.47255673793934E-00003, 0.47255623873439E-00003, -.52589434974901E-00005, 0.19516070197880E+00001, 0.10000014310889E+00001, 0.28839537328917E+00000, -.10671744033045E+00002, 0.47255568549719E-00003, 0.99840989566381E-00009
0.33426369859516E+00000, 0.47324359569738E-00003, 0.46829056396820E-00003, 0.12473941844657E+00000, 0.12473675449887E+00000, 0.37860497810757E+00000, 0.47324357849824E-00003, 0.47324359569738E-00003, 0.47324338500538E-00003, -.49528210371810E-00005, 0.19441561873890E+00001, 0.10000015422346E+00001, 0.28837408395644E+00000, -.10671744301445E+00002, 0.47324356129911E-00003, 0.42138398987091E-00009
0.35811614487173E+00000, 0.47398755441389E-00003, 0.46632223141469E-00003, 0.12472083739533E+00000, 0.12471783667666E+00000, 0.37920119312668E+00000, 0.47398782429134E-00003, 0.47398755441389E-00003, 0.47398747504039E-00003, -.76652436257014E-00005, 0.19361953013344E+00001, 0.10000016522148E+00001, 0.28835260520797E+00000, -.10671744570329E+00002, 0.47398809416878E-00003, 0.15874701054134E-00009
0.38196604723512E+00000, 0.47478896954634E-00003, 0.46196642320485E-00003, 0.12470213398375E+00000, 0.12469891818223E+00000, 0.37984299993348E+00000, 0.47478940068443E-00003, 0.47478896954634E-00003, 0.47478893346614E-00003, -.12822510261295E-00004, 0.19277241049482E+00001, 0.10000017617694E+00001, 0.28833098340131E+00000, -.10671744839734E+00002, 0.47478983182252E-00003, 0.72160386152185E-00010
0.40581323896667E+00000, 0.47564863862562E-00003, 0.45580553153635E-00003, 0.12468342826479E+00000, 0.12468003237368E+00000, 0.38053164428416E+00000, 0.47564914316262E-00003, 0.47564863862562E-00003, 0.47564857803344E-00003, -.19843046497089E-00004, 0.19187585663011E+00001, 0.10000018722724E+00001, 0.28830935730541E+00000, -.10671745109682E+00002, 0.47564964769963E-00003, 0.12118436915274E-00009
0.42965752590160E+00000, 0.47656770260371E-00003, 0.44950138817296E-00003, 0.12466485554738E+00000, 0.12466120252668E+00000, 0.38126814552179E+00000, 0.47656803420726E-00003, 0.47656770260371E-00003, 0.47656744010554E-00003, -.27066051932579E-00004, 0.19093280124187E+00001, 0.10000019850268E+00001, 0.28828788337051E+00000, -.10671745380193E+00002, 0.47656836581081E-00003, 0.52499634389415E-00009
0.45349883205339E+00000, 0.47754645226398E-00003, 0.44539828728997E-00003, 0.12464645957391E+00000, 0.12464240064678E+00000, 0.38205282673360E+00000, 0.47754646186696E-00003, 0.47754645226398E-00003, 0.47754587556830E-00003, -.32147588278332E-00004, 0.18994603366110E+00001, 0.10000021004077E+00001, 0.28826661221158E+00000, -.10671745651297E+00002, 0.47754647146994E-00003, 0.11533913555034E-00008
0.47733706782886E+00000, 0.47858417563513E-00003, 0.44383951198864E-00003, 0.12462816189142E+00000, 0.12462355144906E+00000, 0.38288534488314E+00000, 0.47858413264331E-00003, 0.47858417563513E-00003, 0.47858345470662E-00003, -.34743942717974E-00004, 0.18891693190612E+00001, 0.10000022175135E+00001, 0.28824545314879E+00000, -.10671745923041E+00002, 0.47858408965149E-00003, 0.14418570214974E-00008
0.50000000000000E+00000, 0.47962979650663E-00003, 0.44249956752226E-00003, 0.12461074172108E+00000, 0.12460553333475E+00000, 0.38372453716091E+00000, 0.47963016841738E-00003, 0.47962979650663E-00003, 0.47962924483663E-00003, -.37129677314363E-00004, 0.18789467524331E+00001, 0.10000023289333E+00001, 0.28822530737958E+00000, -.10671746182074E+00002, 0.47963054032813E-00003, 0.11033400004751E-00008
0.52383292803739E+00000, 0.48077771354220E-00003, 0.43857969162044E-00003, 0.12459231732701E+00000, 0.12458649131197E+00000, 0.38464546040070E+00000, 0.48077872410417E-00003, 0.48077771354220E-00003, 0.48077747331876E-00003, -.42197781698314E-00004, 0.18678726564150E+00001, 0.10000024448301E+00001, 0.28820399873124E+00000, -.10671746455269E+00002, 0.48077973466615E-00003, 0.48044687611654E-00009
0.54766351826026E+00000, 0.48199077221247E-00003, 0.43139384916113E-00003, 0.12457376497448E+00000, 0.12456740491227E+00000, 0.38561771235476E+00000, 0.48199222977563E-00003, 0.48199077221247E-00003, 0.48199070918994E-00003, -.50596860028803E-00004, 0.18563277298544E+00001, 0.10000025591213E+00001, 0.28818254050108E+00000, -.10671746729305E+00002, 0.48199368733880E-00003, 0.12604507193105E-00009
0.57149169466626E+00000, 0.48326496199637E-00003, 0.42211909609039E-00003, 0.12455510116764E+00000, 0.12454831439599E+00000, 0.38663845798529E+00000, 0.48326665203874E-00003, 0.48326496199637E-00003, 0.48326492632785E-00003, -.61145830237455E-00004, 0.18443717893718E+00001, 0.10000026728772E+00001, 0.28816095174704E+00000, -.10671747004220E+00002, 0.48326834208112E-00003, 0.71337046157568E-00010
0.59531716613387E+00000, 0.48460076265720E-00003, 0.41182042613062E-00003, 0.12453638284736E+00000, 0.12452924209273E+00000, 0.38770870736730E+00000, 0.48460257393830E-00003, 0.48460076265720E-00003, 0.48460067483880E-00003, -.72780248708179E-00004, 0.18320274128268E+00001, 0.10000027879732E+00001, 0.28813929831172E+00000, -.10671747280032E+00002, 0.48460438521940E-00003, 0.17563679655229E-00009
0.61913964490271E+00000, 0.48599911047445E-00003, 0.40218861074952E-00003, 0.12451768808285E+00000, 0.12451018967433E+00000, 0.38882922257163E+00000, 0.48600078872985E-00003, 0.48599911047445E-00003, 0.48599880251888E-00003, -.83810191769360E-00004, 0.18193181110860E+00001, 0.10000029059166E+00001, 0.28811767050153E+00000, -.10671747556759E+00002, 0.48600246698525E-00003, 0.61591112293746E-00009
0.64295906519367E+00000, 0.48746041936261E-00003, 0.39621973150016E-00003, 0.12449904235079E+00000, 0.12449110162117E+00000, 0.39000034948875E+00000, 0.48746179210035E-00003, 0.48746041936261E-00003, 0.48745978762006E-00003, -.91240056119900E-00004, 0.18062658933728E+00001, 0.10000030267525E+00001, 0.28809609779932E+00000, -.10671747834439E+00002, 0.48746316483808E-00003, 0.12634851167415E-00008
0.66677564909518E+00000, 0.48898419414997E-00003, 0.39448407493573E-00003, 0.12448038681304E+00000, 0.12447187592836E+00000, 0.39122206887903E+00000, 0.48898558950077E-00003, 0.48898419414997E-00003, 0.48898347214513E-00003, -.94499397209402E-00004, 0.17928892142770E+00001, 0.10000031489405E+00001, 0.28807451213536E+00000, -.10671748113138E+00002, 0.48898698485157E-00003, 0.14440096906709E-00008
0.69058977041898E+00000, 0.49057059708936E-00003, 0.39337760135423E-00003, 0.12446164154807E+00000, 0.12445245136307E+00000, 0.39249422489062E+00000, 0.49057248730946E-00003, 0.49057059708936E-00003, 0.49057011510109E-00003, -.97192513746862E-00004, 0.17791969753994E+00001, 0.10000032703796E+00001, 0.28805282102196E+00000, -.10671748392939E+00002, 0.49057437752956E-00003, 0.96397654439687E-00009
0.71440171281737E+00000, 0.49222097209278E-00003, 0.38957352031013E-00003, 0.12444276335825E+00000, 0.12443285316784E+00000, 0.39381685873878E+00000, 0.49222338289473E-00003, 0.49222097209278E-00003, 0.49222076721454E-00003, -.10264724690441E-00003, 0.17651882085268E+00001, 0.10000033897604E+00001, 0.28803097444344E+00000, -.10671748673917E+00002, 0.49222579369668E-00003, 0.40975647161338E-00009
0.73821150592961E+00000, 0.49393648839995E-00003, 0.38291904280129E-00003, 0.12442374527694E+00000, 0.12441314888933E+00000, 0.39519050667654E+00000, 0.49393913816552E-00003, 0.49393648839995E-00003, 0.49393639984229E-00003, -.11101735704100E-00003, 0.17508638204124E+00001, 0.10000035073310E+00001, 0.28800896430139E+00000, -.10671748956130E+00002, 0.49394178793110E-00003, 0.17711531828933E-00009
0.76201895071429E+00000, 0.49571772174929E-00003, 0.37441054240282E-00003, 0.12440462013666E+00000, 0.12439340576122E+00000, 0.39661625920908E+00000, 0.49572040938507E-00003, 0.49571772174929E-00003, 0.49571764904448E-00003, -.12130710664166E-00003, 0.17362381404324E+00001, 0.10000036247697E+00001, 0.28798682856069E+00000, -.10671749239614E+00002, 0.49572309702085E-00003, 0.14540963344650E-00009
0.78582378125535E+00000, 0.49756550608410E-00003, 0.36500888987043E-00003, 0.12438546895587E+00000, 0.12437368460152E+00000, 0.39809546538845E+00000, 0.49756805392673E-00003, 0.49756550608410E-00003, 0.49756536779801E-00003, -.13255647792759E-00003, 0.17213404064143E+00001, 0.10000037442910E+00001, 0.28796466097523E+00000, -.10671749524395E+00002, 0.49757060176935E-00003, 0.27657216727182E-00009
0.80962582891539E+00000, 0.49948095031212E-00003, 0.35718478679578E-00003, 0.12436636754087E+00000, 0.12435401437205E+00000, 0.39962920213359E+00000, 0.49948305416695E-00003, 0.49948095031212E-00003, 0.49948058368168E-00003, -.14229579688590E-00003, 0.17062042063039E+00001, 0.10000038673924E+00001, 0.28794254929397E+00000, -.10671749810507E+00002, 0.49948515802179E-00003, 0.73326086778966E-00009
0.83342509214386E+00000, 0.50146444365248E-00003, 0.35486720596421E-00003, 0.12434729847358E+00000, 0.12433434977759E+00000, 0.40121786140474E+00000, 0.50146593271871E-00003, 0.50146444365248E-00003, 0.50146378420098E-00003, -.14659657823678E-00003, 0.16908518385793E+00001, 0.10000039939540E+00001, 0.28792047336442E+00000, -.10671750098000E+00002, 0.50146742178495E-00003, 0.13189029974142E-00008
0.85722170131002E+00000, 0.50351555872507E-00003, 0.35962821470654E-00003, 0.12432814474103E+00000, 0.12431458732524E+00000, 0.40286118783007E+00000, 0.50351669683875E-00003, 0.50351555872507E-00003, 0.50351484376965E-00003, -.14388662906311E-00003, 0.16752869963932E+00001, 0.10000041223156E+00001, 0.28789829771528E+00000, -.10671750386943E+00002, 0.50351783495244E-00003, 0.14299108375623E-00008
0.88101583597106E+00000, 0.50563452003022E-00003, 0.36892560342106E-00003, 0.12430879073286E+00000, 0.12429464520060E+00000, 0.40455877367358E+00000, 0.50563565840782E-00003, 0.50563452003022E-00003, 0.50563405117133E-00003, -.13670844775027E-00003, 0.16595023525524E+00001, 0.10000042502847E+00001, 0.28787588845757E+00000, -.10671750677412E+00002, 0.50563679678542E-00003, 0.93771777699315E-00009
