Time,Dissipation Rate Incompressible,Dissipation Rate Compressible,Ekin incomp,Ekin comp,Enstrophy comp,DR_u,DR_S,DR_Sd,DR_p,Maximum Vorticity,Mean Temperature,uprime,Mean Entropy,ED_S,ED_D
0.00000000000000E+00000, 0.46875031326917E-00003, 0.46875031326842E-00003, 0.12500000000000E+00000, 0.12500000000000E+00000, 0.37499976079338E+00000, 0.46875000713045E-00003, 0.46875031326917E-00003, 0.46875031326828E-00003, 0.14378039283750E-00015, 0.19999635379125E+00001, 0.10000000200000E+00001, 0.28867513459481E+00000, -.10671740566753E+00002, 0.46874970099173E-00003, 0.17753418391368E-00014
0.23897611371060E-00001, 0.46873620205334E-00003, 0.46955054224311E-00003, 0.12498880178988E+00000, 0.12498880009123E+00000, 0.37498843099887E+00000, 0.46873586860789E-00003, 0.46873620205334E-00003, 0.46873618343031E-00003, 0.81435881280166E-00006, 0.19995919941580E+00001, 0.10000000827459E+00001, 0.28866220372594E+00000, -.10671740724461E+00002, 0.46873553516244E-00003, 0.37246062334724E-00010
0.47792653679627E-00001, 0.46877824972030E-00003, 0.46938438216116E-00003, 0.12497764427780E+00000, 0.12497761895181E+00000, 0.37502164899330E+00000, 0.46877762529553E-00003, 0.46877824972030E-00003, 0.46877803758824E-00003, 0.60634457292070E-00006, 0.19986492884417E+00001, 0.10000001456827E+00001, 0.28864931927607E+00000, -.10671740882158E+00002, 0.46877700087076E-00003, 0.42426410916884E-00009
0.71684112020993E-00001, 0.46887680325631E-00003, 0.46987590372552E-00003, 0.12496656928062E+00000, 0.12496645896030E+00000, 0.37509975586758E+00000, 0.46887561246460E-00003, 0.46887680325631E-00003, 0.46887621410794E-00003, 0.99968961757479E-00006, 0.19971385644546E+00001, 0.10000002090859E+00001, 0.28863652954379E+00000, -.10671741039855E+00002, 0.46887442167289E-00003, 0.11782967369843E-00008
0.95571423851300E-00001, 0.46903081946720E-00003, 0.47177812665674E-00003, 0.12495556399622E+00000, 0.12495528468767E+00000, 0.37522289875348E+00000, 0.46902936824566E-00003, 0.46903081946720E-00003, 0.46903005595227E-00003, 0.27480707044734E-00005, 0.19950633363173E+00001, 0.10000002730044E+00001, 0.28862381975647E+00000, -.10671741197567E+00002, 0.46902791702412E-00003, 0.15270298683993E-00008
0.11945506108513E+00000, 0.46923967686000E-00003, 0.47277773463651E-00003, 0.12494459110701E+00000, 0.12494408313021E+00000, 0.37539103789740E+00000, 0.46923858238130E-00003, 0.46923967686000E-00003, 0.46923914782708E-00003, 0.35385868094253E-00005, 0.19924275911787E+00001, 0.10000003372450E+00001, 0.28861114682448E+00000, -.10671741355316E+00002, 0.46923748790261E-00003, 0.10580658410347E-00008
0.14333547089005E+00000, 0.46950413509115E-00003, 0.47116319620939E-00003, 0.12493363018951E+00000, 0.12493290121484E+00000, 0.37560395753150E+00000, 0.46950357334331E-00003, 0.46950413509115E-00003, 0.46950395393397E-00003, 0.16592422754227E-00005, 0.19892347773455E+00001, 0.10000004015754E+00001, 0.28859848716340E+00000, -.10671741513124E+00002, 0.46950301159546E-00003, 0.36231435416074E-00009
0.16721277586929E+00000, 0.46982501145891E-00003, 0.46834061511292E-00003, 0.12492266359823E+00000, 0.12492179048111E+00000, 0.37586147015912E+00000, 0.46982469190253E-00003, 0.46982501145891E-00003, 0.46982498150467E-00003, -.14843663917480E-00005, 0.19854873290218E+00001, 0.10000004659150E+00001, 0.28858582039344E+00000, -.10671741671010E+00002, 0.46982437234615E-00003, 0.59908485604456E-00010
0.19108680945610E+00000, 0.47020226170532E-00003, 0.46603895321661E-00003, 0.12491168000873E+00000, 0.12491075763750E+00000, 0.37616368679340E+00000, 0.47020195754118E-00003, 0.47020226170532E-00003, 0.47020222996489E-00003, -.41632767482841E-00005, 0.19811868511436E+00001, 0.10000005304861E+00001, 0.28857313343267E+00000, -.10671741828993E+00002, 0.47020165337703E-00003, 0.63480857373664E-00010
0.21495731729312E+00000, 0.47063592118573E-00003, 0.46399480379944E-00003, 0.12490072530977E+00000, 0.12489978998603E+00000, 0.37651112001901E+00000, 0.47063557719800E-00003, 0.47063592118573E-00003, 0.47063584890174E-00003, -.66410451022943E-00005, 0.19763365240739E+00001, 0.10000005958437E+00001, 0.28856047928729E+00000, -.10671741987092E+00002, 0.47063523321028E-00003, 0.14456797837396E-00009
0.23882416237802E+00000, 0.47112682457829E-00003, 0.46203292788267E-00003, 0.12488990195269E+00000, 0.12488888179712E+00000, 0.37690447062241E+00000, 0.47112624860426E-00003, 0.47112682457829E-00003, 0.47112657798887E-00003, -.90936501061991E-00005, 0.19709443569806E+00001, 0.10000006625822E+00001, 0.28854797631438E+00000, -.10671742145324E+00002, 0.47112567263022E-00003, 0.49317883185450E-00009
