Time,Dissipation Rate Incompressible,Dissipation Rate Compressible,Ekin incomp,Ekin comp,Enstrophy comp,DR_u,DR_S,DR_Sd,DR_p,Maximum Vorticity,Mean Temperature,uprime,Mean Entropy,ED_S,ED_D
0.00000000000000E+00000, 0.46874999999988E-00003, 0.46874999999975E-00003, 0.12499999999995E+00000, 0.12499999999995E+00000, 0.37499999999988E+00000, 0.46874999999987E-00003, 0.46874999999988E-00003, 0.46874999999987E-00003, -.11639154447189E-00015, 0.20000017224827E+00001, 0.10000000200000E+00001, 0.28867513459475E+00000, -.10671740566753E+00002, 0.46874999999985E-00003, 0.25128515730708E-00016
0.41712520179031E-00001, 0.46876171532421E-00003, 0.46765518419417E-00003, 0.12498047653920E+00000, 0.12498046144982E+00000, 0.37500907224615E+00000, 0.46876151014322E-00003, 0.46876171532421E-00003, 0.46876157853651E-00003, -.11063943423445E-00005, 0.19989852301870E+00001, 0.10000001296321E+00001, 0.28865258996379E+00000, -.10671740842030E+00002, 0.46876130496223E-00003, 0.27357540221210E-00009
0.83415003176191E-00001, 0.46894482740589E-00003, 0.46774646715438E-00003, 0.12496115871339E+00000, 0.12496097565347E+00000, 0.37515448701511E+00000, 0.46894373895898E-00003, 0.46894482740589E-00003, 0.46894410177339E-00003, -.11976346190166E-00005, 0.19962376686023E+00001, 0.10000002404184E+00001, 0.28863028105565E+00000, -.10671741117299E+00002, 0.46894265051206E-00003, 0.14512649926734E-00008
0.12510559471998E+00000, 0.46929616192240E-00003, 0.46884223762656E-00003, 0.12494199713182E+00000, 0.12494143321884E+00000, 0.37543703709795E+00000, 0.46929549858274E-00003, 0.46929616192240E-00003, 0.46929571969332E-00003, -.45348206675245E-00006, 0.19917778202183E+00001, 0.10000003524644E+00001, 0.28860815088030E+00000, -.10671741392648E+00002, 0.46929483524307E-00003, 0.88445817124831E-00009
0.16678648990980E+00000, 0.46981752127388E-00003, 0.46371365700444E-00003, 0.12492285959090E+00000, 0.12492198815733E+00000, 0.37585590779831E+00000, 0.46981747491356E-00003, 0.46981752127388E-00003, 0.46981749036179E-00003, -.61038333573481E-00005, 0.19856248996453E+00001, 0.10000004647653E+00001, 0.28858604677623E+00000, -.10671741668190E+00002, 0.46981742855324E-00003, 0.61824183527205E-00010
0.20845755918162E+00000, 0.47051071469335E-00003, 0.45890376887470E-00003, 0.12490369994636E+00000, 0.12490277041394E+00000, 0.37641118553607E+00000, 0.47051063281688E-00003, 0.47051071469335E-00003, 0.47051066010081E-00003, -.11606891226105E-00004, 0.19777907221799E+00001, 0.10000005779299E+00001, 0.28856391544608E+00000, -.10671741944028E+00002, 0.47051055094040E-00003, 0.10918508922021E-00009
0.25011767701986E+00000, 0.47137759778918E-00003, 0.45580949495647E-00003, 0.12488484704232E+00000, 0.12488373317319E+00000, 0.37710572608463E+00000, 0.47137700871392E-00003, 0.47137759778918E-00003, 0.47137720506059E-00003, -.15567710104117E-00004, 0.19682998470148E+00001, 0.10000006947053E+00001, 0.28854213677534E+00000, -.10671742220258E+00002, 0.47137641963867E-00003, 0.78545718043902E-00009
0.29176643291376E+00000, 0.47241913458030E-00003, 0.46085100646018E-00003, 0.12486646427709E+00000, 0.12486467151389E+00000, 0.37794128549691E+00000, 0.47241808413125E-00003, 0.47241913458030E-00003, 0.47241843426460E-00003, -.11567427804423E-00004, 0.19572186393387E+00001, 0.10000008149434E+00001, 0.28852089962091E+00000, -.10671742496973E+00002, 0.47241703368221E-00003, 0.14006313851119E-00008
0.33340525699095E+00000, 0.47363253903636E-00003, 0.46591348537616E-00003, 0.12484799970615E+00000, 0.12484535313087E+00000, 0.37891556845270E+00000, 0.47363219655297E-00003, 0.47363253903636E-00003, 0.47363231069318E-00003, -.77188253170250E-00005, 0.19445999586105E+00001, 0.10000009338741E+00001, 0.28849956638460E+00000, -.10671742774284E+00002, 0.47363185406957E-00003, 0.45668634944284E-00009
0.37503526512375E+00000, 0.47502093939423E-00003, 0.46526330890966E-00003, 0.12482912682354E+00000, 0.12482595678107E+00000, 0.38002764638497E+00000, 0.47502086720543E-00003, 0.47502093939423E-00003, 0.47502089124482E-00003, -.97575823351577E-00005, 0.19304313798853E+00001, 0.10000010493398E+00001, 0.28847775977076E+00000, -.10671743052306E+00002, 0.47502079501663E-00003, 0.96298832310434E-00010
0.41665619774854E+00000, 0.47658769476789E-00003, 0.46053410985907E-00003, 0.12481018508000E+00000, 0.12480668004319E+00000, 0.38128236105632E+00000, 0.47658751446650E-00003, 0.47658769476789E-00003, 0.47658757454765E-00003, -.16053464688578E-00004, 0.19147429376494E+00001, 0.10000011660026E+00001, 0.28845587193423E+00000, -.10671743331148E+00002, 0.47658733416511E-00003, 0.24044047758884E-00009
0.45826726129865E+00000, 0.47833747737761E-00003, 0.45858534608030E-00003, 0.12479175146478E+00000, 0.12478758898533E+00000, 0.38268457196713E+00000, 0.47833654512572E-00003, 0.47833747737761E-00003, 0.47833685587427E-00003, -.19751509793971E-00004, 0.18976702411887E+00001, 0.10000012895124E+00001, 0.28843456966272E+00000, -.10671743610905E+00002, 0.47833561287384E-00003, 0.12430066861773E-00008
0.49986893584692E+00000, 0.48026886150552E-00003, 0.46420604902564E-00003, 0.12477361326117E+00000, 0.12476840187990E+00000, 0.38423379898312E+00000, 0.48026800525213E-00003, 0.48026886150552E-00003, 0.48026829070145E-00003, -.16062241675814E-00004, 0.18793004502479E+00001, 0.10000014168563E+00001, 0.28841360723929E+00000, -.10671743891679E+00002, 0.48026714899873E-00003, 0.11416081470975E-00008
0.50000000000000E+00000, 0.48028363164322E-00003, 0.46423577435471E-00003, 0.12477355594746E+00000, 0.12476834103624E+00000, 0.38424563673333E+00000, 0.48028278145965E-00003, 0.48028363164322E-00003, 0.48028306488603E-00003, -.16047290531326E-00004, 0.18791606452780E+00001, 0.10000014172545E+00001, 0.28841354099910E+00000, -.10671743892566E+00002, 0.48028193127608E-00003, 0.11335143821435E-00008
0.53743492424394E+00000, 0.48217018816179E-00003, 0.46610972756765E-00003, 0.12475706800293E+00000, 0.12475090889537E+00000, 0.38575820805578E+00000, 0.48217000249868E-00003, 0.48217018816179E-00003, 0.48217006447090E-00003, -.16060336903243E-00004, 0.18615871796283E+00001, 0.10000015287674E+00001, 0.28839448446289E+00000, -.10671744146236E+00002, 0.48216981683556E-00003, 0.24738179128387E-00009
0.57902264282278E+00000, 0.48445431980583E-00003, 0.46335013720319E-00003, 0.12473850242228E+00000, 0.12473157185967E+00000, 0.38758755425575E+00000, 0.48445425909813E-00003, 0.48445431980583E-00003, 0.48445427951102E-00003, -.21104142307823E-00004, 0.18407618349848E+00001, 0.10000016493943E+00001, 0.28837302511653E+00000, -.10671744429284E+00002, 0.48445419839044E-00003, 0.80589629050600E-00010
0.62060214148184E+00000, 0.48692994177942E-00003, 0.46000880873791E-00003, 0.12471994680911E+00000, 0.12471238882329E+00000, 0.38957060947838E+00000, 0.48692946876747E-00003, 0.48692994177942E-00003, 0.48692962673383E-00003, -.26920817995923E-00004, 0.18187670331085E+00001, 0.10000017747735E+00001, 0.28835157569550E+00000, -.10671744713691E+00002, 0.48692899575553E-00003, 0.63009116609504E-00009
0.66217265421625E+00000, 0.48959988743853E-00003, 0.46658752926845E-00003, 0.12470160029252E+00000, 0.12469317271703E+00000, 0.39171015831840E+00000, 0.48959877388070E-00003, 0.48959988743853E-00003, 0.48959914550454E-00003, -.23011616236089E-00004, 0.17957189070748E+00001, 0.10000019075787E+00001, 0.28833036641154E+00000, -.10671744999553E+00002, 0.48959766032288E-00003, 0.14838679780180E-00008
0.70373553106702E+00000, 0.49246410347781E-00003, 0.47741299712230E-00003, 0.12468316311950E+00000, 0.12467353510857E+00000, 0.39400625137722E+00000, 0.49246361117095E-00003, 0.49246410347781E-00003, 0.49246377587816E-00003, -.15050778755864E-00004, 0.17716893263398E+00001, 0.10000020391024E+00001, 0.28830905075342E+00000, -.10671745286986E+00002, 0.49246311886409E-00003, 0.65519928756134E-00009
0.74529200953379E+00000, 0.49552864711814E-00003, 0.48000667570329E-00003, 0.12466445252730E+00000, 0.12465361042272E+00000, 0.39646016025794E+00000, 0.49552852757904E-00003, 0.49552864711814E-00003, 0.49552856816864E-00003, -.15521892465346E-00004, 0.17466926464441E+00001, 0.10000021641274E+00001, 0.28828741737752E+00000, -.10671745576128E+00002, 0.49552840803995E-00003, 0.15789899612661E-00009
0.78684132992261E+00000, 0.49879810672119E-00003, 0.47456477293354E-00003, 0.12464563856926E+00000, 0.12463375778337E+00000, 0.39907736199341E+00000, 0.49879789717181E-00003, 0.49879810672119E-00003, 0.49879796784602E-00003, -.24233194912486E-00004, 0.17207975412758E+00001, 0.10000022898101E+00001, 0.28826566285201E+00000, -.10671745867102E+00002, 0.49879768762244E-00003, 0.27775033797431E-00009
0.82838236958441E+00000, 0.50227754851243E-00003, 0.46990193308990E-00003, 0.12462707806687E+00000, 0.12461417379271E+00000, 0.40186400781701E+00000, 0.50227664558756E-00003, 0.50227754851243E-00003, 0.50227694737979E-00003, -.32375014289889E-00004, 0.16941649716684E+00001, 0.10000024247982E+00001, 0.28824419978769E+00000, -.10671746160016E+00002, 0.50227574266268E-00003, 0.12022652808097E-00008
0.86991532469810E+00000, 0.50596802944793E-00003, 0.47697551878433E-00003, 0.12460851500512E+00000, 0.12459454159980E+00000, 0.40482143209037E+00000, 0.50596709401332E-00003, 0.50596802944793E-00003, 0.50596740646685E-00003, -.28991887682517E-00004, 0.16668763763251E+00001, 0.10000025655733E+00001, 0.28822273216515E+00000, -.10671746454983E+00002, 0.50596615857871E-00003, 0.12459621528459E-00008
0.91144109356511E+00000, 0.50987254310312E-00003, 0.48710166500916E-00003, 0.12458949408822E+00000, 0.12457451878282E+00000, 0.40794887394712E+00000, 0.50987225327761E-00003, 0.50987254310312E-00003, 0.50987235018729E-00003, -.22770685178138E-00004, 0.16389193807153E+00001, 0.10000027019805E+00001, 0.28820073338817E+00000, -.10671746752138E+00002, 0.50987196345210E-00003, 0.38583165032258E-00009
0.95296000266360E+00000, 0.51399840222368E-00003, 0.49491416452830E-00003, 0.12457018197539E+00000, 0.12455411170421E+00000, 0.41125067567722E+00000, 0.51399824697221E-00003, 0.51399840222368E-00003, 0.51399829851763E-00003, -.19084133989329E-00004, 0.16103794469820E+00001, 0.10000028323295E+00001, 0.28817839610837E+00000, -.10671747051624E+00002, 0.51399809172074E-00003, 0.20741211128644E-00009
0.99447117325214E+00000, 0.51835156743413E-00003, 0.49421266026143E-00003, 0.12455104768000E+00000, 0.12453355343148E+00000, 0.41473509404622E+00000, 0.51835111897000E-00003, 0.51835156743413E-00003, 0.51835126759513E-00003, -.24138607333700E-00004, 0.15814177082044E+00001, 0.10000029658661E+00001, 0.28815626279272E+00000, -.10671747353577E+00002, 0.51835067050587E-00003, 0.59967798453671E-00009
0.10000000000000E+00001, 0.51896765064211E-00003, 0.49377483386852E-00003, 0.12454852044432E+00000, 0.12453082210951E+00000, 0.41522829113428E+00000, 0.51896708785508E-00003, 0.51896765064211E-00003, 0.51896727449059E-00003, -.25192440622076E-00004, 0.15774100891437E+00001, 0.10000029844018E+00001, 0.28815333932280E+00000, -.10671747393990E+00002, 0.51896652506805E-00003, 0.75230303159388E-00009
0.10332015575510E+00001, 0.52262271288620E-00003, 0.49379128561491E-00003, 0.12453328484586E+00000, 0.12451444180960E+00000, 0.41815502245131E+00000, 0.52262158398062E-00003, 0.52262271288620E-00003, 0.52262195875059E-00003, -.28830673135676E-00004, 0.15540505994202E+00001, 0.10000030991783E+00001, 0.28813571437300E+00000, -.10671747637688E+00002, 0.52262045507505E-00003, 0.15082712226944E-00008
0.10746956394882E+00001, 0.52742269494041E-00003, 0.50095473864371E-00003, 0.12451365010111E+00000, 0.12449382057716E+00000, 0.42199896986719E+00000, 0.52742198094571E-00003, 0.52742269494041E-00003, 0.52742221679203E-00003, -.26467478148323E-00004, 0.15243528443473E+00001, 0.10000032442075E+00001, 0.28811299878244E+00000, -.10671747944751E+00002, 0.52742126695101E-00003, 0.95629674618257E-00009
0.11161820402957E+00001, 0.53246098570568E-00003, 0.51052342901017E-00003, 0.12449340751711E+00000, 0.12447283323136E+00000, 0.42603096737627E+00000, 0.53246078972785E-00003, 0.53246098570568E-00003, 0.53246085269144E-00003, -.21937423681266E-00004, 0.14943689045221E+00001, 0.10000033818457E+00001, 0.28808957810273E+00000, -.10671748254677E+00002, 0.53246059375003E-00003, 0.26602847093190E-00009
0.11576606116068E+00001, 0.53774670014225E-00003, 0.51460350904110E-00003, 0.12447331598306E+00000, 0.12445153405658E+00000, 0.43026026064051E+00000, 0.53774651472837E-00003, 0.53774670014225E-00003, 0.53774657464165E-00003, -.23143065600554E-00004, 0.14642109049910E+00001, 0.10000035175318E+00001, 0.28806633030497E+00000, -.10671748567629E+00002, 0.53774632931449E-00003, 0.25100118553287E-00009
0.11991296666375E+00001, 0.54328560383336E-00003, 0.51248494663599E-00003, 0.12445368929887E+00000, 0.12443024256422E+00000, 0.43469347350820E+00000, 0.54328471805928E-00003, 0.54328560383336E-00003, 0.54328501284281E-00003, -.30800066206816E-00004, 0.14339086375604E+00001, 0.10000036636611E+00001, 0.28804361857061E+00000, -.10671748883738E+00002, 0.54328383228519E-00003, 0.11819810991471E-00008
0.12405879985343E+00001, 0.54907763996075E-00003, 0.51945091408453E-00003, 0.12443368507014E+00000, 0.12440888500195E+00000, 0.43932998779964E+00000, 0.54907652611900E-00003, 0.54907763996075E-00003, 0.54907689966055E-00003, -.29625985576020E-00004, 0.14034983076190E+00001, 0.10000038164295E+00001, 0.28802046810384E+00000, -.10671749203132E+00002, 0.54907541227725E-00003, 0.14806004019422E-00008
0.12820356865365E+00001, 0.55512662689094E-00003, 0.53183604755711E-00003, 0.12441260131392E+00000, 0.12438709217960E+00000, 0.44417075006850E+00000, 0.55512618567182E-00003, 0.55512662689094E-00003, 0.55512633953179E-00003, -.23290291974676E-00004, 0.13739037312997E+00001, 0.10000039624594E+00001, 0.28799606630869E+00000, -.10671749525972E+00002, 0.55512574445270E-00003, 0.57471829954639E-00009
0.13234728621132E+00001, 0.56144353885638E-00003, 0.54178821662752E-00003, 0.12439103010472E+00000, 0.12436482319739E+00000, 0.44922397978241E+00000, 0.56144335354290E-00003, 0.56144353885638E-00003, 0.56144342856111E-00003, -.19655211933591E-00004, 0.13471082780028E+00001, 0.10000041026069E+00001, 0.28797109820804E+00000, -.10671749852436E+00002, 0.56144316822943E-00003, 0.22059053439463E-00009
0.13648981890800E+00001, 0.56803576539487E-00003, 0.54647740211967E-00003, 0.12436980711592E+00000, 0.12434225958378E+00000, 0.45449804130703E+00000, 0.56803524848820E-00003, 0.56803576539487E-00003, 0.56803544240687E-00003, -.21558040287203E-00004, 0.13261611245895E+00001, 0.10000042485365E+00001, 0.28794653105038E+00000, -.10671750182681E+00002, 0.56803473158154E-00003, 0.64597599929606E-00009
0.14063103961427E+00001, 0.57490671491469E-00003, 0.55038674584632E-00003, 0.12434874476605E+00000, 0.12431954402538E+00000, 0.45999569984621E+00000, 0.57490561852130E-00003, 0.57490671491469E-00003, 0.57490601578695E-00003, -.24519269940627E-00004, 0.13253796328045E+00001, 0.10000044028009E+00001, 0.28792214777153E+00000, -.10671750516854E+00002, 0.57490452212791E-00003, 0.13982554807756E-00008
0.14477090238669E+00001, 0.58205903631488E-00003, 0.55603055026860E-00003, 0.12432693535687E+00000, 0.12429663116771E+00000, 0.46571817681320E+00000, 0.58205807268333E-00003, 0.58205903631488E-00003, 0.58205843721585E-00003, -.26027886947244E-00004, 0.13554717154547E+00001, 0.10000045574403E+00001, 0.28789689746721E+00000, -.10671750855120E+00002, 0.58205710905178E-00003, 0.11981980608130E-00008
0.14890939540743E+00001, 0.58950098167181E-00003, 0.56295991169304E-00003, 0.12430424243687E+00000, 0.12427346870115E+00000, 0.47167105132703E+00000, 0.58950050065832E-00003, 0.58950098167181E-00003, 0.58950071642351E-00003, -.26540804730467E-00004, 0.13871035872311E+00001, 0.10000047081243E+00001, 0.28787062190838E+00000, -.10671751197667E+00002, 0.58950001964482E-00003, 0.53049660502095E-00009
0.15000000000000E+00001, 0.59154411249492E-00003, 0.56546192709787E-00003, 0.12429820656871E+00000, 0.12426731042191E+00000, 0.47330523245432E+00000, 0.59154370248646E-00003, 0.59154411249492E-00003, 0.59154389776358E-00003, -.26081970665713E-00004, 0.13954945660742E+00001, 0.10000047476120E+00001, 0.28786363272531E+00000, -.10671751288693E+00002, 0.59154329247800E-00003, 0.42946267441493E-00009
0.15289585800641E+00001, 0.59695573183028E-00003, 0.57316555619566E-00003, 0.12428223660586E+00000, 0.12425081120819E+00000, 0.47763396266081E+00000, 0.59695534303667E-00003, 0.59695573183028E-00003, 0.59695553902103E-00003, -.23789982825367E-00004, 0.14171272303547E+00001, 0.10000048535430E+00001, 0.28784513962182E+00000, -.10671751531966E+00002, 0.59695495424306E-00003, 0.38561850157022E-00009
